C.D.S.  -  SIMBAD4 rel 1.7  -  2021.11.16CET18:50:31

otype="BY*" & dec >-10 & Rmag >14 & Rmag< 17
--------------------------------------------

Number of objects : 77

# 	            identifier             	typ	       coord1 (ICRS,J2000/2000)        	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   	#bib	#not
--	-----------------------------------	---	---------------------------------------	------	------	------	------	------	---------------	----	----
1 	V* V786 Cep                        	BY*	00 52 45.9615372471 +85 12 14.501637468	16.921	16.741	15.979	15.518	15.102	~              	  13	   0
2 	V* V768 Cep                        	BY*	00 44 40.5656730907 +85 15 21.361329956	16.071	15.743	14.975	14.519	14.106	~              	  21	   0
3 	V* V773 Cep                        	BY*	00 47 11.8155851394 +85 13 31.563963693	15.198	15.10 	14.50 	14.088	13.751	~              	  24	   0
4 	V* V780 Cep                        	BY*	00 50 02.8094930087 +85 21 22.975869501	16.485	16.24 	15.51 	15.143	14.707	~              	  17	   0
5 	V* V781 Cep                        	BY*	00 50 44.6343838537 +85 11 38.976095372	     ~	18.475	17.500	16.847	16.294	~              	  11	   0
6 	V* V783 Cep                        	BY*	00 51 15.8349830586 +85 09 47.930488486	16.791	16.177	15.233	14.653	14.181	~              	   9	   0
7 	V* V769 Cep                        	BY*	00 44 52.1750650498 +85 15 54.479354247	16.723	16.484	15.772	15.328	14.905	~              	  12	   0
8 	V* V772 Cep                        	BY*	00 47 04.2992914900 +85 15 01.653053693	18.749	18.15 	17.13 	16.661	16.088	~              	  10	   0
9 	V* V774 Cep                        	BY*	00 48 25.8902828947 +85 12 23.398748655	     ~	18.231	16.913	16.065	15.410	~              	   6	   0
10	V* V770 Cep                        	BY*	00 45 18.6350525361 +85 18 37.029457965	17.901	17.599	16.743	16.194	15.731	~              	   8	   0
11	V* V776 Cep                        	BY*	00 48 54.9961660207 +85 17 12.713189366	17.940	17.516	16.723	16.266	15.834	~              	   9	   0
12	V* V337 Boo                        	BY*	15 45 35.0470347769 +42 05 06.613400985	     ~	16.270	14.516	14.068	     ~	~              	   7	   0
13	V* V700 Per                        	BY*	03 44 25.5710014634 +32 12 29.948072348	     ~	17.63 	     ~	14.79 	13.57 	M0.5           	  26	   0
14	V* V701 Per                        	BY*	03 44 26.6285860950 +32 03 58.367684346	     ~	19.50 	     ~	16.20 	14.021	M4.75          	  27	   0
15	V* V1104 Tau                       	BY*	04 29 00.1513106406 +16 20 46.807910500	     ~	15.81 	14.28 	14.11 	     ~	M1.5           	  34	   0
16	V* V1313 Ori                       	BY*	05 34 43.4060821260 -05 30 06.974860305	19.449	17.640	16.455	15.13 	13.708	M0             	  37	   0
17	V* V1316 Ori                       	BY*	05 34 57.4518685147 -05 30 42.019179706	     ~	17.794	16.650	15.45 	13.914	M2.5           	  42	   0
