hjd,camera,filter,mag,magerr,flux (mJy),flux err
2458213.635,bf,V,8.432,0.02,1625.709,29.913
2457791.849,bf,V,8.427,0.02,1633.434,30.055
2457752.741,bf,V,8.28,0.02,1870.547,34.418
2457445.755,bf,V,8.179,0.02,2053.487,37.784
2457823.643,bf,V,8.19,0.02,2031.421,37.378
2457816.505,bf,V,8.15,0.02,2108.577,38.798
2457460.667,bf,V,8.231,0.02,1957.517,36.018
2457795.561,bf,V,8.184,0.02,2043.549,37.601
2458166.537,bf,V,8.253,0.02,1916.789,35.269
2458120.653,bf,V,8.577,0.02,1422.644,26.177
2458174.707,bf,V,8.311,0.02,1817.676,33.445
2458210.604,bf,V,8.299,0.02,1837.122,33.803
2457840.73,bf,V,8.516,0.02,1504.494,27.683
2457687.796,bf,V,8.383,0.02,1700.813,31.295
2457783.532,bf,V,8.371,0.02,1720.441,31.656
2458235.652,bf,V,8.58,0.02,1418.142,26.094
2457822.762,bf,V,8.251,0.02,1921.804,35.361
2457765.616,bf,V,8.373,0.02,1716.728,31.588
2457439.824,bf,V,8.149,0.02,2109.814,38.821
2458077.79,bf,V,8.219,0.02,1977.892,36.393
2458207.727,bf,V,8.259,0.02,1907.023,35.089
2458176.679,bf,V,8.327,0.02,1791.154,32.957
2458171.517,bf,V,8.085,0.02,2238.435,41.187
2457817.792,bf,V,8.415,0.02,1651.578,30.389
2457448.594,bf,V,8.152,0.02,2104.157,38.716
2458181.637,bf,V,8.234,0.02,1950.765,35.894
2458102.659,bf,V,8.388,0.02,1693.707,31.164
2457420.543,bf,V,8.292,0.02,1849.97,34.039
2458153.813,bf,V,8.346,0.02,1759.647,32.377
2458119.651,bf,V,8.211,0.02,1992.333,36.659
2458225.61,bf,V,8.25,0.02,1922.063,35.366
2458012.897,bf,V,8.134,0.02,2138.668,39.351
2457559.448,bf,V,8.184,0.02,2043.204,37.595
2458074.761,bf,V,8.374,0.02,1714.85,31.553
2458192.558,bf,V,8.232,0.02,1955.696,35.985
2457812.58,bf,V,8.355,0.02,1745.717,32.121
2457667.848,bf,V,8.162,0.02,2084.52,38.355
2458224.649,bf,V,8.478,0.02,1559.215,28.69
2458198.747,bf,V,8.626,0.02,1359.861,25.021
2458163.7,bf,V,8.169,0.02,2072.108,38.127
2458104.734,bf,V,8.192,0.02,2027.91,37.314
2458172.548,bf,V,8.428,0.02,1632.442,30.037
