hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457430.16694,bc,V,12.334,0.02,44.714,0.823
2458416.7088,bc,V,12.74,0.02,30.742,0.566
2458253.99327,bc,V,13.57,0.02193,14.319,0.289
2458015.82572,bc,V,12.452,0.02,40.111,0.738
2457826.0973,bc,V,12.372,0.02,43.172,0.794
2458261.95306,bc,V,13.169,0.02252,20.712,0.429
2458259.92092,bc,V,12.414,0.02,41.536,0.764
2457457.12585,bc,V,12.894,0.02,26.697,0.491
2457181.05063,bc,V,12.938,0.02,25.632,0.472
2458290.95677,bc,V,12.986,0.02,24.528,0.451
2457583.75814,bc,V,13.03,0.02337,23.546,0.506
2457899.0249,bc,V,12.849,0.02,27.825,0.512
2457891.10878,bc,V,13.046,0.02325,23.211,0.497
2457800.16424,bc,V,12.312,0.02,45.628,0.84
2457591.80995,bc,V,12.879,0.02,27.053,0.498
2457523.96361,bc,V,12.692,0.02,32.14,0.591
2457853.02243,bc,V,12.972,0.02,24.837,0.457
2457809.13009,bc,V,12.335,0.02,44.677,0.822
2458185.11341,bc,V,12.73,0.02,31.032,0.571
2457069.16314,bc,V,12.629,0.02,34.068,0.627
2458315.87443,bc,V,12.829,0.02,28.331,0.521
2458002.86078,bc,V,12.352,0.02,43.979,0.809
2457692.69016,bc,V,12.828,0.02,28.358,0.522
2458180.12743,bc,V,12.472,0.02,39.375,0.724
2458253.02096,bc,V,13.034,0.02334,23.454,0.504
2457829.0863,bc,V,13.314,0.02201,18.128,0.367
2458186.10991,bc,V,13.16,0.02257,20.897,0.434
2458028.77318,bc,V,12.552,0.02,36.57,0.673
2457650.82007,bc,V,12.936,0.02,25.667,0.472
2457104.09968,bc,V,13.098,0.02291,22.114,0.466
2457794.16655,bc,V,12.965,0.02,25.004,0.46
2457505.01388,bc,V,13.239,0.02223,19.43,0.397
2457251.89424,bc,V,13.406,0.02187,16.652,0.335
2457132.06997,bc,V,12.548,0.02,36.702,0.675
2457939.89797,bc,V,12.415,0.02,41.471,0.763
2457559.01059,bc,V,13.245,0.02221,19.323,0.395
