wave,fluxNorm
4314.06,0.12197
4314.12,0.19739
4314.18,0.18023
4314.24,0.37515
4314.3,0.40913
4314.36,0.26087
4314.42,0.42071
4314.48,0.56654
4314.54,0.55004
4314.6,0.57511
4314.66,0.60411
4314.72,0.44895
4314.78,0.23117
4314.84,0.03398
4314.9,0.23675
4314.96,0.13797
4315.02,0.07898
4315.08,0.35479
4315.14,0.54951
4315.2,0.56264
4315.26,0.49458
4315.32,0.72912
4315.38,1.00985
4315.44,0.98675
4315.5,0.77118
4315.56,0.81618
4315.62,0.82839
4315.68,0.74116
4315.74,0.70853
4315.8,0.89593
4315.86,0.79246
4315.92,0.70645
4315.98,0.53882
4316.04,0.62262
4316.1,0.72064
4316.16,0.9883
4316.22,0.91074
4316.28,0.86894
4316.34,0.99388
4316.4,0.93218
4316.46,0.77791
4316.52,0.8789
4316.58,0.66452
4316.64,0.62813
4316.7,0.59151
4316.76,0.44394
4316.82,0.33873
4316.88,0.38683
4316.94,0.62889
4317.06,0.9657
4317.12,0.71883
4317.18,0.61035
4317.24,0.53483
4317.3,0.6792
4317.36,0.49953
4317.42,0.65159
4317.48,0.7796
4317.54,0.82859
4317.6,0.78758
4317.66,0.81414
4317.72,0.8726
4317.78,0.83506
4317.84,0.86643
4317.9,1.00846
4317.96,0.97827
4318.02,1.00067
4318.08,1.01272
4318.14,0.9919
4318.2,0.97748
4318.26,0.98355
4318.32,0.97332
4318.38,0.90167
4318.44,0.79207
4318.5,0.71285
4318.56,0.60471
4318.62,0.48066
4318.68,0.24124
4318.74,0.68471
4318.8,0.74766
4318.86,0.83169
4318.92,0.70853
4318.98,0.90041
4319.04,0.87672
4319.1,0.99569
4319.16,0.91895
4319.22,0.93641
4319.28,0.83525
4319.34,0.79431
4319.4,0.88355
4319.46,0.74697
4319.52,0.73549
4319.58,0.7338
4319.64,0.7243
4319.7,0.82701
4319.76,0.8856
4319.82,0.92126
4319.88,0.89734
4319.94,1.00483
4320.06,0.93637
4320.12,0.89886
4320.18,0.89447
4320.24,0.83756
4320.3,0.84146
4320.36,0.84901
4320.42,0.61012
4320.48,0.51104
4320.54,0.33421
4320.6,0.2353
4320.66,0.15773
4320.72,0.19106
4320.78,0.11758
4320.84,0.21372
4320.9,0.16631
4320.96,0.21161
4321.02,0.3023
4321.08,0.55014
4321.14,0.57333
4321.2,0.78534
4321.26,0.81645
4321.32,0.70734
4321.38,0.87547
4321.44,0.88966
4321.5,0.78019
4321.56,0.82605
4321.62,0.73156
4321.68,0.6799
4321.74,0.61965
4321.8,0.5985
4321.86,0.62404
4321.92,0.61886
4321.98,0.6825
4322.04,0.81186
4322.1,0.80332
4322.16,0.85043
4322.22,0.83479
4322.28,0.97382
4322.34,0.87554
4322.4,0.80985
4322.46,0.7402
4322.52,0.66957
4322.58,0.67171
4322.64,0.79593
4322.7,0.85752
4322.76,0.9142
4322.82,0.83473
4322.88,0.84868
4322.94,0.73974
4323.06,0.66261
4323.12,0.58438
4323.18,0.69682
4323.24,0.54394
4323.3,0.55139
4323.36,0.60626
4323.42,0.61394
4323.48,0.60682
4323.54,0.61863
4323.6,0.52391
4323.66,0.53813
4323.72,0.56215
4323.78,0.66122
4323.84,0.60523
4323.9,0.55354
4323.96,0.57561
4324.02,0.69811
4324.08,0.56327
4324.14,0.65611
4324.2,0.72249
4324.26,0.80246
4324.32,0.75716
4324.38,0.66347
4324.44,0.73895
4324.5,0.64535
4324.56,0.66036
4324.62,0.64852
4324.68,0.57155
4324.74,0.50012
4324.8,0.40422
4324.86,0.26258
4324.92,0.21679
4324.98,0.1739
4325.04,0.17865
4325.1,0.32609
4325.16,0.39128
4325.22,0.51777
4325.28,0.61813
4325.34,0.55931
