C.D.S.  -  SIMBAD4 rel 1.7  -  2021.11.30CET17:34:50

otype="cC*" & dec  >-5 & Rmag  >14 & Rmag<  17 & nbref >3
---------------------------------------------------------
# 	            identifier             	typ	       coord1 (ICRS,J2000/2000)        	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   	#bib	#not
--	-----------------------------------	---	---------------------------------------	------	------	------	------	------	---------------	----	----
1 	ASASSN-V J214434.14+555854.3       	cC*	21 44 34.1906338634 +55 58 53.844204083	     ~	16.794	14.748	14.063	     ~	~              	   5	   0
2 	ASASSN-V J215434.54+590719.2       	cC*	21 54 34.6694293291 +59 07 18.064367609	     ~	16.595	14.882	14.197	     ~	~              	   7	   0
8 	V* GS Vul                          	cC*	19 48 26.4996905622 +21 32 14.591984266	     ~	     ~	     ~	14.958	     ~	~              	   7	   0
10	[MS98] 03-06544                    	cC*	19 46 11.4381202022 +24 09 03.834145291	     ~	     ~	     ~	14.79 	     ~	~              	   4	   0
11	StRS 329                           	cC*	20 00 02.4738533889 +29 11 12.821794029	     ~	     ~	     ~	14.172	     ~	~              	   6	   0
16	V* V957 Per                        	cC*	04 30 33.4963487313 +48 04 42.669586870	     ~	16.85 	14.83 	14.22 	     ~	~              	   4	   0
19	V* V1352 Cas                       	cC*	02 48 05.6026309069 +57 56 04.099358222	     ~	     ~	16.125	14.45 	     ~	~              	   6	   0
20	GSC 00689-00724                    	cC*	04 59 54.9682995890 +10 17 18.413687975	     ~	15.226	14.439	14.605	     ~	~              	   5	   0
27	OGLE GD-CEP-1259                   	cC*	18 56 53.3653808346 -02 43 04.091464068	     ~	16.994	14.826	14.659	12.362	~              	   5	   0
28	ASASSN-V J201151.18+342447.2       	cC*	20 11 51.1801250940 +34 24 47.174127824	20.263	17.987	15.480	14.853	     ~	~              	   6	   0
29	[SHM2017] J300.67700-03.60956      	cC*	20 02 42.4712627386 -03 36 34.362186051	     ~	     ~	     ~	14.346	     ~	~              	   6	   0
30	[SHM2017] J309.84390-02.37008      	cC*	20 39 22.5389236709 -02 22 12.248309963	     ~	14.969	14.603	14.528	     ~	~              	   4	   0
31	ASASSN-V J193235.01+264817.3       	cC*	19 32 35.0192171007 +26 48 17.286005052	     ~	     ~	     ~	15.723	     ~	~              	   5	   0
32	ATO J295.8701+29.2381              	cC*	19 43 28.8445874971 +29 14 17.207544674	     ~	     ~	     ~	14.724	     ~	~              	   4	   0
33	ASASSN-V J020154.67+624219.3       	cC*	02 01 54.6402081897 +62 42 18.755909856	     ~	     ~	14.299	14.239	     ~	~              	   4	   0
34	ASASSN-V J210816.15+324443.4       	cC*	21 08 16.0982880231 +32 44 43.910381616	     ~	15.167	14.314	14.088	     ~	~              	   5	   0
35	ASASSN-V J205916.93+443346.1       	cC*	20 59 16.9301293879 +44 33 45.905306268	     ~	16.124	14.578	14.141	     ~	~              	   4	   0
