col0,hjd,camera,filter,mag,magerr,flux (mJy),flux err,mjd,phase
27,2457420.543,bf,V,8.292,0.02,1849.97,34.039,57420.04300000006,0.6131616000566282
142,2457421.542,bf,V,8.107999999999999,0.02,2190.388,40.303000000000004,57421.0419999999,0.3835903999352013
128,2457423.711,bf,V,,0.02,1239.363,22.804000000000002,57423.21100000013,0.056323200107726734
102,2457427.7430000002,bf,V,8.199,0.02,2015.16,37.079,57427.24300000025,0.16580160020384938
138,2457437.826,bf,V,8.182,0.02,2046.5279999999998,37.656,57437.325999999885,0.9418111999111716
18,2457439.824,bf,V,8.149,0.02,2109.814,38.821,57439.32400000002,0.4826688000248396
51,2457444.703,bf,V,8.124,0.02,2160.167,39.747,57444.20300000021,0.24535360016307095
3,2457445.755,bf,V,8.179,0.02,2053.487,37.784,57445.25499999989,0.05665599992062198
24,2457448.594,bf,V,8.152000000000001,0.02,2104.157,38.716,57448.09400000004,0.24609280003642198
120,2457453.7290000003,bf,V,8.228,0.02,1962.236,36.105,57453.22900000028,0.20620480022625998
47,2457455.5519999997,bf,V,8.066,0.02,2277.743,41.91,57455.051999999676,0.6121023997548036
119,2457456.501,bf,V,8.226,0.02,1965.872,36.172,57456.001000000164,0.34397120013454696
116,2457457.578,bf,V,8.3,0.02,1835.9470000000001,33.781,57457.07800000021,0.17455360016901977
6,2457460.667,bf,V,8.231,0.02,1957.517,36.018,57460.1669999999,0.5567903999253758
156,2457478.586,bf,V,8.256,0.02,1912.705,35.194,57478.08600000013,0.37592320010298863
140,2457479.48,bf,V,8.171,0.02,2067.216,38.037,57478.97999999998,0.06537599999137456
137,2457480.706,bf,V,8.251,0.02,1920.441,35.336,57480.20599999977,0.01086719983140938
86,2457486.649,bf,V,8.237,0.02,1945.6779999999999,35.8,57486.14900000021,0.5941088001709431
32,2457559.4480000003,bf,V,8.184,0.02,2043.204,37.595,57558.948000000324,0.7366976002522279
106,2457659.871,bf,V,8.292,0.02,1850.237,34.044000000000004,57659.37099999981,0.18291519986087224
36,2457667.848,bf,V,8.162,0.02,2084.52,38.355,57667.34800000023,0.3347776001828606
132,2457670.8419999997,bf,V,8.142000000000001,0.02,2123.867,39.079,57670.34199999971,0.6437503997876775
13,2457687.796,bf,V,8.383,0.02,1700.8129999999999,31.295,57687.29600000009,0.7186752000707202
131,2457689.79,bf,V,8.191,0.02,2030.9289999999999,37.369,57689.29000000004,0.25644800003647106
76,2457693.781,bf,V,8.105,0.02,2198.299,40.449,57693.28099999996,0.3343071999697713
88,2457698.784,bf,V,8.294,0.02,1846.905,33.983000000000004,57698.283999999985,0.1926208000004408
123,2457701.761,bf,V,8.07,0.02,2268.9770000000003,41.748999999999995,57701.26099999994,0.4884831999661401
111,2457707.775,bf,V,8.169,0.02,2071.988,38.125,57707.27499999991,0.12647999993350822
92,2457716.804,bf,V,8.272,0.02,1884.1129999999998,34.668,57716.304000000004,0.08964480000577169
75,2457720.788,bf,V,8.26,0.02,1904.5320000000002,35.043,57720.288000000175,0.1621056001386023
84,2457725.74,bf,V,8.179,0.02,2053.466,37.784,57725.24000000022,0.9810880001750775
110,2457726.762,bf,V,8.26,0.02,1904.8429999999998,35.049,57726.262000000104,0.7692544000819908
50,2457729.6890000002,bf,V,8.347000000000001,0.02,1758.6960000000001,32.36,57729.189000000246,0.026556800199614372
71,2457737.731,bf,V,8.127,0.02,2153.644,39.626999999999995,57737.231000000145,0.2285472001240123
109,2457740.703,bf,V,8.162,0.02,2084.38,38.353,57740.20300000021,0.5205536001740256
68,2457745.75,bf,V,8.076,0.02,2257.666,41.541000000000004,57745.25,0.4128000000055181
56,2457749.63,bf,V,8.231,0.02,1956.371,35.997,57749.12999999989,0.4050559999232064
2,2457752.741,bf,V,8.28,0.02,1870.547,34.418,57752.24099999992,0.8042591999474098
150,2457756.608,bf,V,8.058,0.02,2294.917,42.226000000000006,57756.10800000001,0.7864896000100998
146,2457757.6119999997,bf,V,8.334,0.02,1778.9720000000002,32.733000000000004,57757.11199999973,0.5607743997970829
81,2457758.597,bf,V,8.341000000000001,0.02,1768.047,32.532,57758.09700000007,0.32040640006016474
67,2457760.6040000003,bf,V,8.285,0.02,1861.908,34.259,57760.10400000028,0.8682048002228839
70,2457763.787,bf,V,8.115,0.02,2176.328,40.044000000000004,57763.28700000001,0.3229344000137644
57,2457764.66,bf,V,8.175,0.02,2059.514,37.895,57764.16000000015,0.9961920001223916
17,2457765.616,bf,V,8.373,0.02,1716.7279999999998,31.588,57765.11599999992,0.7334591999388067
135,2457768.794,bf,V,8.288,0.02,1856.109,34.152,57768.29400000023,0.18433280017779907
49,2457772.774,bf,V,8.301,0.02,1833.684,33.74,57772.27400000021,0.25370880016998854
134,2457775.819,bf,V,8.47,0.02,1569.743,28.883000000000003,57775.319000000134,0.6020128001109697
133,2457778.73,bf,V,8.338,0.02,1773.405,32.631,57778.22999999998,0.8469759999934467
85,2457781.529,bf,V,8.363,0.02,1731.86,31.866,57781.0290000001,0.0055648000779910944
14,2457783.5319999997,bf,V,8.371,0.02,1720.441,31.656,57783.03199999966,0.5502783997435472
80,2457789.652,bf,V,8.157,0.02,2094.862,38.545,57789.15199999977,0.2700223998326692
60,2457790.528,bf,V,8.146,0.02,2115.847,38.931999999999995,57790.02799999993,0.9455935999576468
1,2457791.849,bf,V,8.427,0.02,1633.434,30.055,57791.34899999993,0.9643487999564968
66,2457792.567,bf,V,8.119,0.02,2169.751,39.923,57792.066999999806,0.5180703998557874
7,2457795.5609999998,bf,V,8.184,0.02,2043.549,37.601,57795.060999999754,0.8270431998171262
124,2457798.807,bf,V,8.359,0.02,1738.775,31.993000000000002,57798.30700000003,0.3303584000314004
62,2457801.779,bf,V,8.414,0.02,1652.464,30.405,57801.2790000001,0.6223648000814137
52,2457802.82,bf,V,8.346,0.02,1759.65,32.378,57802.31999999983,0.42518399987602606
43,2457803.795,bf,V,8.205,0.02,2003.49,36.864000000000004,57803.294999999925,0.1771039999439381
125,2457806.7709999997,bf,V,8.34,0.02,1769.8020000000001,32.564,57806.27099999972,0.47219519978534663
35,2457812.58,bf,V,8.355,0.02,1745.717,32.121,57812.080000000075,0.9520960000663763
5,2457816.505,bf,V,8.15,0.02,2108.577,38.798,57816.00499999989,0.9790559999237303
23,2457817.792,bf,V,8.415,0.02,1651.578,30.389,57817.2919999999,0.9715903999240254
16,2457822.762,bf,V,8.251,0.02,1921.8039999999999,35.361,57822.262000000104,0.8044544000877067
4,2457823.643,bf,V,8.19,0.02,2031.421,37.378,57823.14300000016,0.48388160012837034
108,2457825.664,bf,V,8.266,0.02,1894.9920000000002,34.868,57825.16399999987,0.04247679991385667
91,2457828.741,bf,V,8.324,0.02,1796.7089999999998,33.059,57828.24099999992,0.41545919994678115
58,2457831.6969999997,bf,V,8.316,0.02,1810.023,33.304,57831.196999999695,0.6951263997761998
147,2457833.599,bf,V,8.221,0.02,1973.98,36.321,57833.09899999993,0.16194879995600786
