wavelength        flux
3615.14379882812  13.7198
3616.61485183239  39.36613
3618.08590483665  41.71244
3619.55695784092  35.91117
3621.02801084518  -15.86438
3622.49906384945  42.14685
3623.97011685371  6.352526
3625.44116985798  59.58015
3626.91222286224  25.83712
3628.38327586651  18.83952
3629.85432887077  32.43815
3631.32538187504  20.87161
3632.7964348793  22.86671
3634.26748788357  26.21371
3635.73854088783  33.25608
3637.2095938921  18.39804
3638.68064689636  10.16396
3640.15169990063  45.99874
3641.62275290489  21.83548
3643.09380590916  3.784774
3644.56485891342  11.56398
3646.03591191769  33.55996
3647.50696492195  37.61566
3648.97801792622  55.31559
3650.44907093048  49.73199
3651.92012393475  22.61832
3653.39117693901  38.33399
3654.86222994328  -4.515031
3656.33328294754  11.05381
3657.8043359518  22.67412
3659.27538895607  29.86829
3660.74644196033  9.196091
3662.2174949646  38.71014
3663.68854796886  -7.237234
3665.15960097313  22.34836
3666.63065397739  62.98176
3668.10170698166  25.26384
3669.57275998592  0.251096
3671.04381299019  5.173822
3672.51486599445  39.56234
3673.98591899872  12.21899
3675.45697200298  24.16006
3676.92802500725  13.19374
3678.39907801151  34.21277
3679.87013101578  -7.008826
3681.34118402004  25.74828
3682.81223702431  82.69681
3684.28329002857  1.011362
3685.75434303284  24.88489
3687.2253960371  26.92805
3688.69644904137  32.86659
3690.16750204563  50.93345
3691.6385550499  14.28184
3693.10960805416  14.28999
3694.58066105843  48.55061
3696.05171406269  39.44324
3697.52276706695  8.123942
3698.99382007122  -3.835558
3700.46487307548  42.98297
3701.93592607975  19.02463
3703.40697908401  38.39426
3704.87803208828  21.14049
3706.34908509254  75.32426
3707.82013809681  10.51671
3709.29119110107  30.73427
3710.76224410534  31.99022
3712.2332971096  35.53261
3713.70435011387  29.04998
3715.17540311813  18.07551
3716.6464561224  28.43577
3718.11750912666  45.39434
3719.58856213093  49.87865
3721.05961513519  48.42516
3722.53066813946  39.14761
3724.00172114372  30.66094
3725.47277414799  45.35829
3726.94382715225  48.40061
3728.41488015652  25.93361
3729.88593316078  55.48881
3731.35698616505  60.78082
3732.82803916931  57.83033
3734.29909217358  63.38767
3735.77014517784  33.16504
3737.24119818211  26.84737
3738.71225118637  32.07408
3740.18330419064  37.92072
3741.6543571949  36.04708
3743.12541019917  27.12092
3744.59646320343  41.86993
3746.06751620769  69.74335
3747.53856921196  62.40263
3749.00962221622  51.73593
3750.48067522049  22.27854
3751.95172822475  28.86264
3753.42278122902  55.27583
3754.89383423328  24.50165
3756.36488723755  10.15177
3757.83594024181  44.34252
3759.30699324608  19.92694
3760.77804625034  47.03207
3762.24909925461  56.34361
3763.72015225887  -19.22474
3765.19120526314  10.38431
3766.6622582674  57.33198
3768.13331127167  61.89771
3769.60436427593  79.78245
3771.0754172802  79.11446
3772.54647028446  15.97312
3774.01752328873  32.08985
3775.48857629299  76.33884
3776.95962929726  -0.3230532
3778.43068230152  61.37067
3779.90173530579  -3.812547
3781.37278831005  42.04905
3782.84384131432  30.96161
3784.31489431858  -21.58347
3785.78594732284  27.28824
3787.25700032711  34.11465
3788.72805333137  35.09285
3790.19910633564  35.70972
3791.6701593399  42.03334
3793.14121234417  46.21025
3794.61226534843  36.83188
3796.0833183527  63.12976
3797.55437135696  45.57814
3799.02542436123  39.25055
3800.49647736549  42.55938
3801.96753036976  63.7886
3803.43858337402  2.719522
3804.90963637829  -0.8502304
3806.38068938255  52.03244
3807.85174238682  41.0166
3809.32279539108  29.95897
3810.79384839535  62.83166
3812.26490139961  66.48048
3813.73595440388  24.18644
3815.20700740814  35.09984
3816.67806041241  25.80078
3818.14911341667  12.30824
3819.62016642094  23.9585
3821.0912194252  33.65194
3822.56227242947  8.4162
3824.03332543373  -3.297472
3825.50437843799  6.826007
3826.97543144226  72.31409
3828.44648444653  87.47478
3829.91753745079  32.20745
3831.38859045505  92.47118
