-2.4e+06,mag,mag err
57070.3,13.942,0.02349
56903.6,13.873,0.02305
57394.4,14.132,0.02505
57387.5,14.11,0.02484
57030.3,13.959,0.02361
57329.4,13.74,0.0224
57805.3,13.842,0.02288
57409.3,14.05,0.02431
57710.5,13.934,0.02344
57780.4,13.706,0.02228
57020.2,14.028,0.02413
56992.3,13.998,0.02389
58408.5,14.285,0.0267
57975.6,14.126,0.02499
58331.6,14.024,0.0241
57443.3,13.924,0.02337
56536.5,14.152,0.02524
57055.3,14.031,0.02415
57782.4,13.822,0.02278
57035.3,14.043,0.02425
56638.4,14.05,0.02431
57364.4,14.337,0.02735
56907.5,13.982,0.02377
57608.6,14.131,0.02504
57388.4,13.985,0.02379
56597.5,14.335,0.02733
57228.6,13.887,0.02314
57361.5,14.362,0.02768
57370.4,13.92,0.02334
57639.6,14.076,0.02453
57448.3,13.841,0.02287
57423.3,13.799,0.02266
58450.5,14.318,0.02711
57004.4,13.805,0.02269
57245.6,14.142,0.02514
56875.6,13.984,0.02379
57045.3,13.871,0.02304
56621.4,13.952,0.02356
57415.4,13.848,0.02291
58027.5,14.24,0.02618
57316.4,13.941,0.02348
57702.4,13.843,0.02289
57668.4,14.095,0.0247
57639.6,13.942,0.02349
57308.4,13.946,0.02352
56909.5,13.85,0.02292
57806.3,13.507,0.02186
57003.4,13.694,0.02224
57756.3,14.186,0.02559
57262.5,14.26,0.02641
57001.5,13.683,0.0222
57018.2,13.894,0.02318
57095.2,13.936,0.02345
57344.4,13.935,0.02344
57237.6,14.138,0.0251
56882.6,13.933,0.02343
57416.3,14.057,0.02437
57617.6,14.1,0.02475
56348.3,14.044,0.02426
57321.4,13.824,0.02279
57766.2,14.184,0.02557
58001.5,13.834,0.02284
57017.2,13.967,0.02366
57411.3,13.868,0.02302
56999.5,13.845,0.0229
57420.4,13.83,0.02282
56988.4,13.773,0.02254
58343.6,14.083,0.02459
57391.4,13.989,0.02382
56983.4,13.778,0.02256
57363.3,14.332,0.02729
57233.6,13.971,0.02369
58383.5,14.174,0.02546
56897.6,13.88,0.02309
57002.5,13.443,0.02185
56991.3,14.09,0.02466
57737.5,14.059,0.02438
57413.4,13.925,0.02338
56676.3,13.812,0.02272
57328.6,13.951,0.02355
57403.4,13.872,0.02305
56924.5,14.235,0.02612
57441.3,13.985,0.02379
57447.3,13.798,0.02266
57384.3,13.86,0.02298
56896.6,14.112,0.02486
57042.3,13.971,0.02369
56520.6,14.288,0.02674
56899.6,13.759,0.02248
57450.3,13.929,0.0234
57342.3,13.854,0.02295
57313.4,13.97,0.02369
56902.6,13.982,0.02377
57015.4,13.744,0.02242
57013.4,13.766,0.02251
58148.3,13.968,0.02367
57310.5,14.255,0.02635
57696.6,13.629,0.02205
56881.6,13.809,0.02271
57453.3,14.041,0.02423
57401.3,13.785,0.0226
57360.5,14.329,0.02725
57288.5,14.125,0.02498
57427.3,14.167,0.02539
56892.6,14.119,0.02492
57362.5,14.353,0.02756
56874.6,14.069,0.02447
57418.3,13.976,0.02373
58427.4,14.033,0.02417
58413.6,13.652,0.02211
57445.3,14.107,0.02481
57802.3,13.997,0.02388
57637.6,14.12,0.02493
57368.4,13.925,0.02338
57673.4,14.027,0.02412
57374.3,13.854,0.02295
56593.5,14.254,0.02634
57971.6,14.098,0.02473
57366.3,14.127,0.025
57358.5,14.197,0.0257
58026.6,14.232,0.02609
57793.3,13.78,0.02257
57038.4,14.228,0.02604
57304.5,13.664,0.02214
57670.5,13.867,0.02302
57319.4,13.868,0.02302
56984.4,13.934,0.02344
57784.4,13.806,0.0227
57601.6,13.989,0.02382
57054.3,14.14,0.02512
57039.3,14.172,0.02544
58416.6,13.462,0.02185
57012.4,13.864,0.023
56629.4,14.248,0.02627
57765.4,14.185,0.02558
56990.4,13.916,0.02332
57428.3,14.134,0.02507
57008.4,14.101,0.02476
57389.4,13.956,0.02359
57072.3,14.136,0.02508
57677.4,13.948,0.02353
57356.4,13.919,0.02334
58406.4,13.801,0.02267
56524.6,14.062,0.02441
56986.4,13.839,0.02286
57698.5,13.748,0.02244
56569.5,14.047,0.02428
57449.3,13.859,0.02297
58002.5,13.921,0.02335
57823.2,13.864,0.023
57398.3,13.898,0.0232
57451.3,14.095,0.0247
56884.6,13.81,0.02271
56904.6,13.806,0.0227
57458.3,14.113,0.02487
56556.5,14.06,0.02439
58448.5,14.19,0.02563
57424.3,13.907,0.02326
56981.5,13.855,0.02295
56537.6,14.12,0.02493
57036.3,14.138,0.0251
58028.6,14.111,0.02485
57998.5,13.9,0.02322
57264.6,14.293,0.0268
56917.5,14.062,0.02441
57273.6,13.694,0.02224
56527.6,13.615,0.02202
56507.6,14.116,0.02489
57318.5,13.874,0.02306
57047.3,14.011,0.02399
57382.4,13.83,0.02282
57255.6,13.988,0.02382
56891.6,14.023,0.02409
57061.3,13.86,0.02298
56873.6,14.2,0.02574
57396.3,14.026,0.02411
56972.3,13.808,0.0227
56919.6,13.994,0.02386
57807.3,13.793,0.02263
57466.2,14.072,0.0245
57284.5,14.106,0.0248
56979.4,13.922,0.02336
56918.5,14.069,0.02447
57422.4,13.829,0.02281
57452.3,14.077,0.02454
