HJD              Vmag     Imag
2450850.875390   8.1976   7.0938
2450850.881450   8.1970   7.0914
2450850.896340   8.2026   7.0883
2450851.872150   8.2224   7.1075
2450851.890060   8.2148   7.1027
2450852.869070   8.1860   7.0818
2450852.875120   8.1841   7.0814
2450855.867700   8.2106   7.1008
2450855.882620   8.2072   7.0995
2450856.861660   8.1984   7.0866
2450856.867700   8.1921   7.0889
2450856.903930   8.1883   7.0808
2450861.851250   8.1952   7.0887
2450861.865680   8.1825   7.0845
2450866.836780   8.1539   7.0728
2450867.835400   8.2098   7.1051
2450867.850090   8.2107   7.1017
2450867.912530   8.2129   7.1090
2450868.826450   8.2126   7.0986
2450868.863500   8.2109   7.0983
2450868.954680   8.1981   7.0896
2450872.819330   8.2082   7.1027
2450872.833810   8.2125   7.0980
2450872.893850   8.2123   7.1043
2450873.818560   8.1955   7.0844
2450873.833090   8.1907   7.0864
2450873.895460   8.1858   7.0793
2450874.814900   8.1993   7.1003
2450874.828750   8.2034   7.1010
2450874.885530   8.2038   7.1005
2450875.814530   8.2228   7.1095
2450875.881970   8.2228   7.1061
2450876.810610   8.1824   7.0828
2450876.824450   8.1815   7.0801
2450876.884600   8.1869   7.0883
2450877.806090   8.2106   7.0986
2450877.820440   8.2156   7.1056
2450877.878270   8.2159   7.1012
2450878.806940   8.1791   7.0822
2450880.800110   8.2088   7.0936
2450880.814990   8.2134   7.0982
2450880.868220   8.2063   7.0993
2450881.797220   8.1972   7.0923
2450881.874150   8.2060   7.0984
2450882.794130   8.2144   7.1006
2450882.809040   8.2148   7.1019
2450882.865430   8.2164   7.1016
2450883.792230   8.1827   7.0752
2450883.807200   8.1797   7.0780
2450883.895400   8.1841   7.0836
2450885.784920   8.1878   7.0808
2450885.856840   8.1833   7.0830
2450889.775480   8.1957   7.0853
2450889.790430   8.1973   7.0881
2450889.846890   8.1965   7.0946
2450891.768860   8.2117   7.0987
2450891.785060   8.2131   7.1060
2450891.838510   8.2106   7.0993
2450892.766110   8.2057   7.0943
2450892.779890   8.1999   7.0929
2450892.840110   8.1982   7.0905
2450893.765500   8.2197   7.1109
2450893.779370   8.2224   7.1120
2450893.838370   8.2252   7.1156
2450894.760330   8.2056   7.0944
2450894.774320   8.2066   7.0980
2450895.832470   8.1838   7.0847
2450896.755160   8.2158   7.1112
2450896.769200   8.2115   7.1083
2450896.827270   8.2118   7.1073
2450897.755230   8.1882   7.0852
2450897.769530   8.1858   7.0845
2450897.832050   8.1848   7.0851
2450898.749460   8.2303   7.1250
2450898.763670   8.2277   7.1280
2450900.746150   8.1949   7.0875
2450900.760490   8.1956   7.0896
2450900.846140   8.2011   7.0991
2450903.732200   8.2310   7.1198
2450903.777470   8.2216   7.1091
2450903.868130   8.2198   7.1096
2450904.736090   8.2055   7.0954
2450904.750080   8.2109   7.0978
2450904.835460   8.2041   7.0944
2450906.730800   8.2154   7.1030
2450906.744590   8.2174   7.1025
2450906.833020   8.2158   7.0998
2450907.725170   8.1810   7.0814
2450907.739550   8.1781   7.0753
2450907.828830   8.1846   7.0858
2450908.722170   8.2218   7.1149
2450908.736050   8.2201   7.1088
2450908.825430   8.2177   7.1048
2450909.718830   8.1959   7.0893
2450909.724860   8.1972   7.0884
2450909.795290   8.1910   7.0862
2450910.719290   8.2392   7.1240
2450910.734100   8.2410   7.1260
2450910.825180   8.2391   7.1259
2450911.713470   8.2150   7.1019
2450911.728300   8.2125   7.0952
2450911.834530   8.2079   7.0973
2450912.713190   8.1871   7.0883
2450912.719870   8.1884   7.0877
2450912.811440   8.1966   7.0926
2450913.709460   8.2239   7.1080
2450913.724400   8.2236   7.1138
2450913.816880   8.2186   7.1084
2450914.708920   8.1867   7.0830
2450914.723410   8.1843   7.0831
2450914.822280   8.1808   7.0838
2450915.699700   8.2478   7.1263
2450915.733350   8.2356   7.1308
2450915.821690   8.2335   7.1286
2450916.700530   8.1992   7.0914
2450916.714890   8.1995   7.0864
2450916.821140   8.1938   7.0875
2450917.697850   8.2060   7.0985
2450917.715990   8.2089   7.0981
2450917.797740   8.2225   7.1112
2450918.695250   8.2162   7.1040
2450918.712750   8.2166   7.1021
2450918.818730   8.2114   7.1015
2450919.694940   8.1785   7.0754
2450919.714250   8.1776   7.0800
2450919.812460   8.1823   7.0832
2450920.688810   8.2333   7.1192
2450920.818110   8.2271   7.1115
2450921.684900   8.1856   7.0803
2450921.721990   8.1827   7.0756
2450921.817690   8.1801   7.0755
2450922.681610   8.2377   7.1253
2450922.718960   8.2378   7.1248
2450922.814580   8.2383   7.1225
2450923.678360   8.2089   7.0930
2450923.716080   8.2036   7.0999
2450923.811290   8.2018   7.0907
2450924.674950   8.2099   7.1029
2450924.712110   8.2019   7.0956
2450924.807130   8.2073   7.1042
2450925.671900   8.2327   7.1189
2450925.713470   8.2282   7.1085
2450925.808420   8.2249   7.1152
2450926.672200   8.1874   7.0829
2450926.713280   8.1858   7.0788
2450926.808340   8.1798   7.0764
2450928.766460   8.1941   7.0839
2450929.662100   8.2315   7.1101
2450931.659040   8.1885   7.0843
2450931.715010   8.1925   7.0913
2450931.807070   8.1925   7.0920
2450933.657510   8.2056   7.0951
2450933.716800   8.1993   7.1028
2450933.801760   8.1945   7.0903
2450934.655660   8.2643   7.1445
2450934.711450   8.2444   7.1304
2450934.796290   8.2537   7.1327
2450935.663780   8.2045   7.0946
2450935.704900   8.1974   7.0924
2450935.780940   8.1918   7.0909
2450936.666840   8.1880   7.0895
2450936.714020   8.1921   7.0916
2450936.799890   8.2045   7.0976
2450937.666520   8.2107   7.1069
2450937.798710   8.2080   7.1090
2450938.821400   8.1774   7.0755
2450938.872360   8.1764   7.0775
2450941.842930   8.2263   7.1146
2450942.853900   8.1948   7.0853
2450943.840570   8.1723   7.0777
2450944.815420   8.2075   7.1023
2450944.856970   8.2103   7.1025
2450945.815650   8.1764   7.0773
2450946.720840   8.2136   7.1073
2450946.788930   8.2165   7.1080
2450947.809290   8.1979   7.0952
2450948.823040   8.1938   7.0897
2450951.775750   8.2126   7.1088
2450952.780520   8.1931   7.0946
2450953.668260   8.1915   7.0918
2450953.784090   8.1910   7.0968
2450955.722220   8.1441   7.0457
2450956.669540   8.2227   7.1122
2450956.722450   8.2161   7.1133
2450957.671340   8.2013   7.0797
2450957.727430   8.1671   7.0694
2450957.814080   8.1625   7.0656
2450959.669970   8.2171   7.1100
2450959.725950   8.1910   7.0876
2450959.808710   8.1802   7.0822
2450960.670310   8.1738   7.0862
2450960.726260   8.1763   7.0925
2450960.808940   8.1822   7.0820
2450961.666300   8.1975   7.0953
2450961.722220   8.1993   7.1053
2450961.804930   8.1968   7.1094
2450962.665550   8.1799   7.0760
2450963.719250   8.1998   7.1016
2450965.797010   8.1879   7.0829
2450966.664390   8.2096   7.0985
2450968.659860   8.1999   7.1013
2450968.711660   8.2032   7.0979
2450968.787160   8.2019   7.1018
2450969.709170   8.1767   7.0811
2450969.783310   8.1784   7.0762
2450970.665100   8.1914   7.0933
2450970.710380   8.1908   7.0958
2450972.669230   8.1878   7.0787
2450973.672260   8.2334   7.0960
2450973.722680   8.2147   7.1082
2450987.663080   8.2016   7.0993
2450989.730260   8.1595   7.0836
2450990.673160   8.1896   7.0915
2450991.673080   8.1838   7.0959
2450993.672890   8.1651   7.0530
2450996.673850   8.1697   7.0798
2451153.046830   8.1838   7.0958
2451156.036600   8.2026   7.1046
2451157.034300   8.1921   7.0985
2451160.024590   8.1711   7.0827
2451160.030620   8.1784   7.0827
2451161.020930   8.1958   7.0990
2451161.026940   8.1988   7.0978
2451161.041690   8.1988   7.0917
2451162.040310   8.1991   7.1055
2451164.013300   8.1930   7.1072
2451164.019340   8.1924   7.1030
2451168.002990   8.2048   7.0965
2451168.009050   8.2012   7.1021
2451169.024690   8.1904   7.0834
2451169.999510   8.1978   7.0959
2451170.016820   8.1921   7.0962
2451170.037460   8.1870   7.0885
2451171.994160   8.1796   7.0943
2451172.038190   8.1895   7.1003
2451172.993860   8.2076   7.0829
2451173.022220   8.2058   7.0966
2451173.036290   8.2098   7.0932
2451173.989020   8.2092   7.1219
2451174.006320   8.2076   7.1122
2451174.030210   8.2110   7.1109
2451175.006050   8.1940   7.0908
2451175.987300   8.2043   7.1080
2451176.015940   8.2028   7.1060
2451176.041610   8.2036   7.1156
2451176.984780   8.1736   7.0820
2451177.013220   8.1752   7.0839
2451177.038820   8.1758   7.0838
2451179.976140   8.2092   7.1114
2451180.004610   8.2128   7.1159
2451180.030180   8.2122   7.1155
2451180.973660   8.2115   7.1123
2451181.002280   8.2088   7.1070
2451181.027950   8.2075   7.1080
2451181.966320   8.1800   7.0921
2451181.986580   8.1816   7.0938
2451182.010330   8.1822   7.0905
2451182.967420   8.2048   7.1021
2451182.995800   8.1892   7.0705
2451183.021410   8.2011   7.0991
2451183.966140   8.1711   7.0785
2451183.994600   8.1765   7.0910
2451184.020170   8.1738   7.0845
2451185.960850   8.2005   7.1010
2451185.988170   8.1961   7.1041
2451186.011490   8.1951   7.0957
2451186.957470   8.1925   7.1039
2451186.985980   8.1913   7.1000
2451187.009300   8.1959   7.1009
2451187.949450   8.1781   7.0987
2451187.955490   8.2005   7.1083
2451187.970310   8.2011   7.1125
2451188.946790   8.1520   7.0690
2451188.967660   8.1589   7.0750
2451189.949840   8.1944   7.0986
2451189.969230   8.1944   7.1064
2451190.001670   8.1940   7.1075
2451191.944530   8.1966   7.0974
2451191.961600   8.1945   7.1016
2451191.985220   8.1920   7.1016
2451192.939490   8.2163   7.1273
2451193.939170   8.1633   7.0867
2451193.967960   8.1667   7.0957
2451193.993710   8.1655   7.0867
2451194.931900   8.1860   7.1086
2451194.952200   8.1859   7.1007
2451194.975980   8.1897   7.1041
2451195.933960   8.1498   7.0680
2451195.962490   8.1520   7.0709
2451196.932780   8.1884   7.0963
2451196.959240   8.1866   7.0944
2451196.984970   8.1806   7.0977
2451197.924230   8.2006   7.1101
2451197.944550   8.2054   7.1166
2451197.981420   8.2000   7.1075
2451198.924180   8.1735   7.0941
2451198.952650   8.1718   7.0891
2451198.978330   8.1759   7.0943
2451200.919630   8.1453   7.0647
2451200.934470   8.1358   7.0548
2451200.990290   8.1395   7.0612
2451201.913930   8.1775   7.0878
2451201.934280   8.1841   7.0910
2451201.980920   8.1834   7.0971
2451206.902650   8.1816   7.0962
2451206.919390   8.1866   7.0965
2451206.941690   8.1877   7.0929
2451207.900090   8.1397   7.0607
2451207.914880   8.1443   7.0642
2451208.896910   8.1776   7.0847
2451208.918320   8.1753   7.0908
2451208.961500   8.1795   7.0916
2451211.890720   8.1928   7.1050
2451211.968830   8.1737   7.0769
2451212.884240   8.1387   7.0609
2451212.896440   8.1295   7.0566
2451212.952130   8.1416   7.0669
2451213.883860   8.1752   7.0784
2451215.878390   8.1614   7.0750
2451215.884440   8.1578   7.0752
2451215.949030   8.1595   7.0758
2451216.874350   8.2040   7.1168
2451216.894570   8.2045   7.1203
2451216.954380   8.2039   7.1193
2451217.888940   8.1145   7.0597
2451218.871230   8.1700   7.0822
2451218.899560   8.1815   7.0922
2451218.949360   8.1797   7.0919
2451219.867140   8.1335   7.0580
2451219.887320   8.1313   7.0548
2451220.001790   8.1249   7.0514
2451222.858220   8.1468   7.0607
2451222.876250   8.1497   7.0612
2451222.936520   8.1495   7.0616
2451223.854970   8.1942   7.1019
2451223.875180   8.1941   7.0976
2451223.989700   8.1973   7.1069
2451224.875610   8.1269   7.0446
2451225.853710   8.1691   7.0836
2451225.882190   8.1635   7.0719
2451227.847200   8.1654   7.0851
2451227.862020   8.1645   7.0865
2451227.885490   8.1626   7.0786
2451228.846460   8.2090   7.1125
2451228.874970   8.2254   7.1159
2451228.900420   8.2172   7.1104
2451230.835990   8.1768   7.0903
2451230.856220   8.1882   7.0946
2451232.830630   8.1767   7.0877
2451232.850860   8.1836   7.0951
2451232.909130   8.1801   7.0879
2451233.830780   8.2096   7.1104
2451233.845600   8.2051   7.1124
2451233.905900   8.1964   7.1117
2451234.828440   8.1619   7.0739
2451235.822880   8.1999   7.1132
2451235.843150   8.2022   7.1066
2451235.901420   8.2148   7.1162
2451236.822000   8.1307   7.0549
2451236.843460   8.1249   7.0584
2451236.956520   8.1235   7.0556
2451237.817500   8.1803   7.0805
2451237.837770   8.1799   7.0877
2451237.949940   8.1820   7.0773
2451238.815160   8.1760   7.0927
2451238.835440   8.1663   7.0761
2451238.969150   8.1436   7.0620
2451239.813280   8.1774   7.0832
2451239.826580   8.1770   7.0992
2451239.966680   8.1771   7.0866
2451240.813900   8.2260   7.1256
2451240.825440   8.2218   7.1202
2451240.844380   8.2192   7.1213
2451246.795890   8.1659   7.0783
2451246.817820   8.1598   7.0812
2451248.794550   8.1348   7.0665
2451248.806250   8.1338   7.0627
2451248.825500   8.1298   7.0564
2451250.782660   8.1720   7.0882
2451250.794190   8.1665   7.0797
2451250.820570   8.1674   7.0874
2451251.783990   8.1670   7.0883
2451251.795540   8.1658   7.0817
2451251.814520   8.1692   7.0902
2451252.779450   8.2221   7.1306
2451252.790990   8.2259   7.1298
2451253.778740   8.1403   7.0709
2451253.790300   8.1427   7.0660
2451253.809270   8.1401   7.0698
2451256.766810   8.1602   7.0909
2451256.787110   8.1635   7.0819
2451256.918490   8.1602   7.0873
2451257.765160   8.2056   7.1140
2451257.786690   8.2045   7.1194
2451257.916140   8.1850   7.1000
2451258.762590   8.1611   7.0746
2451258.784190   8.1584   7.0783
2451258.898390   8.1621   7.0877
2451259.761700   8.1872   7.1019
2451259.790190   8.1959   7.0979
2451259.905730   8.2102   7.1103
2451260.755150   8.1478   7.0722
2451261.753090   8.1508   7.0599
2451261.773410   8.1487   7.0640
2451261.905270   8.1715   7.0804
2451262.751980   8.1868   7.0951
2451262.773520   8.1870   7.1186
2451262.893220   8.1666   7.0821
2451264.750730   8.2004   7.1115
2451264.779380   8.1992   7.1033
2451265.742810   8.1503   7.0696
2451265.763140   8.1526   7.0729
2451265.897140   8.1603   7.0811
2451266.740750   8.1579   7.0737
2451266.762350   8.1607   7.0728
2451266.877080   8.1708   7.0781
