# delta T(ms), flux(Jy)
-302.6160,1.3684
-301.4316,-0.4941
-300.2472,-0.1754
-299.0628,-0.1100
-297.8784,-0.0798
-296.6940,1.0407
-295.5096,1.3973
-294.3252,-0.5884
-293.1407,0.0661
-291.9563,-1.3599
-290.7719,-0.2781
-289.5875,-0.2467
-288.4031,-0.2599
-287.2187,0.5986
-286.0343,0.2564
-284.8499,0.7749
-283.6655,0.5927
-282.4811,0.2347
-281.2967,1.1217
-280.1123,0.2456
-278.9279,1.1122
-277.7435,-0.7389
-276.5590,-0.3415
-275.3746,-0.2977
-274.1902,-0.7156
-273.0058,0.1420
-271.8214,-0.5203
-270.6370,-0.0417
-269.4526,-1.1948
-268.2682,1.0992
-267.0838,0.7976
-265.8994,-0.6483
-264.7150,0.8664
-263.5306,-0.0209
-262.3462,0.4012
-261.1618,2.2331
-259.9773,-0.8439
-258.7929,0.4674
-257.6085,0.0489
-256.4241,-0.1805
-255.2397,0.4527
-254.0553,1.8884
-252.8709,-0.5625
-251.6865,-0.3647
-250.5021,-0.0839
-249.3177,-0.2646
-248.1333,0.4308
-246.9489,0.4997
-245.7645,-0.4388
-244.5801,-1.1170
-243.3956,0.3195
-242.2112,-1.1563
-241.0268,0.6272
-239.8424,-0.4943
-238.6580,0.1477
-237.4736,-1.1210
-236.2892,-0.1681
-235.1048,1.0748
-233.9204,0.0460
-232.7360,1.4397
-231.5516,-0.6035
-230.3672,-0.2823
-229.1828,0.1743
-227.9984,-0.0375
-226.8139,0.1615
-225.6295,-0.0550
-224.4451,-0.0893
-223.2607,1.2569
-222.0763,0.2121
-220.8919,-0.0538
-219.7075,0.3641
-218.5231,-0.0633
-217.3387,0.0940
-216.1543,1.3383
-214.9699,0.9593
-213.7855,-0.0188
-212.6011,-0.5741
-211.4167,1.2663
-210.2323,-0.5561
-209.0478,-0.9624
-207.8634,0.3414
-206.6790,-0.3387
-205.4946,0.8271
-204.3102,0.6112
-203.1258,0.9207
-201.9414,-0.0120
-200.7570,0.0908
-199.5726,0.4290
-198.3882,0.7359
-197.2038,0.4369
-196.0194,0.4193
-194.8350,0.2883
-193.6506,0.5056
-192.4661,0.4139
-191.2817,0.1374
-190.0973,-0.1210
-188.9129,0.7918
-187.7285,-0.5095
-186.5441,-0.0101
-185.3597,-0.5774
-184.1753,0.4580
-182.9909,-0.8257
-181.8065,1.1749
-180.6221,-0.2880
-179.4377,0.4692
