wavelength       flux
3200.00     0.358719
3202.00    0.0889482
3204.00    0.0497042
3206.00    -0.186613
3208.00    -0.347598
3210.00    -0.338456
3212.00    -0.128998
3214.00    0.0171724
3216.00     0.232430
3218.00     0.281540
3220.00     0.121584
3222.00     0.291413
3224.00     0.382034
3226.00     0.393175
3228.00     0.517486
3230.00     0.400457
3232.00   -0.0931775
3234.00    -0.434624
3236.00    -0.523373
3238.00    -0.391506
3240.00    -0.302529
3242.00   -0.0175190
3244.00   -0.0651551
3246.00    0.0331549
3248.00   -0.0215011
3250.00    -0.166227
3252.00    -0.264183
3254.00   -0.0590361
3256.00    -0.119470
3258.00    -0.281868
3260.00    -0.484933
3262.00    -0.579367
3264.00    -0.865483
3266.00     -1.07565
3268.00     -1.00547
3270.00    -0.878703
3272.00    -0.689442
3274.00    -0.380721
3276.00    -0.147147
3278.00    -0.428995
3280.00    -0.485791
3282.00    -0.384235
3284.00    -0.319164
3286.00    -0.603330
3288.00    -0.480041
3290.00    -0.131491
3292.00    -0.248901
3294.00    -0.617036
3296.00    -0.441884
3298.00    -0.511582
3300.00    -0.923058
3302.00     -1.03028
3304.00    -0.915800
3306.00    -0.889309
3308.00    -0.730396
3310.00    -0.542223
3312.00    -0.549706
3314.00    -0.527174
3316.00    -0.528847
3318.00    -0.363988
3320.00    -0.393881
3322.00    -0.257343
3324.00    -0.242730
3326.00    -0.132675
3328.00    -0.303378
3330.00    -0.272313
3332.00    -0.368751
3334.00    -0.215156
3336.00    -0.159991
3338.00   -0.0734383
3340.00    -0.232821
3342.00    -0.191341
3344.00   -0.0875191
3346.00   -0.0555162
3348.00    -0.148902
3350.00   0.00733715
3352.00   -0.0928210
3354.00    -0.420759
3356.00    -0.467942
3358.00    -0.499082
3360.00    -0.470002
3362.00    -0.422879
3364.00    -0.344421
3366.00    -0.645579
3368.00    -0.779889
3370.00    -0.943026
3372.00    -0.911429
3374.00    -0.837759
3376.00    -0.457135
3378.00    -0.466674
3380.00    -0.317888
3382.00    -0.278261
3384.00    -0.229952
3386.00    -0.389651
3388.00    -0.410537
3390.00    -0.357197
3392.00    -0.429012
3394.00    -0.430501
3396.00    -0.480139
3398.00    -0.316780
3400.00    0.0693147
3402.00     0.399256
3404.00      2.16113
3406.00      2.53940
3408.00      5.30757
3410.00      11.7283
3412.00      12.0429
3414.00      15.5730
3416.00      24.0965
3418.00      25.3535
3420.00      18.2773
3422.00      21.1242
3424.00      25.6349
3426.00      24.9639
3428.00      27.6542
3430.00      31.6791
3432.00      29.0980
3434.00      25.6971
3436.00      24.8923
3438.00      28.4257
3440.00      34.3739
3442.00      44.6687
3444.00      48.0925
3446.00      46.7558
3448.00      36.8963
3450.00      28.3072
3452.00      26.4813
3454.00      28.8582
3456.00      28.3326
3458.00      33.8478
3460.00      42.2401
3462.00      43.1419
3464.00      43.8246
3466.00      43.7561
3468.00      45.4370
3470.00      39.5339
3472.00      31.9136
3474.00      20.2979
3476.00      13.9776
3478.00      15.3097
3480.00      22.7587
3482.00      33.1325
3484.00      44.6414
3486.00      48.8382
3488.00      41.2067
3490.00      32.6346
3492.00      31.8280
3494.00      26.3591
3496.00      29.3757
3498.00      40.2730
3500.00      46.8118
3502.00      48.3171
3504.00      47.4350
3506.00      46.6188
3508.00      43.0184
3510.00      41.7177
3512.00      41.1512
3514.00      41.1380
3516.00      37.9294
3518.00      30.4271
3520.00      23.9761
3522.00      20.2102
3524.00      20.2654
3526.00      25.0536
3528.00      31.3567
3530.00      41.4051
3532.00      46.4498
3534.00      45.8361
3536.00      44.2030
3538.00      49.2168
3540.00      51.5649
3542.00      50.9549
3544.00      51.4840
3546.00      57.9288
3548.00      58.5097
3550.00      53.7060
3552.00      43.4450
3554.00      39.4745
3556.00      33.3185
3558.00      27.1504
3560.00      28.5209
3562.00      39.6550
3564.00      47.2404
3566.00      45.0577
3568.00      44.7813
3570.00      42.7541
3572.00      36.6451
3574.00      34.9934
3576.00      42.1012
3578.00      47.9257
3580.00      51.0714
3582.00      53.5541
3584.00      51.3960
3586.00      45.8089
3588.00      44.0342
3590.00      39.1789
3592.00      39.8904
3594.00      42.8411
3596.00      49.5242
3598.00      49.1333
3600.00      49.5300
3602.00      40.5803
3604.00      29.4006
3606.00      20.5002
3608.00      19.2750
3610.00      23.1308
3612.00      30.7824
3614.00      39.1533
3616.00      47.6608
3618.00      45.4215
3620.00      35.4784
3622.00      33.7382
3624.00      36.7220
3626.00      37.2409
3628.00      41.6836
3630.00      52.0482
3632.00      56.5917
3634.00      54.3473
3636.00      52.9927
3638.00      51.6698
3640.00      52.0128
3642.00      49.3477
3644.00      43.6472
3646.00      43.1168
3648.00      41.5301
3650.00      36.8921
3652.00      38.5730
3654.00      44.4405
3656.00      39.4089
3658.00      39.4231
3660.00      40.8878
3662.00      36.6493
3664.00      28.3592
3666.00      30.7814
3668.00      24.8955
3670.00      24.3870
3672.00      26.2752
3674.00      31.7042
3676.00      35.3347
3678.00      37.3123
3680.00      31.8752
3682.00      27.1090
3684.00      28.6101
3686.00      22.1014
3688.00      21.9854
3690.00      29.5820
3692.00      34.0780
3694.00      34.8066
3696.00      39.1709
3698.00      44.0342
3700.00      44.8584
3702.00      47.2986
3704.00      47.3690
3706.00      50.3532
3708.00      50.4553
3710.00      51.0381
3712.00      51.3547
3714.00      51.0137
3716.00      49.2603
3718.00      49.8544
3720.00      48.5431
3722.00      46.9236
3724.00      47.4831
3726.00      49.0689
3728.00      47.6313
3730.00      47.8014
3732.00      49.2312
3734.00      49.5012
3736.00      49.5451
3738.00      50.0538
3740.00      48.7133
3742.00      47.7725
3744.00      44.4993
3746.00      42.3334
3748.00      37.2914
3750.00      33.1958
3752.00      31.5432
3754.00      35.0600
3756.00      37.7750
3758.00      41.8146
3760.00      41.3179
3762.00      40.1864
3764.00      38.5442
3766.00      37.3161
3768.00      32.6003
3770.00      31.1613
3772.00      29.9877
3774.00      29.4491
3776.00      24.9596
3778.00      24.4236
3780.00      30.5252
3782.00      34.8164
3784.00      34.0961
3786.00      31.1050
3788.00      28.2594
3790.00      21.4531
3792.00      16.7446
3794.00      15.1821
3796.00      15.9084
3798.00      16.3133
3800.00      15.1085
3802.00      11.5997
3804.00      7.30791
3806.00      7.43119
3808.00      10.0194
3810.00      17.5418
3812.00      26.6677
3814.00      35.3052
3816.00      39.3133
3818.00      36.5106
3820.00      37.2785
3822.00      35.8072
3824.00      32.2862
3826.00      32.9286
3828.00      41.0499
3830.00      43.2993
3832.00      45.4822
3834.00      50.3704
3836.00      52.0637
3838.00      50.1761
3840.00      42.7700
3842.00      35.3839
3844.00      30.2646
3846.00      26.4875
3848.00      26.2895
3850.00      30.4344
3852.00      33.4822
3854.00      33.6806
3856.00      34.1508
3858.00      35.2949
3860.00      38.5176
3862.00      43.6655
3864.00      47.7825
3866.00      51.5297
3868.00      51.7743
3870.00      52.0124
3872.00      52.3518
3874.00      53.1076
3876.00      53.7910
3878.00      54.5024
3880.00      54.5205
3882.00      53.9769
3884.00      52.5634
3886.00      51.3972
3888.00      50.5513
3890.00      49.1079
3892.00      49.0399
3894.00      49.3476
3896.00      50.4305
3898.00      50.7979
3900.00      50.5638
3902.00      49.4589
3904.00      48.0582
3906.00      46.9861
3908.00      47.0521
3910.00      48.5195
3912.00      49.9515
3914.00      51.8745
3916.00      51.8358
3918.00      50.1290
3920.00      47.1672
3922.00      41.1916
3924.00      32.5782
3926.00      31.6736
3928.00      33.1483
3930.00      34.9474
3932.00      40.5971
3934.00      49.3776
3936.00      51.7052
3938.00      49.4576
3940.00      47.2395
3942.00      46.5717
3944.00      46.3548
3946.00      46.7854
3948.00      49.1967
3950.00      51.9732
3952.00      53.0060
3954.00      52.5548
3956.00      52.4186
3958.00      52.4165
3960.00      52.2364
3962.00      51.9661
3964.00      51.3858
3966.00      50.6296
3968.00      50.6540
3970.00      50.8110
3972.00      51.2345
3974.00      52.3543
3976.00      52.2729
3978.00      50.4520
3980.00      43.2163
3982.00      41.1830
3984.00      41.0186
3986.00      41.7422
3988.00      43.0464
3990.00      49.2553
3992.00      52.0130
3994.00      52.0453
3996.00      50.5926
3998.00      49.2464
4000.00      47.6821
4002.00      46.1829
4004.00      46.1030
4006.00      46.3094
4008.00      41.4577
4010.00      39.3701
4012.00      38.8564
4014.00      38.3971
4016.00      37.6856
4018.00      40.0588
4020.00      36.3495
4022.00      34.7387
4024.00      33.1944
4026.00      29.9692
4028.00      31.0486
4030.00      39.1019
4032.00      43.3736
4034.00      44.6835
4036.00      45.8345
4038.00      46.7282
4040.00      46.3189
4042.00      46.2889
4044.00      45.7674
4046.00      46.6499
4048.00      47.4035
4050.00      43.5445
4052.00      34.5632
4054.00      29.4041
4056.00      26.9656
4058.00      26.2495
4060.00      28.3687
4062.00      36.8359
4064.00      42.3356
4066.00      44.2240
4068.00      44.7974
4070.00      43.8000
4072.00      42.7235
4074.00      42.7834
4076.00      44.7982
4078.00      45.5277
4080.00      46.1887
4082.00      46.1424
4084.00      42.9379
4086.00      43.4046
4088.00      42.9594
4090.00      38.3027
4092.00      38.7127
4094.00      42.5776
4096.00      37.7556
4098.00      31.3966
4100.00      36.5289
4102.00      36.3990
4104.00      33.6752
4106.00      36.7668
4108.00      43.4750
4110.00      43.6029
4112.00      41.6230
4114.00      40.1028
4116.00      40.8732
4118.00      38.6307
4120.00      37.9340
4122.00      38.0089
4124.00      41.0645
4126.00      40.9488
4128.00      43.0245
4130.00      42.0830
4132.00      36.9477
4134.00      29.2143
4136.00      20.4730
4138.00      17.8898
4140.00      19.3220
4142.00      25.7296
4144.00      33.7711
4146.00      42.7002
4148.00      42.8286
4150.00      41.0151
4152.00      37.9182
4154.00      35.4394
4156.00      34.6515
4158.00      36.1061
4160.00      37.5990
4162.00      39.2312
4164.00      42.2338
4166.00      37.5321
4168.00      36.9586
4170.00      35.6261
4172.00      33.9702
4174.00      34.0013
4176.00      39.1686
4178.00      40.4649
4180.00      42.2522
4182.00      42.6581
