#Seconds Flux
     0.000 -0.02156034
     5.000 -0.03972177
    10.000 -0.01607493
    15.000 -0.03262029
    20.000 -0.04126079
    25.000 -0.03146731
    30.000 -0.02644185
    35.000 -0.02387694
    40.000 -0.02128207
    45.000 -0.01446539
    50.000 -0.02380316
    55.000 -0.00842906
    60.000 -0.00401752
    65.000 0.00520254
    70.000 0.00519059
    75.000 0.02055198
    80.000 0.01966858
    85.000 0.02478922
    90.000 0.03297347
    95.000 0.02934924
   100.000 0.02502289
   105.000 0.04188059
   110.000 0.04164749
   115.000 0.04259935
   120.000 0.01407298
   125.000 0.03437667
   130.000 0.02289389
   135.000 0.02991245
   140.000 0.02869121
   145.000 0.00708543
   150.000 0.00192654
   155.000 0.01090641
   160.000 0.00586800
   165.000 -0.00580841
   170.000 -0.01043069
   175.000 -0.01200480
   180.000 -0.01071731
   185.000 -0.01237016
   190.000 -0.00779220
   195.000 -0.02389980
   200.000 -0.01670333
   205.000 -0.01467179
   210.000 -0.01972483
   215.000 -0.01886391
   220.000 -0.02795119
   225.000 -0.01853078
   230.000 -0.02149501
   235.000 -0.02573464
   240.000 -0.03518727
   245.000 -0.03045404
   250.000 -0.03536950
   255.000 -0.03387432
   260.000 -0.02844831
   265.000 -0.03323039
   270.000 -0.03720413
   275.000 -0.03853572
   280.000 -0.03313978
   285.000 -0.03920018
   290.000 -0.03326709
   295.000 -0.03631026
   300.000 -0.03116494
   305.000 -0.01978232
   310.000 -0.02122074
   315.000 -0.00190816
   320.000 -0.00427874
   325.000 -0.00868010
   330.000 -0.01350673
   335.000 0.00234487
   340.000 -0.00475222
   345.000 0.00750069
   350.000 0.00777867
   355.000 0.01692488
   360.000 0.02447506
   365.000 0.03002885
   370.000 0.03566469
   375.000 0.04576206
   380.000 0.04840689
   385.000 0.05017469
   390.000 0.04120461
   395.000 0.04344756
   400.000 0.02590646
   405.000 0.04694719
   410.000 0.04032072
   415.000 0.02391379
   420.000 0.03938587
   425.000 0.03597623
   430.000 0.03667608
   435.000 0.03154840
   440.000 0.03862319
   445.000 0.02536877
   450.000 0.00646292
   455.000 0.00745341
   460.000 0.00784545
   465.000 0.01055904
   470.000 0.00700760
   475.000 0.00083070
   480.000 -0.00850967
   485.000 -0.00775935
   490.000 -0.01252714
   495.000 -0.00867497
   500.000 -0.01066339
   505.000 -0.03516013
   510.000 -0.01603613
   515.000 -0.03847135
   520.000 -0.03137549
   525.000 -0.02246207
   530.000 -0.04543753
   535.000 -0.03155054
   540.000 -0.02963435
   545.000 -0.02531554
   550.000 -0.02226287
   555.000 -0.03365580
   560.000 -0.02404914
   565.000 -0.02463330
   570.000 -0.02890518
   575.000 -0.03623733
   580.000 -0.01939637
   585.000 -0.03401508
   590.000 -0.00892436
   595.000 -0.03911195
   600.000 -0.02417762
   605.000 -0.02548831
   610.000 -0.02665711
   615.000 -0.03144038
   620.000 -0.01892312
   625.000 -0.00649127
   630.000 -0.00532864
   635.000 0.01545956
   640.000 0.00116608
   645.000 0.00651347
   650.000 0.02731879
   655.000 0.02711393
   660.000 0.05106217
   665.000 0.04210230
   670.000 0.04834726
   675.000 0.05562840
   680.000 0.06035897
   685.000 0.06608867
   690.000 0.07590325
   695.000 0.06778226
   700.000 0.06939283
   705.000 0.06225641
   710.000 0.04341856
   715.000 0.04573205
   720.000 0.03427334
   725.000 0.02665279
   730.000 0.03469821
   735.000 0.02199612
   740.000 0.02323289
   745.000 -0.00408688
   750.000 -0.00181507
   755.000 0.00205851
   760.000 -0.00965866
   765.000 -0.02058692
   770.000 -0.02316766
   775.000 -0.01685289
   780.000 -0.01958435
   785.000 -0.01620428
   790.000 -0.02355033
   795.000 -0.01968981
   800.000 -0.02449913
   805.000 -0.02838432
   810.000 -0.03244849
   815.000 -0.01901718
   820.000 -0.03122323
   825.000 -0.01492940
   830.000 -0.03606622
   835.000 -0.02932915
   840.000 -0.03726839
   845.000 -0.02976814
   850.000 -0.03143269
   855.000 -0.03910025
   860.000 -0.03171286
   865.000 -0.04534483
   870.000 -0.03101724
   875.000 -0.03782798
   880.000 -0.04858490
   885.000 -0.04589228
   890.000 -0.02283236
   895.000 -0.01785723
   900.000 0.00209687
   905.000 0.00240345
   910.000 -0.00071958
   915.000 -0.00280373
   920.000 0.01041535
   925.000 0.01976426
   930.000 0.03343189
   935.000 0.02214946
   940.000 0.04358068
   945.000 0.03867642
   950.000 0.04120904
   955.000 0.04562275
   960.000 0.04567349
   965.000 0.03928123
   970.000 0.03096100
   975.000 0.03887186
   980.000 0.03739016
   985.000 0.04030207
   990.000 0.02735767
   995.000 0.00932339
  1000.000 0.01838319
  1005.000 0.00975285
  1010.000 0.02300948
  1015.000 0.02132202
  1020.000 0.01995318
  1025.000 -0.00180692
  1030.000 0.01587108
  1035.000 0.00856813
  1040.000 0.00873061
  1045.000 0.01159864
  1050.000 0.00180709
  1055.000 0.01450342
  1060.000 -0.01281863
  1065.000 -0.00515813
  1070.000 -0.01302714
  1075.000 -0.01311292
  1080.000 -0.00341554
  1085.000 -0.01171654
  1090.000 -0.00929607
  1095.000 -0.01398715
  1100.000 -0.01645075
  1105.000 -0.03060058
  1110.000 -0.03323894
  1115.000 -0.01594208
  1120.000 -0.02377337
  1125.000 -0.02852453
  1130.000 -0.03002810
  1135.000 -0.01999408
  1140.000 -0.01850860
  1145.000 -0.01360236
  1150.000 -0.01033679
  1155.000 -0.01505382
  1160.000 0.00754490
  1165.000 -0.00582104
  1170.000 -0.02407749
  1175.000 0.00447990
  1180.000 -0.00602909
  1185.000 -0.01121657
  1190.000 -0.00611713
  1195.000 -0.00530817
  1200.000 -0.01086374
  1205.000 0.00192241
  1210.000 -0.00803639
  1215.000 0.00304430
  1220.000 0.00221410
  1225.000 -0.00920860
  1230.000 -0.00036379
  1235.000 -0.01396982
  1240.000 0.00457597
  1245.000 0.00645390
  1250.000 -0.00025374
  1255.000 0.01575358
  1260.000 0.00770166
  1265.000 0.01544701
  1270.000 -0.00151037
  1275.000 0.01307167
  1280.000 0.02585506
  1285.000 0.02265114
  1290.000 0.02053776
  1295.000 0.00844461
  1300.000 0.01308254
  1305.000 0.00990591
  1310.000 0.01277042
  1315.000 0.00983811
  1320.000 0.01689299
  1325.000 0.01344785
  1330.000 0.03297634
  1335.000 0.01698649
  1340.000 0.00801284
  1345.000 0.00985872
  1350.000 0.00027365
  1355.000 0.00527430
  1360.000 -0.00206140
  1365.000 -0.00922443
  1370.000 -0.00011460
  1375.000 0.00228406
  1380.000 0.01429835
  1385.000 0.01166622
  1390.000 -0.00560040
  1395.000 -0.00052980
  1400.000 -0.00151670
  1405.000 -0.00292578
  1410.000 0.00292396
  1415.000 -0.00155766
  1420.000 -0.00162013
  1425.000 -0.01565540
  1430.000 -0.00045264
  1435.000 -0.00940482
  1440.000 -0.01481863
  1445.000 -0.00761175
  1450.000 -0.01271198
  1455.000 -0.01213165
  1460.000 -0.01554361
  1465.000 -0.01134560
  1470.000 -0.02412814
  1475.000 -0.00617229
  1480.000 -0.01692851
  1485.000 -0.01512738
  1490.000 -0.00165460
  1495.000 -0.00468712
  1500.000 -0.01292310
  1505.000 -0.01626524
  1510.000 -0.00923034
  1515.000 0.00004905
  1520.000 0.00158580
  1525.000 -0.00816196
  1530.000 -0.01137393
  1535.000 -0.01594758
  1540.000 0.00103644
  1545.000 -0.00495518
  1550.000 -0.00667637
  1555.000 -0.00580448
  1560.000 0.00879262
  1565.000 -0.00448376
  1570.000 0.00307514
  1575.000 -0.00203469
  1580.000 -0.01477376
  1585.000 0.00414930
  1590.000 -0.00163458
  1595.000 0.02415337
  1600.000 0.01649585
  1605.000 0.01134527
  1610.000 0.00206770
  1615.000 0.00047100
  1620.000 0.03334836
  1625.000 0.02050153
  1630.000 0.01234131
  1635.000 0.01246520
  1640.000 0.03194484
  1645.000 0.01748310
  1650.000 0.02715260
  1655.000 0.02270794
  1660.000 0.02301956
  1665.000 0.02045415
  1670.000 0.02956628
  1675.000 0.02636828
  1680.000 0.01925236
  1685.000 0.01782143
  1690.000 0.01608905
  1695.000 0.02073947
  1700.000 0.01838977
  1705.000 0.02183689
  1710.000 0.02620446
  1715.000 0.00072809
  1720.000 0.01231130
  1725.000 0.00303202
  1730.000 -0.01047624
  1735.000 0.00916592
  1740.000 0.00069384
  1745.000 0.00206311
  1750.000 -0.00842479
  1755.000 -0.01179623
  1760.000 -0.00658735
  1765.000 -0.01807115
  1770.000 -0.01053531
  1775.000 -0.01304135
  1780.000 -0.02233825
  1785.000 -0.01406433
  1790.000 -0.02737320
  1795.000 -0.02224976
  1800.000 -0.03366495
  1805.000 -0.04242147
  1810.000 -0.01254291
  1815.000 -0.01207987
  1820.000 -0.02462075
  1825.000 -0.01683787
  1830.000 -0.02811074
  1835.000 -0.03071378
  1840.000 -0.03388256
  1845.000 -0.01471811
  1850.000 -0.02273390
  1855.000 -0.01705448
  1860.000 -0.01429364
  1865.000 -0.02590081
  1870.000 -0.01124971
  1875.000 0.00074013
  1880.000 0.00402164
  1885.000 0.00378030
  1890.000 0.01617654
  1895.000 0.01879961
  1900.000 0.04251227
  1905.000 0.02444735
  1910.000 0.05131473
  1915.000 0.04102885
  1920.000 0.05566877
  1925.000 0.05937398
  1930.000 0.06115092
  1935.000 0.06189919
  1940.000 0.05775202
  1945.000 0.05059981
  1950.000 0.05299229
  1955.000 0.05788598
  1960.000 0.03755250
  1965.000 0.05184539
  1970.000 0.04662404
  1975.000 0.02831238
  1980.000 0.03528217
  1985.000 0.03310579
  1990.000 0.01273638
  1995.000 0.01154906
  2000.000 0.01054111
  2005.000 -0.00261132
  2010.000 -0.00095065
  2015.000 -0.01350434
  2020.000 -0.00145900
  2025.000 -0.00799603
  2030.000 -0.00675348
  2035.000 0.00202836
  2040.000 -0.01901047
  2045.000 -0.02433817
  2050.000 -0.02558367
  2055.000 -0.01972570
  2060.000 -0.04184272
  2065.000 -0.02235139
  2070.000 -0.04401532
  2075.000 -0.03473572
  2080.000 -0.03328155
  2085.000 -0.02182516
  2090.000 -0.02535297
  2095.000 -0.03345793
  2100.000 -0.02569947
  2105.000 -0.03298381
  2110.000 -0.03498934
  2115.000 -0.03008625
  2120.000 -0.02854292
  2125.000 -0.01417715
  2130.000 -0.03693421
  2135.000 -0.02617391
  2140.000 -0.01311984
  2145.000 -0.02140913
  2150.000 -0.00457064
  2155.000 0.00600235
  2160.000 0.00142370
  2165.000 0.01142106
  2170.000 0.00790577
  2175.000 0.01379470
  2180.000 0.01620969
  2185.000 0.01583652
  2190.000 0.03307573
  2195.000 0.04146448
  2200.000 0.04311115
  2205.000 0.05619849
  2210.000 0.05774720
  2215.000 0.05066307
  2220.000 0.05844761
  2225.000 0.06459822
  2230.000 0.05857090
  2235.000 0.05628607
  2240.000 0.03909344
  2245.000 0.04829142
  2250.000 0.04091535
  2255.000 0.02936700
  2260.000 0.02893536
  2265.000 0.01565639
  2270.000 0.02442079
  2275.000 -0.00328815
  2280.000 0.02325909
  2285.000 0.00303616
  2290.000 0.00369108
  2295.000 -0.01632650
  2300.000 -0.00609246
  2305.000 -0.01305915
  2310.000 -0.02253779
  2315.000 -0.01445758
  2320.000 -0.00946809
  2325.000 -0.01381671
  2330.000 -0.01006590
  2335.000 -0.02446346
  2340.000 -0.02048968
  2345.000 -0.02654646
  2350.000 -0.02373095
  2355.000 -0.01715627
  2360.000 -0.02456665
  2365.000 -0.03499661
  2370.000 -0.02700216
  2375.000 -0.03116160
  2380.000 -0.02109904
  2385.000 -0.02912199
  2390.000 -0.03005710
  2395.000 -0.02835820
  2400.000 -0.02880115
  2405.000 -0.03408108
  2410.000 -0.01788526
  2415.000 -0.02399378
  2420.000 -0.02546097
  2425.000 -0.01681902
  2430.000 -0.01913503
  2435.000 -0.01598454
  2440.000 -0.02541898
  2445.000 -0.01476575
  2450.000 -0.01421877
  2455.000 -0.00872521
  2460.000 -0.00372130
  2465.000 0.00205051
  2470.000 0.00111918
  2475.000 0.00166660
  2480.000 0.04207519
  2485.000 0.03206016
  2490.000 0.03685197
  2495.000 0.03288406
  2500.000 0.02233265
  2505.000 0.04113264
  2510.000 0.04297612
  2515.000 0.04208726
  2520.000 0.03070089
  2525.000 0.03531774
  2530.000 0.03142962
  2535.000 0.04684246
  2540.000 0.05076536
  2545.000 0.02023163
  2550.000 0.01603487
  2555.000 0.00922289
  2560.000 0.01553405
  2565.000 -0.00145891
  2570.000 0.02027927
  2575.000 -0.01081021
  2580.000 -0.00989256
  2585.000 -0.00674731
  2590.000 -0.01622883
  2595.000 0.00253053
  2600.000 0.01167279
  2605.000 -0.02787794
  2610.000 -0.01829254
  2615.000 -0.01530844
  2620.000 -0.01955262
  2625.000 -0.02086315
