wavelength,fluxE-26
3686.80,1.01749
3688.39,1.06551
3689.98,1.0418
3691.57,1.00636
3693.16,0.985056
3694.75,0.967249
3696.34,1.0289
3697.93,1.05215
3699.52,1.0092
3701.11,0.958835
3702.70,0.995069
3704.29,0.97249
3705.88,0.979931
3707.47,0.975788
3709.06,0.990794
3710.65,0.942048
3712.24,0.934869
3713.83,0.989772
3715.42,0.979939
3717.01,0.979738
3718.60,0.978532
3720.19,0.949352
3721.78,1.01152
3723.37,0.989736
3724.96,0.999623
3726.55,1.01755
3728.14,0.975479
3729.73,0.931474
3731.32,0.939707
3732.91,1.02419
3734.50,1.02148
3736.09,1.00832
3737.68,1.02967
3739.27,0.99713
3740.86,0.960019
3742.45,1.01056
3744.04,1.01921
3745.63,1.01581
3747.22,1.0339
3748.81,0.995613
3750.40,0.998099
3751.99,1.00863
3753.58,1.03231
3755.17,1.02307
3756.76,1.0443
3758.35,1.01036
3759.94,0.992488
3761.53,0.968949
3763.12,0.931718
3764.71,0.996096
3766.30,1.02209
3767.89,0.985628
3769.48,0.990061
3771.07,0.953204
3772.66,0.960544
3774.25,1.00354
3775.84,1.00767
3777.43,1.00226
3779.02,1.06702
3780.61,1.01595
3782.20,0.96684
3783.79,0.96839
3785.38,0.953205
3786.97,0.981821
3788.56,0.997632
3790.15,0.960822
3791.74,0.930835
3793.33,0.924829
3794.93,0.903619
3796.52,0.885483
3798.11,0.911053
3799.70,1.00245
3801.29,1.02402
3802.88,0.985265
3804.47,0.989396
3806.06,1.00755
3807.65,1.00678
3809.24,1.03514
3810.83,1.00413
3812.42,1.02485
3814.01,0.993029
3815.60,0.986791
3817.19,0.988225
3818.78,0.999386
3820.37,0.966631
3821.96,1.00865
3823.55,0.972326
3825.14,0.935774
3826.73,0.992944
3828.32,0.898639
3829.91,0.928539
3831.50,0.904911
3833.09,0.879595
3834.68,0.871939
3836.27,0.872472
3837.86,0.900884
3839.45,0.893096
3841.04,0.957987
3842.63,0.99949
3844.22,1.0135
3845.81,1.0142
3847.40,1.02347
3848.99,1.03556
3850.58,1.07617
3852.17,1.06951
3853.76,1.10017
3855.35,1.12302
3856.94,1.09888
3858.53,1.13866
3860.12,1.1643
3861.71,1.13301
3863.30,1.05696
3864.89,1.07005
3866.48,1.04257
3868.07,1.06335
3869.66,1.07364
3871.25,1.02646
3872.84,1.01039
3874.43,1.0026
3876.02,0.918398
3877.61,0.954052
3879.20,0.998591
3880.79,0.932338
3882.38,0.906953
3883.97,0.88142
3885.56,0.821943
3887.15,0.765726
3888.74,0.761669
3890.33,0.816592
3891.92,0.866674
3893.51,0.911351
3895.10,0.928216
3896.69,0.963758
3898.28,1.01372
3899.87,1.0447
3901.47,1.04126
3903.06,1.05048
3904.65,1.10007
3906.24,1.18737
3907.83,1.22031
3909.42,1.1581
3911.01,1.19537
3912.60,1.18571
3914.19,1.20859
3915.78,1.27026
3917.37,1.25446
3918.96,1.29103
3920.55,1.23893
3922.14,1.27591
3923.73,1.24753
3925.32,1.28275
3926.91,1.25292
3928.50,1.30553
3930.09,1.26671
3931.68,1.21183
3933.27,1.25886
3934.86,1.22867
3936.45,1.26128
3938.04,1.28792
3939.63,1.23319
3941.22,1.21465
3942.81,1.17142
3944.40,1.19172
3945.99,1.18871
3947.58,1.14491
3949.17,1.10732
3950.76,1.06538
3952.35,1.05437
3953.94,1.03771
3955.53,1.04177
3957.12,0.972343
3958.71,0.949259
3960.30,0.912959
3961.89,0.877746
3963.48,0.854606
3965.07,0.787953
3966.66,0.727871
3968.25,0.655163
3969.84,0.667261
3971.43,0.738673
3973.02,0.775142
3974.61,0.798614
3976.20,0.873331
3977.79,0.935059
3979.38,0.953113
3980.97,0.997202
3982.56,0.989734
3984.15,1.07948
3985.74,1.10577
3987.33,1.11775
3988.92,1.17769
3990.51,1.19496
3992.10,1.17582
3993.69,1.21344
3995.28,1.18466
3996.87,1.21132
3998.46,1.29221
4000.05,1.31523
4001.64,1.30594
4003.23,1.309
4004.82,1.37925
4006.41,1.36655
4008.00,1.39124
4009.59,1.38463
4011.19,1.40121
4012.78,1.40689
4014.37,1.45199
4015.96,1.41765
4017.55,1.47307
4019.14,1.51004
4020.73,1.45158
4022.32,1.44479
4023.91,1.48766
4025.50,1.47401
4027.09,1.48884
4028.68,1.43199
4030.27,1.50646
4031.86,1.5083
4033.45,1.52985
4035.04,1.47317
4036.63,1.50728
4038.22,1.45335
4039.81,1.47495
4041.40,1.48325
4042.99,1.47072
4044.58,1.44993
4046.17,1.46006
4047.76,1.48736
4049.35,1.45745
4050.94,1.47891
4052.53,1.46252
4054.12,1.41251
4055.71,1.40257
4057.30,1.43366
4058.89,1.37261
4060.48,1.379
4062.07,1.36498
4063.66,1.35068
4065.25,1.35581
4066.84,1.30189
4068.43,1.30653
4070.02,1.28188
4071.61,1.25146
4073.20,1.25663
4074.79,1.18577
4076.38,1.23176
4077.97,1.15268
4079.56,1.12133
4081.15,1.10879
4082.74,1.05729
4084.33,1.08001
4085.92,1.04774
4087.51,1.01551
4089.10,0.950168
4090.69,0.886896
4092.28,0.88624
4093.87,0.845686
4095.46,0.804136
4097.05,0.757746
4098.64,0.635015
4100.23,0.61132
4101.82,0.636464
4103.41,0.692536
4105.00,0.751498
4106.59,0.785301
4108.18,0.840516
4109.77,0.869981
4111.36,0.937698
4112.95,0.936636
4114.54,0.990752
4116.13,1.02202
4117.73,1.03148
4119.32,1.09248
4120.91,1.14689
4122.50,1.14132
4124.09,1.14671
4125.68,1.17215
4127.27,1.201
4128.86,1.26469
4130.45,1.27018
4132.04,1.24978
4133.63,1.3442
4135.22,1.32289
4136.81,1.39883
4138.40,1.42495
4139.99,1.39704
4141.58,1.36969
4143.17,1.4129
4144.76,1.43719
4146.35,1.40064
4147.94,1.41754
4149.53,1.48261
4151.12,1.4855
4152.71,1.52593
4154.30,1.49742
4155.89,1.50268
4157.48,1.51356
4159.07,1.55616
4160.66,1.55356
4162.25,1.55698
4163.84,1.58837
4165.43,1.59324
4167.02,1.61688
4168.61,1.5924
4170.20,1.60016
4171.79,1.67109
4173.38,1.64658
4174.97,1.61932
4176.56,1.6718
4178.15,1.60501
4179.74,1.59705
4181.33,1.6105
4182.92,1.64216
4184.51,1.68889
4186.10,1.70563
4187.69,1.63415
4189.28,1.68668
4190.87,1.69356
4192.46,1.65725
4194.05,1.69103
4195.64,1.66732
4197.23,1.71551
4198.82,1.7004
4200.41,1.69759
4202.00,1.73607
4203.59,1.69927
4205.18,1.68746
4206.77,1.71371
4208.36,1.70763
4209.95,1.70519
4211.54,1.66741
4213.13,1.68831
4214.72,1.74554
4216.31,1.76993
4217.90,1.76077
4219.49,1.75608
4221.08,1.67202
4222.67,1.65251
4224.27,1.72097
4225.85,1.70129
4227.45,1.67078
4229.04,1.72847
4230.63,1.72342
4232.22,1.69316
4233.81,1.68576
4235.40,1.67913
4236.99,1.69755
4238.58,1.70587
4240.17,1.71033
4241.76,1.74444
4243.35,1.70202
4244.94,1.69632
4246.53,1.67547
4248.12,1.63709
4249.71,1.68921
4251.30,1.68278
4252.89,1.6726
4254.48,1.64839
4256.07,1.68599
4257.66,1.6587
4259.25,1.67327
4260.84,1.66115
4262.43,1.66578
4264.02,1.64416
4265.61,1.65358
4267.20,1.6066
4268.79,1.61069
4270.38,1.58257
4271.97,1.59988
4273.56,1.58143
4275.15,1.55377
4276.74,1.56861
4278.33,1.55163
4279.92,1.5504
4281.51,1.58337
4283.10,1.54584
4284.69,1.54533
4286.28,1.55177
4287.87,1.54312
4289.46,1.50703
4291.05,1.46484
4292.64,1.44156
4294.23,1.43578
4295.82,1.45644
4297.41,1.415
4299.00,1.38609
4300.59,1.37709
4302.18,1.36152
4303.77,1.35625
4305.36,1.33735
4306.95,1.32629
4308.54,1.28433
4310.13,1.27995
4311.72,1.25968
4313.31,1.25155
4314.90,1.22615
4316.49,1.17995
4318.08,1.14685
4319.67,1.15427
4321.26,1.1435
4322.85,1.0872
4324.44,1.05371
4326.03,1.01434
4327.62,0.938942
4329.21,0.901547
4330.80,0.885179
4332.40,0.865414
4333.99,0.819135
4335.58,0.763104
4337.17,0.685608
4338.76,0.627428
4340.35,0.621087
4341.94,0.662409
4343.53,0.728159
4345.12,0.784969
4346.71,0.82892
4348.30,0.876341
4349.89,0.877887
4351.48,0.932114
4353.07,0.982536
4354.66,0.979463
4356.25,1.01428
4357.84,1.0568
4359.43,1.08711
4361.02,1.13476
4362.61,1.14375
4364.20,1.14583
4365.79,1.18625
4367.38,1.22679
4368.97,1.26443
4370.56,1.27392
4372.15,1.30723
4373.74,1.32302
4375.33,1.3334
4376.92,1.31609
4378.51,1.36358
4380.10,1.38936
4381.69,1.39657
4383.28,1.4249
4384.87,1.4557
4386.46,1.43524
4388.05,1.49609
4389.64,1.47274
4391.23,1.4698
4392.82,1.49442
4394.41,1.48742
4396.00,1.51963
4397.59,1.51667
4399.18,1.55343
4400.77,1.57232
4402.36,1.5626
4403.95,1.60361
4405.54,1.57176
4407.13,1.58941
4408.72,1.58983
4410.31,1.58507
4411.90,1.57666
4413.49,1.61467
4415.08,1.62404
4416.67,1.64888
4418.26,1.66235
4419.85,1.64828
4421.44,1.6666
4423.03,1.6556
4424.62,1.6558
4426.21,1.6745
4427.80,1.71315
4429.39,1.68315
4430.98,1.6375
4432.57,1.67587
4434.16,1.67322
4435.75,1.66175
4437.34,1.6784
4438.94,1.67261
4440.52,1.66271
4442.12,1.71154
4443.71,1.67124
4445.30,1.70194
4446.89,1.70776
4448.48,1.68507
4450.07,1.70248
4451.66,1.70963
4453.25,1.73026
4454.84,1.74675
4456.43,1.7406
4458.02,1.72023
4459.61,1.71186
4461.20,1.71659
4462.79,1.73168
4464.38,1.74698
4465.97,1.74367
4467.56,1.73635
4469.15,1.72561
4470.74,1.75588
4472.33,1.77998
4473.92,1.74497
4475.51,1.75291
4477.10,1.7544
4478.69,1.7475
4480.28,1.7286
4481.87,1.74051
4483.46,1.76492
4485.05,1.79276
4486.64,1.76018
4488.23,1.71716
4489.82,1.73674
4491.41,1.78668
4493.00,1.7885
4494.59,1.77022
4496.18,1.79863
4497.77,1.76182
4499.36,1.74833
4500.95,1.74508
4502.54,1.76094
4504.13,1.771
4505.72,1.76224
4507.31,1.75728
4508.90,1.76397
4510.49,1.82487
4512.08,1.81845
4513.67,1.77848
4515.26,1.73555
4516.85,1.77864
4518.44,1.78107
4520.03,1.7266
4521.62,1.81996
4523.21,1.77069
4524.80,1.74817
4526.39,1.75914
4527.98,1.75801
4529.57,1.7399
4531.16,1.7306
4532.75,1.78759
4534.34,1.79636
4535.93,1.75846
4537.52,1.74032
4539.11,1.74816
4540.70,1.73028
4542.29,1.7882
4543.88,1.78409
4545.48,1.73445
4547.06,1.73942
4548.66,1.74521
4550.25,1.76356
4551.84,1.73731
4553.43,1.76889
4555.02,1.76332
4556.61,1.7507
4558.20,1.7563
4559.79,1.79586
4561.38,1.76082
4562.97,1.71222
4564.56,1.74487
4566.15,1.73802
4567.74,1.75133
4569.33,1.74813
4570.92,1.73921
4572.51,1.68877
4574.10,1.74204
4575.69,1.7457
4577.28,1.74058
4578.87,1.75861
4580.46,1.72038
4582.05,1.72777
4583.64,1.76433
4585.23,1.74314
4586.82,1.76324
4588.41,1.73808
4590.00,1.73844
4591.59,1.72417
4593.18,1.68271
4594.77,1.70205
4596.36,1.72233
4597.95,1.70549
4599.54,1.72828
4601.13,1.70844
4602.72,1.662
4604.31,1.71326
4605.90,1.66854
4607.49,1.64868
4609.08,1.72804
4610.67,1.76419
4612.26,1.73012
4613.85,1.71596
4615.44,1.71367
4617.03,1.71361
4618.62,1.74297
4620.21,1.70503
4621.80,1.72751
4623.39,1.74229
4624.98,1.69171
4626.57,1.66824
4628.16,1.67897
4629.75,1.72299
4631.34,1.72916
4632.93,1.71244
4634.52,1.72889
4636.11,1.71892
4637.70,1.688
4639.29,1.71226
4640.88,1.69677
4642.47,1.70313
4644.06,1.69556
4645.65,1.68243
4647.24,1.73351
4648.83,1.71233
4650.42,1.68688
4652.01,1.72189
4653.60,1.66702
4655.20,1.66162
4656.79,1.6907
4658.38,1.69739
4659.97,1.69103
4661.56,1.70589
