Seconds Flux
     0.000 -0.02079317
     5.000 -0.01782341
    10.000 -0.00357369
    20.000 -0.02956407
    25.000 -0.00683332
    30.000 -0.00391351
    35.000 -0.02636605
    40.000 -0.01725497
    45.000 -0.00149630
    50.000 -0.02847802
    55.000 -0.00970783
    60.000 0.00380423
    65.000 -0.01581154
    70.000 -0.02059435
    75.000 0.00040712
    80.000 -0.02719594
    85.000 0.00613724
    90.000 0.00299727
    95.000 -0.00708363
   100.000 0.00276412
   105.000 0.00601593
   110.000 -0.00349057
   115.000 0.01587831
   120.000 0.00843106
   125.000 0.01580305
   130.000 -0.00475939
   135.000 0.00650338
   140.000 0.02077823
   145.000 -0.00445345
   150.000 0.01447707
   155.000 0.02382559
   160.000 0.00329388
   165.000 0.00439026
   170.000 0.01347173
   175.000 0.01457059
   180.000 0.03240431
   185.000 0.02301654
   190.000 0.02350504
   195.000 -0.01829635
   200.000 -0.00523046
   205.000 -0.02251059
   210.000 -0.00220011
   215.000 -0.00290433
   220.000 -0.01409881
   225.000 0.00412347
   230.000 -0.01679520
   235.000 -0.02154556
   240.000 -0.03681372
   245.000 -0.03872230
   250.000 -0.03527038
   255.000 -0.03348288
   260.000 -0.01259739
   265.000 -0.01272410
   270.000 0.01249125
   275.000 -0.01580109
   280.000 -0.03562556
   285.000 -0.02287117
   290.000 -0.01512222
   295.000 -0.02081833
   300.000 0.00505423
   305.000 -0.01693327
   310.000 -0.03358323
   315.000 -0.00944156
   320.000 -0.02150403
   325.000 0.00330419
   330.000 -0.00280144
   335.000 0.01181112
   340.000 0.00705126
   345.000 0.00849314
   350.000 0.02679531
   355.000 0.00768373
   360.000 0.03456964
   365.000 0.03722130
   370.000 0.03284788
   375.000 0.04152865
   380.000 0.05275275
   385.000 0.04041708
   390.000 0.06079568
   395.000 0.03481303
   400.000 0.03738834
   405.000 0.05621674
   410.000 0.04475830
   415.000 0.02827571
   420.000 0.02834283
   425.000 0.02850596
   430.000 0.02808693
   435.000 0.03815148
   440.000 0.01732539
   445.000 0.00347266
   450.000 0.00653946
   455.000 0.01136367
   460.000 -0.00118435
   465.000 -0.01099572
   470.000 -0.00199030
   475.000 -0.01693426
   480.000 -0.00298865
   485.000 -0.00778185
   490.000 -0.01141481
   495.000 -0.00451370
   500.000 -0.02255101
   505.000 -0.02548436
   510.000 -0.01186919
   515.000 -0.01659181
   520.000 -0.03045660
   525.000 -0.01867233
   530.000 -0.02082927
   535.000 -0.00211652
   540.000 -0.00594268
   545.000 -0.02682625
   550.000 -0.02051900
   555.000 -0.00332973
   560.000 -0.00255114
   565.000 -0.00136196
   570.000 -0.00392711
   575.000 0.00922385
   580.000 -0.02002256
   585.000 0.00486900
   590.000 -0.04256215
   595.000 0.01438819
   600.000 -0.01689966
   605.000 0.01164667
   610.000 0.01957784
   615.000 0.01973460
   620.000 0.02938040
   625.000 -0.00090830
   630.000 0.03348587
   635.000 0.04416448
   640.000 0.04804793
   645.000 0.03648100
   650.000 0.05054716
   655.000 0.05300034
   660.000 0.04424587
   665.000 0.04153363
   670.000 0.01310182
   675.000 0.03874338
   680.000 0.03987750
   685.000 0.02139425
   690.000 0.00455018
   695.000 0.01507188
   700.000 0.03501496
   705.000 0.04778829
   710.000 0.02074034
   715.000 0.01669007
   720.000 0.03108830
   725.000 0.00146550
   730.000 0.01200181
   735.000 -0.00202964
   740.000 -0.02627622
   745.000 0.01633026
   750.000 -0.00601578
   755.000 0.00449129
   760.000 -0.01190651
   765.000 -0.03039286
   770.000 -0.03988024
   775.000 0.00582674
   780.000 -0.00551942
   785.000 0.01576935
   790.000 -0.00701795
   795.000 -0.04190065
   800.000 -0.01341053
   805.000 -0.03115388
   810.000 0.01116264
   815.000 -0.01332623
   820.000 -0.03153778
   825.000 0.00138166
   830.000 -0.03803018
   835.000 -0.03712198
   840.000 -0.01011856
   845.000 -0.04351570
   850.000 -0.03505475
   855.000 -0.01895378
   860.000 -0.02211274
   865.000 -0.02085070
   870.000 -0.01225823
   875.000 -0.00149676
   880.000 -0.03155089
   885.000 -0.01516983
   890.000 -0.02287041
   895.000 -0.01558905
   900.000 0.00129915
   905.000 -0.01071645
   910.000 -0.01613216
   915.000 -0.01730366
   920.000 -0.02349488
   925.000 0.00952196
   930.000 0.02967043
   935.000 0.01568657
   940.000 0.03926799
   945.000 0.05397078
   950.000 -0.02024587
   965.000 0.03740676
   970.000 -0.00263790
   975.000 0.00007514
   980.000 0.00861400
   985.000 0.02552801
   990.000 0.03990184
   995.000 0.02218759
  1000.000 0.00276207
  1005.000 -0.00311633
  1015.000 -0.02488562
  1020.000 0.02477157
  1025.000 0.02105441
  1030.000 -0.01946672
  1035.000 -0.02116840
  1040.000 -0.00294379
  1045.000 0.02721876
  1050.000 -0.03623241
  1055.000 -0.00066170
  1060.000 -0.00432700
  1065.000 -0.00665938
  1070.000 -0.01171904
  1075.000 0.00240981
  1080.000 -0.01442559
  1085.000 -0.02851208
  1090.000 -0.01526377
  1095.000 -0.02263497
  1100.000 -0.02895202
  1105.000 -0.02811344
  1110.000 -0.01417811
  1115.000 -0.03303413
  1120.000 -0.02746543
  1125.000 -0.00573956
  1130.000 -0.02806253
  1135.000 -0.00301992
  1140.000 -0.04144843
  1145.000 -0.03380005
  1150.000 -0.01914627
  1155.000 -0.00146693
  1160.000 -0.01114790
  1165.000 0.01933325
  1170.000 0.00615098
  1175.000 0.00480298
  1180.000 0.00201687
  1185.000 0.00347357
  1190.000 0.01395283
  1195.000 0.03463953
  1200.000 0.04688113
  1205.000 0.01389654
  1210.000 0.03175811
  1215.000 0.02570956
  1220.000 -0.00647484
  1225.000 0.04384631
  1230.000 0.03484008
  1235.000 -0.00233901
  1240.000 0.03272050
  1245.000 0.01339552
  1250.000 0.03066067
  1255.000 0.03816373
  1260.000 0.00539673
  1265.000 0.01088792
  1270.000 0.02389172
  1275.000 0.00634113
  1280.000 -0.00603242
  1285.000 0.00027784
  1290.000 -0.01755038
  1295.000 0.00027520
  1300.000 -0.01045640
  1305.000 -0.02305628
  1310.000 0.01848779
  1315.000 -0.02104497
  1320.000 0.01838773
  1325.000 -0.04641609
  1330.000 -0.01143926
  1335.000 -0.02110318
  1340.000 -0.01926918
  1345.000 -0.02199591
  1350.000 -0.00505231
  1355.000 -0.02619081
  1360.000 -0.01966652
  1365.000 -0.03370939
  1370.000 -0.04635002
  1380.000 -0.02753155
  1385.000 -0.01897715
  1390.000 -0.01804262
  1395.000 -0.01710121
  1400.000 -0.01376820
  1405.000 -0.03258253
  1415.000 -0.00582022
  1420.000 -0.02210137
  1425.000 -0.03204558
  1430.000 -0.02842187
  1435.000 -0.00245218
  1440.000 0.01112371
  1445.000 -0.01186118
  1450.000 -0.01693987
  1455.000 -0.01596580
  1460.000 -0.04259118
  1465.000 -0.01967177
  1470.000 -0.01508880
  1475.000 -0.00130789
  1480.000 -0.02383745
  1485.000 0.00348758
  1490.000 0.01973251
  1495.000 -0.01602489
  1500.000 -0.04536694
  1505.000 0.00216758
  1510.000 0.02764025
  1515.000 -0.02007719
  1520.000 -0.02154482
  1525.000 0.02200900
  1530.000 0.00253610
  1540.000 0.00502315
  1545.000 -0.02601037
  1550.000 -0.01896147
  1555.000 0.02444590
  1560.000 0.01527058
  1565.000 -0.03418820
  1570.000 0.01310492
  1575.000 0.00437657
  1580.000 0.02531351
  1585.000 -0.01325467
  1590.000 -0.00024269
  1595.000 0.00967759
  1605.000 0.00262870
  1610.000 -0.01423541
  1615.000 0.00998464
  1620.000 0.00162346
  1625.000 -0.01870593
  1630.000 0.01095980
  1635.000 -0.01565077
  1640.000 -0.02002581
  1645.000 -0.00851740
  1650.000 -0.02201848
  1660.000 -0.02508961
  1665.000 -0.00372604
  1670.000 -0.02495818
  1675.000 -0.02927515
  1680.000 -0.00826476
  1685.000 -0.03443805
  1690.000 -0.02738329
  1695.000 -0.02419495
  1700.000 -0.02032863
  1705.000 -0.00655768
  1710.000 -0.00970890
  1715.000 -0.00349411
  1720.000 -0.00322152
  1725.000 -0.01226246
  1730.000 -0.01717940
  1735.000 -0.00085347
  1740.000 -0.00465559
  1745.000 0.01779085
  1750.000 0.01403842
  1755.000 -0.00280923
  1760.000 0.00963078
  1765.000 0.02326347
  1770.000 0.03158610
  1775.000 0.02296506
  1780.000 0.02095146
  1785.000 0.02927055
  1790.000 0.01877683
  1795.000 0.02223546
  1800.000 0.03371034
  1805.000 0.03186712
  1810.000 0.03115228
  1815.000 0.03391545
  1820.000 0.02209773
  1825.000 0.01352236
  1830.000 0.02292188
  1835.000 0.01902547
  1840.000 0.02598636
  1845.000 -0.00344392
  1850.000 -0.01924136
  1855.000 0.00942423
  1860.000 -0.00813530
  1865.000 -0.00479246
  1870.000 0.00929268
  1875.000 -0.00713623
  1880.000 -0.02319798
  1885.000 -0.01990134
  1890.000 -0.00834835
  1895.000 -0.03296323
  1900.000 -0.01623812
  1905.000 -0.02227436
  1910.000 -0.01364579
  1915.000 0.00694109
  1920.000 -0.00554334
  1925.000 0.00059517
  1930.000 -0.00394714
  1935.000 -0.00658934
  1940.000 -0.01608544
  1945.000 0.01727324
  1950.000 -0.01429456
  1955.000 -0.00746617
  1960.000 0.00678092
  1965.000 -0.00849803
  1970.000 -0.02116321
  1975.000 0.00803960
  1980.000 -0.01751174
  1985.000 0.01174533
  1990.000 0.02613457
  1995.000 -0.00273879
  2000.000 -0.01682332
  2005.000 -0.01901193
  2010.000 0.00467773
  2015.000 0.01169357
  2020.000 0.00737973
  2025.000 0.01886715
  2030.000 0.00993149
  2035.000 -0.00081431
  2040.000 0.01504435
  2045.000 0.00527603
  2050.000 -0.01985276
  2055.000 0.00524338
  2060.000 0.00742335
  2065.000 -0.02226169
  2070.000 -0.02890197
  2075.000 0.00338892
  2080.000 -0.00426447
  2085.000 -0.00030432
  2090.000 -0.00603499
  2095.000 0.00366697
  2100.000 -0.00577032
  2105.000 -0.02265114
  2110.000 -0.01198734
  2115.000 -0.00825957
  2120.000 0.00516309
