wave,fluxE10
3302.83,0.459287
3305.66,0.405914
3308.49,0.505178
3311.32,0.518853
3314.15,0.401274
3316.98,0.354436
3319.81,0.367165
3322.64,0.300387
3325.48,0.317362
3328.31,0.407702
3331.14,0.42429
3333.97,0.424032
3336.8,0.418669
3339.63,0.392205
3342.46,0.403647
3345.29,0.445224
3348.12,0.457601
3350.95,0.446852
3353.78,0.403751
3356.61,0.405423
3359.44,0.402791
3362.27,0.380004
3365.1,0.380415
3367.93,0.483372
3370.76,0.551622
3373.6,0.529831
3376.43,0.487243
3379.26,0.47628
3382.09,0.491102
3384.92,0.451122
3387.75,0.426263
3390.58,0.492961
3393.41,0.512676
3396.24,0.463539
3399.07,0.420828
3401.9,0.459385
3404.73,0.484026
3407.56,0.470194
3410.39,0.500669
3413.22,0.546624
3416.05,0.606668
3418.88,0.64547
3421.72,0.629918
3424.55,0.598304
3427.38,0.553933
3430.21,0.484693
3433.04,0.427746
3435.87,0.404317
3438.7,0.416797
3441.53,0.479384
3444.36,0.53163
3447.19,0.5219
3450.02,0.481144
3452.85,0.46925
3455.68,0.486255
3458.51,0.591235
3461.34,0.665511
3464.17,0.603866
3467,0.493032
3469.84,0.523604
3472.67,0.634581
3475.5,0.645443
3478.33,0.614492
3481.16,0.5915
3483.99,0.53808
3486.82,0.497682
3489.65,0.505413
3492.48,0.578318
3495.31,0.645669
3498.14,0.621105
3500.97,0.56631
3503.8,0.526918
3506.63,0.522035
3509.46,0.590271
3512.29,0.639558
3515.12,0.576303
3517.96,0.483432
3520.79,0.494785
3523.62,0.575292
3526.45,0.704284
3529.28,0.843522
3532.11,0.899127
3534.94,0.897825
3537.77,0.856493
3540.6,0.759427
3543.43,0.687687
3546.26,0.68112
3549.09,0.73253
3551.92,0.808403
3554.75,0.831511
3557.58,0.76654
3560.41,0.672063
3563.24,0.601505
3566.08,0.574326
3568.91,0.531928
3571.74,0.479564
3574.57,0.470434
3577.4,0.490517
3580.23,0.514117
3583.06,0.544109
3585.89,0.588451
3588.72,0.675542
3591.55,0.735223
3594.38,0.723948
3597.21,0.695152
3600.04,0.669175
3602.87,0.61214
3605.7,0.573053
3608.53,0.639381
3611.36,0.706996
3614.2,0.752039
3617.03,0.857391
3619.86,0.964926
3622.69,0.900694
3625.52,0.779326
3628.35,0.768639
3631.18,0.858321
3634.01,0.916077
3636.84,0.845601
3639.67,0.735938
3642.5,0.742419
3645.33,0.884381
3648.16,1.02792
3650.99,1.11837
3653.82,1.13164
3656.65,1.13611
3659.48,1.16726
3662.32,1.16841
3665.15,1.12505
3667.98,1.05601
3670.81,1.02933
3673.64,1.0658
3676.47,1.047
3679.3,1.0106
3682.13,0.827226
3684.96,0.382153
3687.79,0.245665
3690.62,0.76286
3693.45,1.17172
3696.28,1.06199
3699.11,0.917561
3701.94,0.965442
3704.77,1.08097
3707.6,1.13037
3710.44,1.02897
3713.27,0.903167
3716.1,0.910989
3718.93,0.966434
3721.76,0.932354
3724.59,0.817791
3727.42,0.712404
3730.25,0.698725
3733.08,0.754581
3735.91,0.750331
3738.74,0.720307
3741.57,0.7905
3744.4,0.962718
3747.23,1.03109
3750.06,0.954922
3752.89,0.920277
3755.72,0.977989
3758.56,1.11176
3761.39,1.29476
3764.22,1.40283
3767.05,1.35537
3769.88,1.25619
3772.71,1.24998
3775.54,1.36249
3778.37,1.43817
3781.2,1.37399
3784.03,1.3251
3786.86,1.3468
3789.69,1.32567
3792.52,1.3241
3795.35,1.32869
3798.18,1.26374
3801.01,1.17957
3803.84,1.13815
3806.68,1.13115
3809.51,1.14312
3812.34,1.10879
3815.17,1.07231
3818,1.12227
3820.83,1.23294
3823.66,1.33566
3826.49,1.36004
3829.32,1.34498
3832.15,1.28057
3834.98,1.158
3837.81,1.12308
3840.64,1.18655
3843.47,1.22322
3846.3,1.22632
3849.13,1.19762
3851.96,1.14937
3854.8,1.15318
3857.63,1.28384
3860.46,1.48616
3863.29,1.56605
3866.12,1.51234
3868.95,1.43329
3871.78,1.39186
3874.61,1.4367
3877.44,1.49376
3880.27,1.51199
3883.1,1.53991
3885.93,1.45983
3888.76,1.23967
3891.59,1.10555
3894.42,1.13251
3897.25,1.225
3900.08,1.31901
3902.92,1.40356
3905.75,1.45379
3908.58,1.40429
3911.41,1.27044
3914.24,1.13304
3917.07,1.0177
3919.9,0.905898
3922.73,0.776188
3925.56,0.674139
3928.39,0.65522
3931.22,0.711065
3934.05,0.828955
3936.88,1.01469
3939.71,1.20489
3942.54,1.37727
3945.37,1.55735
3948.2,1.69046
3951.04,1.6524
3953.87,1.45067
3956.7,1.23881
3959.53,1.05869
3962.36,0.975161
3965.19,1.01715
3968.02,1.10387
3970.85,1.17436
3973.68,1.31349
3976.51,1.587
3979.34,1.86553
3982.17,2.02668
3985,2.15389
3987.83,2.30965
3990.66,2.4511
3993.49,2.6124
3996.32,2.7676
3999.16,2.84836
4001.99,2.83389
4004.82,2.81967
4007.65,2.92414
4010.48,3.04878
4013.31,3.06526
4016.14,3.03525
