hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457936.81377,be,V,15.077,0.04243,3.572,0.139
2457903.84868,be,V,15.191,0.04592,3.217,0.136
2457604.61529,be,V,14.639,0.03209,5.347,0.158
2457593.72899,be,V,14.442,0.02881,6.416,0.17
2457585.61747,be,V,14.193,0.02566,8.066,0.19
2457872.69537,be,V,14.658,0.03245,5.256,0.157
2458043.54123,be,V,14.753,0.03435,4.817,0.152
2457523.6514,be,V,14.987,0.03992,3.882,0.143
2458334.59993,be,V,14.457,0.02903,6.325,0.169
2457546.68578,be,V,13.393,0.02188,16.86,0.339
2458183.84647,be,V,15.084,0.04263,3.551,0.139
2458235.9004,be,V,15.08,0.04252,3.564,0.139
2457636.5863,be,V,15.029,0.04107,3.734,0.141
2457605.60761,be,V,14.674,0.03276,5.182,0.156
2457600.51053,be,V,14.516,0.02995,5.989,0.165
2458174.87625,be,V,14.832,0.03609,4.479,0.149
2458048.51666,be,V,14.73,0.03387,4.919,0.153
2457894.75223,be,V,15.144,0.04444,3.361,0.137
2457870.70028,be,V,14.59,0.0312,5.599,0.161
2457953.73121,be,V,15.136,0.04419,3.384,0.138
2458306.62687,be,V,14.969,0.03945,3.946,0.143
2458223.88913,be,V,15.163,0.04503,3.303,0.137
2457959.59752,be,V,15.084,0.04263,3.55,0.139
2457843.77172,be,V,13.94,0.02348,10.181,0.22
2458196.90054,be,V,15.014,0.04065,3.788,0.142
2457802.88548,be,V,14.241,0.02619,7.717,0.186
2457550.79604,be,V,13.345,0.02195,17.613,0.356
2458369.67941,be,V,13.589,0.02197,14.067,0.284
2458191.90057,be,V,15.009,0.04052,3.804,0.142
2457567.72206,be,V,13.673,0.02217,13.022,0.266
2457486.86318,be,V,15.491,0.05694,2.441,0.128
2458383.52827,be,V,13.782,0.02258,11.778,0.245
2457917.73873,be,V,15.144,0.04444,3.359,0.137
2457797.88867,be,V,14.549,0.0305,5.813,0.163
2458045.51507,be,V,14.76,0.0345,4.786,0.152
2457660.51566,be,V,15.085,0.04266,3.546,0.139
2457568.70824,be,V,13.766,0.02251,11.949,0.247
2457480.87135,be,V,15.126,0.04389,3.415,0.138
2458206.79085,be,V,14.98,0.03974,3.909,0.143
2457839.78631,be,V,13.847,0.02291,11.096,0.234
2458366.68646,be,V,13.573,0.02194,14.281,0.288
2457879.9006,be,V,14.524,0.03008,5.946,0.165
2458370.60931,be,V,13.579,0.02195,14.195,0.287
2458180.85662,be,V,14.918,0.03814,4.136,0.145
2458018.5162,be,V,15.051,0.04168,3.66,0.14
2458017.54131,be,V,15.023,0.0409,3.756,0.141
2458005.50259,be,V,15.139,0.04428,3.375,0.138
2457873.69908,be,V,14.65,0.0323,5.294,0.157
2457803.87696,be,V,14.161,0.02533,8.306,0.194
2457662.51605,be,V,15.099,0.04307,3.5,0.139
2458207.78723,be,V,15.124,0.04382,3.422,0.138
2458012.53289,be,V,15.12,0.0437,3.434,0.138
2458200.89373,be,V,15.057,0.04185,3.64,0.14
2457900.85289,be,V,14.781,0.03495,4.694,0.151
2458341.72378,be,V,14.155,0.02527,8.351,0.194
2458040.56272,be,V,14.833,0.03611,4.476,0.149
2457828.83867,be,V,13.651,0.02211,13.287,0.27
2458046.52349,be,V,14.744,0.03416,4.856,0.153
2457686.533,be,V,15.164,0.04506,3.299,0.137
2458229.81377,be,V,15.131,0.04404,3.4,0.138
