,mag,magerr,mjd
0,12.718,99.99,57582.31294000009
1,11.228,0.02,56681.52857999969
2,12.745999999999999,99.99,57137.28929000022
3,12.765,99.99,57156.43307999987
4,8.259,0.02,57528.38205999974
5,12.749,99.99,57206.36110999994
6,7.442,0.02,57502.45069999993
7,9.559,0.02,57762.57592000021
8,12.75,99.99,57194.346750000026
9,10.615,0.02,57127.52108999994
10,7.841,0.02,57479.43307000026
11,12.77,99.99,57789.583149999846
12,7.85,0.02,57038.627900000196
13,12.685,99.99,57877.434940000065
14,12.745,99.99,57183.30915999971
15,12.599,99.99,57816.43775999965
16,9.963,0.02,57114.39610999962
17,8.872,0.02,56348.60154000018
18,12.752,99.99,57196.38822000008
19,12.672,99.99,57806.59749000007
20,7.9270000000000005,0.02,56812.36248000013
21,12.624,99.99,57852.58282000013
22,7.6770000000000005,0.02,57053.573540000245
23,7.2829999999999995,0.02,57492.50836999994
24,12.753,99.99,57188.35509999981
25,8.549,0.02,56865.28354000021
26,8.884,0.02,57099.549679999705
27,12.610999999999999,99.99,57818.43445999967
28,12.144,0.02,56519.23875000002
29,12.704,99.99,56511.25934000034
30,12.694,99.99,57395.61822000006
31,7.572,0.02,56826.408520000055
32,8.19,0.02,57031.601460000034
33,10.769,0.02,57901.465650000144
34,8.445,0.02,57967.257900000084
35,9.8,0.02,57237.2655199999
36,9.083,0.02,57102.49905999983
37,7.6,0.02,57061.54163999995
38,12.603,99.99,57817.43422000017
39,7.622999999999999,0.02,57514.24722999986
40,8.538,0.02,57023.617579999845
41,9.232999999999999,0.02,57008.64184999978
42,12.68,99.99,56735.36043999996
43,7.6979999999999995,0.02,57055.56995999999
44,12.638,99.99,57825.470350000076
45,7.581,0.02,56832.37187999999
46,12.77,99.99,57422.62378000002
47,12.665,99.99,58336.250399999786
48,7.875,0.02,57077.52703
49,12.61,99.99,57153.35495999968
50,9.301,0.02,57448.474040000234
51,12.460999999999999,0.02,56736.405150000006
52,7.7410000000000005,0.02,56817.44995999988
53,9.709,0.02,57110.366559999995
54,8.656,0.02,57535.46506999992
55,9.109,0.02,57542.444090000354
56,11.344000000000001,0.02,57561.38535000011
57,12.765999999999998,99.99,57576.3448900003
58,7.604,0.02,57046.575320000295
59,12.73,99.99,57178.317799999844
60,12.665999999999999,99.99,57607.24732999969
61,8.936,0.02,56797.48622999992
