source id,right ascension (RAJ2000),declination (DEJ2000),hjd,camera,filter,mag,mag err,flux (mJy),flux err
AP8019578,219.29812,26.7366,2457582.81294,ba,V,12.718,99.99,-59.206,6.279
AP8019578,219.29812,26.7366,2456682.02858,ba,V,11.228,0.02,123.814,2.278
AP8019578,219.29812,26.7366,2457137.78929,ba,V,12.746,99.99,-20.073,6.119
AP8019578,219.29812,26.7366,2457156.93308,ba,V,12.765,99.99,6.223,6.011
AP8019578,219.29812,26.7366,2457528.88206,ba,V,8.259,0.02,1906.314,35.076
AP8019578,219.29812,26.7366,2457206.86111,ba,V,12.749,99.99,-15.094,6.099
AP8019578,219.29812,26.7366,2457502.9507,ba,V,7.442,0.02,4046.149,74.449
AP8019578,219.29812,26.7366,2457763.07592,ba,V,9.559,0.02,575.804,10.595
AP8019578,219.29812,26.7366,2457194.84675,ba,V,12.75,99.99,-13.526,6.092
AP8019578,219.29812,26.7366,2457128.02109,ba,V,10.615,0.02,217.703,4.006
AP8019578,219.29812,26.7366,2457479.93307,ba,V,7.841,0.02,2803.342,51.581
AP8019578,219.29812,26.7366,2457790.08315,ba,V,12.77,99.99,13.178,5.983
AP8019578,219.29812,26.7366,2457039.1279,ba,V,7.85,0.02,2780.107,51.154
AP8019578,219.29812,26.7366,2457877.93494,ba,V,12.685,99.99,-106.43,6.472
AP8019578,219.29812,26.7366,2457183.80916,ba,V,12.745,99.99,-20.896,6.122
AP8019578,219.29812,26.7366,2457816.93776,ba,V,12.599,99.99,-235.776,7.001
AP8019578,219.29812,26.7366,2457114.89611,ba,V,9.963,0.02,397.057,7.306
AP8019578,219.29812,26.7366,2456349.10154,ba,V,8.872,0.02,1084.442,19.954
AP8019578,219.29812,26.7366,2457196.88822,ba,V,12.752,99.99,-11.071,6.082
AP8019578,219.29812,26.7366,2457807.09749,ba,V,12.672,99.99,-125.313,6.55
AP8019578,219.29812,26.7366,2456812.86248,ba,V,7.927,0.02,2587.84,47.616
AP8019578,219.29812,26.7366,2457853.08282,ba,V,12.624,99.99,-197.599,6.846
AP8019578,219.29812,26.7366,2457054.07354,ba,V,7.677,0.02,3257.747,59.943
AP8019578,219.29812,26.7366,2457493.00837,ba,V,7.283,0.02,4683.536,86.177
AP8019578,219.29812,26.7366,2457188.8551,ba,V,12.753,99.99,-10.148,6.078
AP8019578,219.29812,26.7366,2456865.78354,ba,V,8.549,0.02,1459.422,26.853
AP8019578,219.29812,26.7366,2457100.04968,ba,V,8.884,0.02,1072.353,19.731
AP8019578,219.29812,26.7366,2457818.93446,ba,V,12.611,99.99,-216.884,6.924
AP8019578,219.29812,26.7366,2456519.73875,ba,V,12.144,0.02,53.233,0.979
AP8019578,219.29812,26.7366,2456511.75934,ba,V,12.704,99.99,-78.006,6.356
AP8019578,219.29812,26.7366,2457396.11822,ba,V,12.694,99.99,-92.342,6.415
AP8019578,219.29812,26.7366,2456826.90852,ba,V,7.572,0.02,3589.668,66.05
AP8019578,219.29812,26.7366,2457032.10146,ba,V,8.19,0.02,2031.412,37.378
AP8019578,219.29812,26.7366,2457901.96565,ba,V,10.769,0.02,188.895,3.476
AP8019578,219.29812,26.7366,2457967.7579,ba,V,8.445,0.02,1606.504,29.56
AP8019578,219.29812,26.7366,2457237.76552,ba,V,9.8,0.02,461.243,8.487
AP8019578,219.29812,26.7366,2457102.99906,ba,V,9.083,0.02,892.578,16.423
AP8019578,219.29812,26.7366,2457062.04164,ba,V,7.6,0.02,3498.567,64.374
AP8019578,219.29812,26.7366,2457817.93422,ba,V,12.603,99.99,-229.801,6.977
AP8019578,219.29812,26.7366,2457514.74723,ba,V,7.623,0.02,3426.971,63.056
AP8019578,219.29812,26.7366,2457024.11758,ba,V,8.538,0.02,1474.529,27.131
AP8019578,219.29812,26.7366,2457009.14185,ba,V,9.233,0.02,777.834,14.312
AP8019578,219.29812,26.7366,2456735.86044,ba,V,12.68,99.99,-111.15,6.501
AP8019578,219.29812,26.7366,2457056.06996,ba,V,7.698,0.02,3196.915,58.823
AP8019578,219.29812,26.7366,2457825.97035,ba,V,12.638,99.99,-176.361,6.76
AP8019578,219.29812,26.7366,2456832.87188,ba,V,7.581,0.02,3561.836,65.538
AP8019578,219.29812,26.7366,2457423.12378,ba,V,12.77,99.99,13.579,5.981
AP8019578,219.29812,26.7366,2458336.7504,ba,V,12.665,99.99,-135.751,6.592
AP8019578,219.29812,26.7366,2457078.02703,ba,V,7.875,0.02,2714.853,49.953
AP8019578,219.29812,26.7366,2457153.85496,ba,V,12.61,99.99,-218.863,6.932
AP8019578,219.29812,26.7366,2457448.97404,ba,V,9.301,0.02,730.458,13.44
AP8019578,219.29812,26.7366,2456736.90515,ba,V,12.461,0.02,39.754,0.731
AP8019578,219.29812,26.7366,2456817.94996,ba,V,7.741,0.02,3073.971,56.561
AP8019578,219.29812,26.7366,2457110.86656,ba,V,9.709,0.02,501.585,9.229
AP8019578,219.29812,26.7366,2457535.96507,ba,V,8.656,0.02,1322.274,24.33
AP8019578,219.29812,26.7366,2457542.94409,ba,V,9.109,0.02,871.51,16.036
AP8019578,219.29812,26.7366,2457561.88535,ba,V,11.344,0.02,111.301,2.048
AP8019578,219.29812,26.7366,2457576.84489,ba,V,12.766,99.99,7.592,6.006
AP8019578,219.29812,26.7366,2457047.07532,ba,V,7.604,0.02,3484.47,64.114
AP8019578,219.29812,26.7366,2457178.8178,ba,V,12.73,99.99,-41.573,6.207
AP8019578,219.29812,26.7366,2457607.74733,ba,V,12.666,99.99,-134.624,6.588
AP8019578,219.29812,26.7366,2456797.98623,ba,V,8.936,0.02,1021.784,18.801
AP8019578,219.29812,26.7366,2457819.93091,ba,V,12.597,99.99,-239.87,7.018
AP8019578,219.29812,26.7366,2457045.08342,ba,V,7.62,0.02,3434.99,63.204
AP8019578,219.29812,26.7366,2457043.11653,ba,V,7.721,0.02,3129.328,57.58
AP8019578,219.29812,26.7366,2457101.89971,ba,V,9.065,0.02,907.47,16.697
AP8019578,219.29812,26.7366,2457191.86514,ba,V,12.74,99.99,-28.231,6.152
AP8019578,219.29812,26.7366,2457171.91277,ba,V,12.765,99.99,6.037,6.013
AP8019578,219.29812,26.7366,2457972.75146,ba,V,8.682,0.02,1291.857,23.77
AP8019578,219.29812,26.7366,2457380.12572,ba,V,12.671,99.99,-126.166,6.554
AP8019578,219.29812,26.7366,2457483.02091,ba,V,7.63,0.02,3404.46,62.642
AP8019578,219.29812,26.7366,2457181.93092,ba,V,12.751,99.99,-12.954,6.09
AP8019578,219.29812,26.7366,2456828.91899,ba,V,7.556,0.02,3643.719,67.044
AP8019578,219.29812,26.7366,2457874.78999,be,V,12.193,99.99,36.334,10.177
AP8019578,219.29812,26.7366,2457392.09353,ba,V,12.672,99.99,-124.654,6.547
AP8019578,219.29812,26.7366,2457436.97383,ba,V,10.622,0.02,216.292,3.98
AP8019578,219.29812,26.7366,2456829.89578,ba,V,7.544,0.02,3682.627,67.76
AP8019578,219.29812,26.7366,2457463.02686,ba,V,8.604,0.02,1387.723,25.534
AP8019578,219.29812,26.7366,2458321.78224,ba,V,12.602,99.99,-231.465,6.984
AP8019578,219.29812,26.7366,2457787.03268,ba,V,12.751,99.99,-12.926,6.09
AP8019578,219.29812,26.7366,2457895.97458,ba,V,11.091,0.02,140.454,2.584
AP8019578,219.29812,26.7366,2457041.08377,ba,V,7.786,0.02,2947.752,54.239
AP8019578,219.29812,26.7366,2457399.07804,ba,V,12.664,99.99,-137.093,6.598
AP8019578,219.29812,26.7366,2457847.84287,ba,V,12.554,99.99,-308.129,7.298
AP8019578,219.29812,26.7366,2457160.93829,ba,V,12.761,99.99,0.678,6.034
AP8019578,219.29812,26.7366,2457409.04922,ba,V,12.671,99.99,-125.958,6.553
AP8019578,219.29812,26.7366,2457849.02157,ba,V,12.631,99.99,-186.662,6.8
AP8019578,219.29812,26.7366,2457222.80665,ba,V,10.981,0.02,155.445,2.86
AP8019578,219.29812,26.7366,2456756.80446,ba,V,12.742,99.99,-25.303,6.141
AP8019578,219.29812,26.7366,2457604.75662,ba,V,12.686,99.99,-104.653,6.465
AP8019578,219.29812,26.7366,2456758.79932,ba,V,12.765,99.99,7.152,6.009
AP8019578,219.29812,26.7366,2457167.86346,ba,V,12.755,99.99,-7.213,6.066
AP8019578,219.29812,26.7366,2457452.9414,ba,V,9.168,0.02,825.524,15.19
AP8019578,219.29812,26.7366,2456818.93451,ba,V,7.709,0.02,3163.241,58.204
AP8019578,219.29812,26.7366,2457830.11198,ba,V,12.642,99.99,-169.984,6.733
AP8019578,219.29812,26.7366,2457108.94459,ba,V,9.551,0.02,580.289,10.677
AP8019578,219.29812,26.7366,2457869.93644,ba,V,12.599,99.99,-237.006,7.006
AP8019578,219.29812,26.7366,2457499.0179,ba,V,7.405,0.02,4188.892,77.076
AP8019578,219.29812,26.7366,2457783.1218,ba,V,10.834,0.02,177.876,3.273
AP8019578,219.29812,26.7366,2456787.91393,ba,V,9.334,0.02,708.212,13.031
AP8019578,219.29812,26.7366,2457581.80744,ba,V,12.712,99.99,-66.461,6.309
AP8019578,219.29812,26.7366,2456855.78696,ba,V,8.023,0.02,2369.613,43.601
AP8019578,219.29812,26.7366,2457855.70428,be,V,12.194,99.99,37.346,10.17
AP8019578,219.29812,26.7366,2456866.78089,ba,V,8.613,0.02,1376.891,25.335
