wavelength      flux
4047.9897       68155.250
4053.2298       79884.650
4058.4699       69043.030
4063.7100       75279.330
4068.9500       76274.370
4074.1901       80096.860
4079.4302       71487.020
4084.6702       71575.280
4089.9103       70952.850
4095.1504       75461.770
4100.3904       65787.360
4105.6305       74425.260
4110.8706       73351.760
4116.1106       81833.060
4121.3507       65545.900
4126.5908       59426.390
4131.8309       79022.860
4137.0709       82173.560
4142.3110       80596.570
4147.5511       72469.360
4152.7911       75032.380
4158.0312       69974.010
4163.2713       66320.750
4168.5113       59576.270
4173.7514       65234.850
4178.9915       76870.140
4184.2316       70575.600
4189.4716       59530.430
4194.7117       84369.670
4199.9518       78828.510
4205.1918       74364.170
4210.4319       66591.790
4215.6720       73584.200
4220.9120       64898.310
4226.1521       71279.190
4231.3922       74580.660
4236.6322       72609.410
4241.8723       78454.630
4247.1124       61026.230
4252.3525       76363.220
4257.5925       71736.770
4262.8326       69292.410
4268.0727       65915.280
4273.3127       77409.650
4278.5528       64088.650
4283.7929       61032.510
4289.0329       59900.560
4294.2730       68211.610
4299.5131       71694.450
4304.7531       69783.710
4309.9932       73649.760
4315.2333       73970.470
4320.4734       63230.020
4325.7134       66940.460
4330.9535       59163.780
4336.1936       58248.880
4341.4336       85099.510
4351.9138       60433.620
4357.1538       70093.090
4362.3939       62514.120
4367.6340       59797.100
4372.8740       74121.300
4378.1141       61939.670
4383.3542       60809.920
4388.5943       62922.060
4393.8343       59745.800
4399.0744       62413.410
4404.3145       74263.020
4409.5545       65628.020
4414.7946       61050.060
4420.0347       51254.350
4425.2747       62317.570
4430.5148       70902.980
4435.7549       52654.110
4440.9950       67243.390
4446.2350       51805.610
4451.4751       60416.180
4456.7152       47828.730
4461.9552       54972.890
4467.1953       55914.730
4472.4354       66000.340
4477.6754       59639.500
4482.9155       68194.220
4488.1556       55889.280
4493.3956       76122.730
4498.6357       64207.480
4503.8758       68848.650
4509.1159       54257.910
4514.3559       59647.800
4519.5960       49091.040
4524.8361       55639.450
4530.0761       48992.750
4535.3162       64689.990
4540.5563       59231.550
4545.7963       64297.400
4551.0364       49620.360
4556.2765       70616.560
4561.5165       58658.010
4566.7566       58998.860
4571.9967       56155.850
4577.2368       62406.300
4582.4768       48233.570
4587.7169       53195.700
4592.9570       55467.390
4598.1970       61210.140
4603.4371       59996.990
4608.6772       55466.500
4613.9172       51454.390
4619.1573       54431.010
4624.3974       68303.220
4629.6374       67508.160
4634.8775       57839.050
4640.1176       56255.050
4645.3577       50164.790
4650.5977       50602.890
4655.8378       70883.570
4661.0779       69278.190
4666.3179       59316.620
4671.5580       69728.070
4676.7981       59322.750
4682.0381       55218.660
4687.2782       59115.470
4692.5183       74412.540
4697.7584       61292.470
4702.9984       60386.580
4708.2385       66886.000
4713.4786       68194.220
4718.7186       72034.960
4723.9587       76530.610
4729.1988       70521.090
4734.4388       80193.040
4739.6789       56947.900
4744.9190       61737.450
4750.1590       58918.110
4755.3991       61737.450
4760.6392       71977.250
4765.8793       65071.040
4771.1193       59397.740
4776.3594       57413.040
4781.5995       70615.400
4786.8395       75814.650
4792.0796       69623.050
4797.3197       72515.870
4802.5597       83079.470
4807.7998       63048.050
4813.0399       61592.900
4818.2799       65847.270
4823.5200       69263.640
4828.7601       72666.690
4834.0002       76297.810
4839.2402       78754.280
4844.4803       77626.270
4849.7204       91961.800
4854.9604       84777.320
4860.2005       66106.640
4865.4406       74369.170
4870.6806       65248.950
4875.9207       82057.880
4881.1608       81153.390
4886.4008       89048.250
4891.6409       94358.530
4896.8810       87361.100
4902.1211       93753.630
4907.3611       94939.140
4912.6012       68658.120
4923.0813       91512.740
4928.3214       89829.320
4933.5615       85492.260
4938.8015       93052.110
4944.0416       105070.20
4949.2817       96398.190
4954.5218       104824.25
4959.7618       87239.880
4965.0019       94309.400
4970.2420       72091.030
4975.4820       84359.390
4980.7221       84680.730
4985.9622       86079.590
4991.2022       79162.400
4996.4423       97945.530
5001.6824       89762.230
5006.9224       103214.26
5012.1625       85986.240
5017.4026       98334.160
5022.6427       89074.920
5027.8827       91350.940
5033.1228       75005.020
5038.3629       92114.380
5043.6029       88565.500
5048.8430       99684.670
5054.0831       80095.290
5059.3231       125382.57
5064.5632       102875.85
5069.8033       137575.19
5075.0433       110308.39
5080.2834       110415.64
5085.5235       123068.42
5090.7636       127468.66
5096.0036       111275.64
5101.2437       111870.99
5106.4838       117229.10
5111.7238       142179.52
5116.9639       142991.36
5122.2040       145805.73
5127.4440       145372.75
5132.6841       147660.05
5137.9242       144182.05
5143.1642       146786.00
5148.4043       140392.49
5153.6444       137197.21
5158.8845       125481.00
5164.1245       121867.30
5169.3646       109239.42
5174.6047       115139.78
5179.8447       107941.71
5185.0848       117455.81
5190.3249       107886.04
5195.5649       111894.19
5200.8050       115791.00
5206.0451       117297.80
5211.2852       94147.750
5216.5252       95930.350
5221.7653       118222.41
5227.0054       133465.83
5232.2454       141259.45
5237.4855       154059.13
5242.7256       151683.42
5247.9656       151215.81
5253.2057       133023.00
5258.4458       134912.37
5263.6858       130324.51
5268.9259       125822.85
5274.1660       134500.92
5279.4061       156420.49
5284.6461       160134.64
5289.8862       180832.61
5295.1263       157390.20
5300.3663       179895.93
5305.6064       161427.53
5310.8465       170400.83
5316.0865       174403.53
5321.3266       169704.03
5326.5667       172979.93
5331.8067       174836.99
5337.0468       207344.67
5342.2869       172198.80
5347.5270       203137.77
5352.7670       206243.23
5358.0071       190965.95
5363.2472       193228.15
