MJD,magV
39131.5,7.3
39467.1,12.7
39467.1,12.9
39468.6,10.0
39468.9,9.2
39469.0,9.2
39469.0,9.2
39469.0,9.2
39469.0,9.2
39469.0,9.2
39469.0,9.2
39469.0,9.3
39469.1,8.8
39469.6,9.2
39469.7,9.1
39470.1,8.5
39470.9,8.2
39472.1,8.4
39472.1,8.6
39472.9,7.7
39474.0,7.7
39474.0,7.9
39474.0,8.0
39475.0,7.7
39475.0,7.7
39475.1,7.8
39475.1,7.9
39475.6,7.8
39476.0,7.7
39476.1,7.6
39476.6,7.8
39477.1,8.0
39477.6,7.8
39477.9,7.8
39478.0,7.6
39478.6,7.8
39479.0,8.0
39479.1,7.8
39479.9,7.7
39480.0,7.5
39480.0,7.8
39481.0,7.5
39481.1,8.0
39481.2,8.1
39481.2,8.2
39482.0,8.0
39483.0,8.0
39483.0,8.0
39483.0,8.0
39484.0,8.0
39484.1,7.8
39485.0,7.8
39485.0,7.8
39485.0,7.8
39485.1,7.9
39485.8,8.0
39486.0,7.7
39486.0,7.9
39486.0,8.0
39486.1,7.7
39486.1,7.8
39487.0,7.7
39488.1,7.2
39488.9,7.9
39490.0,8.0
39490.1,7.5
39490.9,7.6
39491.0,7.3
39491.0,7.6
39491.0,7.6
39491.0,8.1
39492.0,7.4
39492.0,7.7
39493.0,6.9
39493.0,6.9
39493.0,7.1
39493.0,7.5
39493.1,6.9
39493.1,7.6
39494.0,7.9
39494.0,7.9
39494.0,8.2
39494.1,8.0
39494.2,8.0
39494.5,7.8
39494.6,7.8
39494.6,7.9
39494.6,8.2
39495.0,7.1
39495.6,8.0
39495.8,7.1
39496.0,6.7
39496.0,6.9
39496.0,7.4
39496.5,7.6
39496.5,8.0
39497.0,7.8
39497.0,7.8
39497.6,7.7
39498.0,6.5
39498.0,7.1
39498.1,6.7
39499.0,6.6
39499.0,6.6
39499.0,6.7
39499.0,7.1
39499.1,6.6
39500.0,6.5
39500.0,6.7
39500.0,6.7
39500.0,6.9
39500.1,6.7
39501.0,6.1
39501.0,6.2
39501.0,6.4
39501.1,6.1
39501.1,6.5
39501.9,7.1
39501.9,7.1
39502.0,6.9
39502.0,7.0
39502.1,7.1
39502.1,7.5
39502.5,7.2
39502.6,7.4
39503.0,6.3
39503.9,7.5
39504.0,7.0
39504.0,7.1
39504.0,7.8
39504.0,7.8
39504.0,8.0
39504.1,7.7
39504.2,7.9
39504.6,7.2
39504.9,7.7
39505.0,7.6
39505.0,7.8
39505.1,7.7
39505.1,7.8
39505.9,6.6
39505.9,6.6
39506.0,6.1
39506.0,6.3
39506.0,6.4
39506.0,6.6
39506.0,6.7
39506.1,7.1
39506.6,7.2
39507.0,7.1
39507.1,7.8
39507.1,7.9
39507.1,8.2
39508.0,7.6
39508.0,7.8
39508.9,6.7
39508.9,7.4
39508.9,7.5
39509.0,7.3
39509.9,7.5
39509.9,7.5
39510.9,7.7
39511.0,7.6
39511.0,7.8
39511.0,7.8
39511.9,7.6
39512.0,7.1
39512.0,7.5
39513.0,7.0
39513.1,7.2
39513.6,6.8
39513.8,7.3
39514.0,7.5
39514.0,7.6
39514.1,7.5
39514.7,7.6
39515.0,7.6
39515.9,7.7
39516.9,7.3
39517.1,7.2
39517.9,7.8
39518.0,7.8
39518.0,7.9
39518.9,7.7
39518.9,7.8
39518.9,8.0
39519.7,7.7
39519.9,8.0
39520.6,7.5
39520.6,7.8
39520.8,7.8
39520.9,7.5
39520.9,7.6
39521.1,7.4
39521.7,7.6
39521.7,7.7
39521.9,7.6
39521.9,7.7
39521.9,8.0
39522.0,7.9
