Modified Julian Day,Magnitude,mjd
59100.0,,
59102.0,,
59104.0,,
59106.0,13.426905,59106.51450233333
59108.0,13.454312,59109.1638889
59110.0,13.430207,59110.67850115
59112.0,13.417283,59112.654233225
59114.0,13.445181,59114.1711111
59116.0,,
59118.0,,
59120.0,,
59122.0,,
59124.0,13.383374,59124.2265278
59126.0,,
59128.0,13.337135,59128.1431944
59130.0,,
59132.0,,
59134.0,13.404363,59135.1395602
59136.0,,
59138.0,,
59140.0,13.331961,59141.1096817
59142.0,,
59144.0,13.412016,59145.0991088
59146.0,,
59148.0,,
59150.0,,
59152.0,,
59154.0,,
59156.0,13.326982,59157.0795486
59158.0,,
59160.0,,
59162.0,,
59164.0,,
59166.0,,
59168.0,,
59170.0,,
59172.0,,
59174.0,,
59176.0,,
59178.0,,
59180.0,,
59182.0,,
59184.0,,
59186.0,,
59188.0,,
59190.0,,
59192.0,,
59194.0,,
59196.0,,
59198.0,,
59200.0,,
59202.0,,
59204.0,,
59206.0,,
59208.0,,
59210.0,,
59212.0,,
59214.0,,
59216.0,,
59218.0,,
59220.0,13.492846,59221.56836805
59222.0,13.418747,59223.071620366674
59224.0,13.48648,59224.5741609
59226.0,13.36772,59227.19932725
59228.0,13.45385,59229.5784144
59230.0,,
59232.0,13.453149,59232.5741406
59234.0,,
59236.0,,
59238.0,,
59240.0,,
59242.0,,
59244.0,,
59246.0,,
59248.0,,
59250.0,,
59252.0,13.368159,59252.5441435
59254.0,,
59256.0,,
59258.0,,
59260.0,,
59262.0,13.356874,59263.4886343
59264.0,,
59266.0,,
59268.0,,
59270.0,13.45034,59270.5168981
59272.0,,
59274.0,,
59276.0,,
59278.0,,
59280.0,,
59282.0,,
59284.0,,
59286.0,,
59288.0,,
59290.0,13.305796,59291.4632292
59292.0,,
59294.0,13.4115505,59295.49445025
59296.0,,
59298.0,13.381656,59298.4005903
59300.0,,
59302.0,,
59304.0,13.361944,59304.4465509
59306.0,13.419488,59307.4636111
59308.0,13.371927,59309.4833218
59310.0,,
59312.0,13.411945,59313.4416551
59314.0,,
59316.0,,
59318.0,13.495508,59319.4642593
59320.0,,
59322.0,13.440694,59322.4670833
59324.0,13.3983135,59324.3522454
59326.0,,
59328.0,13.367529,59328.4042245
59330.0,,
59332.0,,
59334.0,,
59336.0,13.354747,59336.3885185
59338.0,13.474658,59339.4582407
59340.0,,
59342.0,13.421862,59343.3706019
59344.0,,
59346.0,13.413921,59346.4194676
59348.0,,
59350.0,,
59352.0,13.381988,59353.4226042
59354.0,,
59356.0,13.388876,59356.3586574
59358.0,13.526811,59358.3340741
59360.0,,
59362.0,13.500981,59362.3193171
59364.0,13.389076,59364.3539583
59366.0,13.380625,59366.373912
59368.0,13.458888,59368.3787731
59370.0,13.383846,59370.3726157
59372.0,,
59374.0,13.372424,59374.4257292
59376.0,13.4001465,59376.3323958
59378.0,13.408662,59378.3165278
59380.0,13.471456,59380.3571875
59382.0,,
59384.0,,
59386.0,13.369557,59386.3659144
59388.0,,
59390.0,13.331414,59390.3381366
59392.0,13.520631,59392.3532176
59394.0,,
59396.0,13.469691,59396.3186111
59398.0,13.434737,59399.3180556
59400.0,13.431226,59401.3289815
59402.0,13.452478,59403.2971528
59404.0,,
59406.0,,
59408.0,13.366244,59409.2784722
59410.0,13.490082,59411.2345139
59412.0,,
59414.0,13.344318,59414.2795949
59416.0,13.518901,59417.2750116
59418.0,13.447342,59419.2745139
59420.0,,
59422.0,,
59424.0,,
59426.0,13.446862,59427.2275347
59428.0,,
59430.0,,
59432.0,,
59434.0,,
59436.0,13.488695,59436.21946180001
59438.0,13.448486,59439.215081
59440.0,13.3485565,59441.1936458
59442.0,13.332991,59443.2583449
59444.0,,
59446.0,13.400443,59447.2284606
59448.0,,
59450.0,,
59452.0,13.488699,59452.1925
59454.0,,
59456.0,,
59458.0,13.393134,59458.2241435
