Phase,Magnitude
0.005,20.858143
0.015,19.84423
0.025,19.609772
0.035,19.648379499999997
0.045,19.311335
0.055,19.6263745
0.065,19.813417
0.07500000000000001,19.476528
0.08499999999999999,20.40982
0.095,19.3352425
0.10500000000000001,19.141861333333335
0.11499999999999999,19.903547
0.125,19.080161
0.135,19.668869500000003
0.14500000000000002,19.296948
0.155,20.013436
0.165,19.59403
0.175,
0.185,19.65736933333333
0.195,19.414927
0.20500000000000002,19.834593
0.215,
0.225,19.882349333333334
0.235,19.647382999999998
0.245,19.8010495
0.255,19.297722
0.265,19.8760755
0.275,19.845359600000002
0.28500000000000003,19.922978999999998
0.295,20.335522
0.305,20.22101066666667
0.315,19.87376575
0.325,20.228061
0.335,19.5957965
0.34500000000000003,19.4505605
0.355,19.724356
0.365,20.045836333333337
0.375,20.436895
0.385,19.727322
0.395,19.67103966666667
0.405,
0.41500000000000004,20.1848575
0.425,19.704152
0.435,19.824927000000002
0.445,19.405951
0.455,20.2309335
0.465,19.440894
0.475,20.341635333333333
0.485,19.144358999999998
0.495,
0.505,20.240526
0.515,19.853171500000002
0.525,19.715931
0.535,19.768643500000003
0.545,19.872325
0.555,19.933545
0.5650000000000001,19.81905433333333
0.575,20.098379
0.585,20.555345
0.595,
0.605,
0.615,
0.625,19.281447
0.635,19.895754
0.645,19.847457499999997
0.655,19.738286000000002
0.665,20.152954
0.675,20.0374945
0.685,19.8785935
0.6950000000000001,20.0057
0.7050000000000001,19.813239999999997
0.715,19.990018
0.725,19.785994
0.735,19.815419
0.745,20.232879
0.755,19.9041985
0.765,
0.775,19.918653333333335
0.785,19.572637
0.795,19.839242666666667
0.805,19.85644566666667
0.8150000000000001,
0.8250000000000001,19.69126
0.835,19.579256
0.845,19.825533
0.855,19.799217000000002
0.865,19.880753
0.875,19.416894
0.885,19.4518545
0.895,
0.905,19.60396
0.915,19.546226333333333
0.925,19.622488
0.935,19.5450235
0.9450000000000001,19.3852944
0.9550000000000001,19.4721285
0.965,19.585042
0.975,19.692895333333336
0.985,19.48295075
0.995,19.636670000000002
1.005,20.858143
1.015,19.84423
1.025,19.609772
1.035,19.648379499999997
1.045,19.311335
1.055,19.6263745
1.065,19.813417
1.075,19.476528
1.085,20.40982
1.095,19.3352425
1.105,19.141861333333335
1.115,19.903547
1.125,19.080161
1.135,19.668869500000003
1.145,19.296948
1.155,20.013436
1.165,19.59403
1.175,
1.185,19.65736933333333
1.195,19.414927
1.205,19.834593
1.215,
1.225,19.882349333333334
1.2349999999999999,19.647382999999998
1.245,19.8010495
1.255,19.297722
1.2650000000000001,19.8760755
1.275,19.845359600000002
1.2850000000000001,19.922978999999998
1.295,20.335522
1.305,20.22101066666667
1.315,19.87376575
1.325,20.228061
1.335,19.5957965
1.345,19.4505605
1.355,19.724356
1.365,20.045836333333337
1.375,20.436895
1.385,19.727322
1.395,19.67103966666667
1.405,
1.415,20.1848575
1.425,19.704152
1.435,19.824927000000002
1.445,19.405951
1.455,20.2309335
1.465,19.440894
1.475,20.341635333333333
1.4849999999999999,19.144358999999998
1.495,
1.505,20.240526
1.5150000000000001,19.853171500000002
1.525,19.715931
1.5350000000000001,19.768643500000003
1.545,19.872325
1.5550000000000002,19.933545
1.565,19.81905433333333
1.575,20.098379
1.585,20.555345
1.595,
1.605,
1.615,
1.625,19.281447
1.635,19.895754
1.645,19.847457499999997
1.655,19.738286000000002
1.665,20.152954
1.675,20.0374945
1.685,19.8785935
1.695,20.0057
1.705,19.813239999999997
1.7149999999999999,19.990018
1.725,19.785994
1.7349999999999999,19.815419
1.745,20.232879
1.755,19.9041985
1.7650000000000001,
1.775,19.918653333333335
1.7850000000000001,19.572637
1.795,19.839242666666667
1.8050000000000002,19.85644566666667
1.815,
1.8250000000000002,19.69126
1.835,19.579256
1.845,19.825533
1.855,19.799217000000002
1.865,19.880753
1.875,19.416894
1.885,19.4518545
1.895,
1.905,19.60396
1.915,19.546226333333333
1.925,19.622488
1.935,19.5450235
1.945,19.3852944
1.955,19.4721285
1.9649999999999999,19.585042
1.975,19.692895333333336
1.9849999999999999,19.48295075
1.995,19.636670000000002
