Modified Julian Day,Magnitude,mjd
58198.0,15.477576,58198.5004456
58203.0,,
58208.0,,
58213.0,15.496568,58216.3820949
58218.0,15.3426285,58219.19032115
58223.0,15.198149,58226.44837385
58228.0,15.375322,58230.9287442
58233.0,,
58238.0,,
58243.0,15.487005,58246.25387923333
58248.0,15.534456,58252.3977546
58253.0,15.290943,58255.8121123
58258.0,,
58263.0,15.463521,58266.3140741
58268.0,15.301027,58270.0482562
58273.0,15.381872,58273.395978
58278.0,15.353577,58279.80453125
58283.0,15.377704,58285.813460649995
58288.0,,
58293.0,15.395079,58294.802777799996
58298.0,15.514638,58302.2946528
58303.0,15.372205,58305.3359491
58308.0,15.391609,58309.71179975
58313.0,,
58318.0,15.388912,58320.75140045
58323.0,15.5414505,58326.291875
58328.0,,
58333.0,15.450703,58334.690844900004
58338.0,15.439926,58340.1699421
58343.0,15.277248,58344.6750347
58348.0,15.354045,58350.1692361
58353.0,15.258727,58354.7377083
58358.0,15.385878,58360.68993055
58363.0,15.474722,58365.1507639
58368.0,15.311085,58369.63868055
58373.0,15.299855,58375.638072899994
58378.0,,
58383.0,15.4184475,58384.6718808
58388.0,15.399413,58389.1110185
58393.0,,
58398.0,,
58403.0,,
58408.0,,
58413.0,,
58418.0,,
58423.0,,
58428.0,,
58433.0,,
58438.0,,
58443.0,,
58448.0,,
58453.0,,
58458.0,,
58463.0,,
58468.0,,
58473.0,,
58478.0,,
58483.0,15.391477,58487.07030381251
58488.0,,
58493.0,,
58498.0,,
58503.0,15.632589,58503.5115046
58508.0,15.443571,58511.5455671
58513.0,,
58518.0,,
58523.0,15.381815,58526.5398843
58528.0,,
58533.0,,
58538.0,15.519038,58540.5453819
58543.0,,
58548.0,,
58553.0,15.311897,58557.5409375
58558.0,15.423701,58560.4603009
58563.0,15.374024,58567.5230324
58568.0,15.441247,58572.4764699
58573.0,15.261726,58575.4392014
58578.0,15.33505,58580.4815278
58583.0,15.361758,58586.4872454
58588.0,,
58593.0,15.335624,58596.070354933334
58598.0,15.275828,58598.95755785
58603.0,15.3265705,58605.4201852
58608.0,15.323236,58610.40010995
58613.0,15.4320135,58616.3970718
58618.0,15.508971,58618.797442099996
58623.0,15.481517,58627.3778935
58628.0,15.429229,58632.3309722
58633.0,15.512826,58633.4008024154
58638.0,15.424252,58639.82163195
58643.0,15.454295,58645.794375
58648.0,15.527945,58650.3151505
58653.0,15.340582,58655.023182850004
58658.0,,
58663.0,15.535216,58663.2997454
58668.0,15.378845,58670.77925345
58673.0,15.382615,58675.24921296667
58678.0,15.480135,58681.016820025005
58683.0,15.316614,58684.1724421
58688.0,15.183232,58691.1906829
58693.0,15.411413,58695.462601275
58698.0,15.49125,58700.1721181
58703.0,15.299259,58705.66653935
58708.0,15.13467,58711.2896759
58713.0,,
58718.0,,
58723.0,15.534128,58725.2356829
58728.0,15.3902445,58729.55870753334
58733.0,15.45952,58736.2070833
58738.0,,
58743.0,15.406995,58744.1207639
58748.0,,
58753.0,,
58758.0,15.588543,58761.1080093
58763.0,,
58768.0,,
58773.0,15.358512,58777.0906597
58778.0,15.479437,58781.0893171
58783.0,,
58788.0,15.278696,58790.1096759
58793.0,15.335372,58795.8835741
58798.0,15.356258,58802.0815133
58803.0,15.529665,58804.07957465
58808.0,,
58813.0,,
58818.0,,
58823.0,,
58828.0,,
58833.0,,
58838.0,,
58843.0,,
58848.0,15.364044,58850.5698452125
58853.0,15.340592,58854.57020576667
58858.0,,
58863.0,,
58868.0,,
58873.0,15.497144,58877.5196991
58878.0,,
58883.0,15.378461,58885.5430787
58888.0,15.503015,58888.4992245
58893.0,15.544942,58894.5413079
58898.0,15.234132,58899.516331
58903.0,15.319528,58904.5237731
58908.0,15.339012,58910.0088252
58913.0,15.47644,58914.5219792
58918.0,,
58923.0,,
58928.0,,
58933.0,15.174733,58936.5065509
58938.0,15.501973,58939.4871644
58943.0,15.603889,58943.4810069
58948.0,,
58953.0,15.464459,58954.970740749995
58958.0,15.266094,58961.4570255
58963.0,15.386036,58965.902222250006
58968.0,15.476221,58970.4147801
58973.0,15.234022,58973.3744907
58978.0,15.257715,58979.336412
58983.0,15.383803,58985.85274305
58988.0,15.256307,58991.846475700004
58993.0,15.336059,58996.34859953334
58998.0,15.528969,58999.74477546
59003.0,15.427068,59004.27115743334
59008.0,15.444834,59010.96422453333
59013.0,15.383491,59015.929020066666
59018.0,15.424887,59019.262488399996
59023.0,15.474309,59025.259377300004
59028.0,15.370934,59030.57522373333
59033.0,15.349396,59034.3322222
59038.0,15.38616,59039.59659723333
