Phase,Magnitude
0.005,
0.015,
0.025,18.65553092956543
0.035,18.695009231567386
0.045,
0.055,18.748306274414066
0.065,
0.07500000000000001,
0.08499999999999999,
0.095,18.759343147277832
0.10500000000000001,18.7164306640625
0.11499999999999999,18.817455291748047
0.125,
0.135,18.796507835388184
0.14500000000000002,
0.155,
0.165,18.82064437866211
0.175,
0.185,
0.195,18.803146998087566
0.20500000000000002,18.79639434814453
0.215,
0.225,
0.235,18.87434673309326
0.245,18.85017204284668
0.255,
0.265,18.91153717041016
0.275,
0.28500000000000003,18.84108161926269
0.295,
0.305,
0.315,18.856260299682614
0.325,18.979790687561035
0.335,
0.34500000000000003,18.93087387084961
0.355,18.954952239990234
0.365,
0.375,
0.385,
0.395,
0.405,
0.41500000000000004,
0.425,
0.435,
0.445,19.16710090637207
0.455,19.163707733154297
0.465,19.266740798950195
0.475,
0.485,
0.495,19.18320655822754
0.505,
0.515,
0.525,
0.535,
0.545,
0.555,19.367516835530598
0.5650000000000001,19.300514221191406
0.575,19.295808792114254
0.585,
0.595,
0.605,
0.615,19.370166778564453
0.625,
0.635,
0.645,
0.655,19.42896270751953
0.665,19.40414810180664
0.675,19.294139862060547
0.685,
0.6950000000000001,19.24484634399414
0.7050000000000001,
0.715,
0.725,
0.735,
0.745,
0.755,
0.765,
0.775,
0.785,
0.795,
0.805,
0.8150000000000001,
0.8250000000000001,19.28792953491211
0.835,
0.845,19.36052703857422
0.855,
0.865,
0.875,
0.885,19.094057083129886
0.895,
0.905,
0.915,
0.925,18.819146156311035
0.935,18.79291343688965
0.9450000000000001,
0.9550000000000001,18.691031455993652
0.965,
0.975,
0.985,18.625303268432614
0.995,18.61394691467285
1.005,
1.015,
1.025,18.65553092956543
1.035,18.695009231567386
1.045,
1.055,18.748306274414066
1.065,
1.075,
1.085,
1.095,18.759343147277832
1.105,18.7164306640625
1.115,18.817455291748047
1.125,
1.135,18.796507835388184
1.145,
1.155,
1.165,18.82064437866211
1.175,
1.185,
1.195,18.803146998087566
1.205,18.79639434814453
1.215,
1.225,
1.2349999999999999,18.87434673309326
1.245,18.85017204284668
1.255,
1.2650000000000001,18.91153717041016
1.275,
1.2850000000000001,18.84108161926269
1.295,
1.305,
1.315,18.856260299682614
1.325,18.979790687561035
1.335,
1.345,18.93087387084961
1.355,18.954952239990234
1.365,
1.375,
1.385,
1.395,
1.405,
1.415,
1.425,
1.435,
1.445,19.16710090637207
1.455,19.163707733154297
1.465,19.266740798950195
1.475,
1.4849999999999999,
1.495,19.18320655822754
1.505,
1.5150000000000001,
1.525,
1.5350000000000001,
1.545,
1.5550000000000002,19.367516835530598
1.565,19.300514221191406
1.575,19.295808792114254
1.585,
1.595,
1.605,
1.615,19.370166778564453
1.625,
1.635,
1.645,
1.655,19.42896270751953
1.665,19.40414810180664
1.675,19.294139862060547
1.685,
1.695,19.24484634399414
1.705,
1.7149999999999999,
1.725,
1.7349999999999999,
1.745,
1.755,
1.7650000000000001,
1.775,
1.7850000000000001,
1.795,
1.8050000000000002,
1.815,
1.8250000000000002,19.28792953491211
1.835,
1.845,19.36052703857422
1.855,
1.865,
1.875,
1.885,19.094057083129886
1.895,
1.905,
1.915,
1.925,18.819146156311035
1.935,18.79291343688965
1.945,
1.955,18.691031455993652
1.9649999999999999,
1.975,
1.9849999999999999,18.625303268432614
1.995,18.61394691467285
