Modified Julian Day,Magnitude,mjd
57255.0,13.988,57255.6
57256.0,,
57257.0,,
57258.0,,
57259.0,,
57260.0,,
57261.0,,
57262.0,14.26,57262.5
57263.0,,
57264.0,14.293,57264.6
57265.0,,
57266.0,,
57267.0,,
57268.0,,
57269.0,,
57270.0,,
57271.0,,
57272.0,,
57273.0,13.694,57273.6
57274.0,,
57275.0,,
57276.0,,
57277.0,,
57278.0,,
57279.0,,
57280.0,,
57281.0,,
57282.0,,
57283.0,,
57284.0,14.106,57284.5
57285.0,,
57286.0,,
57287.0,,
57288.0,14.125,57288.5
57289.0,,
57290.0,,
57291.0,,
57292.0,,
57293.0,,
57294.0,,
57295.0,,
57296.0,,
57297.0,,
57298.0,,
57299.0,,
57300.0,,
57301.0,,
57302.0,,
57303.0,,
57304.0,13.664000000000001,57304.5
57305.0,,
57306.0,,
57307.0,,
57308.0,13.946,57308.4
57309.0,,
57310.0,14.255,57310.5
57311.0,,
57312.0,,
57313.0,13.97,57313.4
57314.0,,
57315.0,,
57316.0,13.940999999999999,57316.4
57317.0,,
57318.0,13.874,57318.5
57319.0,13.868,57319.4
57320.0,,
57321.0,13.824000000000002,57321.4
57322.0,,
57323.0,,
57324.0,,
57325.0,,
57326.0,,
57327.0,,
57328.0,13.950999999999999,57328.6
57329.0,13.74,57329.4
57330.0,,
57331.0,,
57332.0,,
57333.0,,
57334.0,,
57335.0,,
57336.0,,
57337.0,,
57338.0,,
57339.0,,
57340.0,,
57341.0,,
57342.0,13.854000000000001,57342.3
57343.0,,
57344.0,13.935,57344.4
57345.0,,
57346.0,,
57347.0,,
57348.0,,
57349.0,,
57350.0,,
57351.0,,
57352.0,,
57353.0,,
57354.0,,
57355.0,,
57356.0,13.919,57356.4
57357.0,,
57358.0,14.197000000000001,57358.5
57359.0,,
57360.0,14.329,57360.5
57361.0,14.362,57361.5
57362.0,14.353,57362.5
57363.0,14.332,57363.3
57364.0,14.337,57364.4
57365.0,,
57366.0,14.127,57366.3
57367.0,,
57368.0,13.925,57368.4
57369.0,,
57370.0,13.92,57370.4
57371.0,,
57372.0,,
57373.0,,
57374.0,13.854000000000001,57374.3
57375.0,,
57376.0,,
57377.0,,
57378.0,,
57379.0,,
57380.0,,
57381.0,,
57382.0,13.83,57382.4
57383.0,,
57384.0,13.86,57384.3
57385.0,,
57386.0,,
57387.0,14.11,57387.5
57388.0,13.985,57388.4
57389.0,13.956,57389.4
57390.0,,
57391.0,13.989,57391.4
57392.0,,
57393.0,,
57394.0,14.132,57394.4
57395.0,,
57396.0,14.026,57396.3
57397.0,,
57398.0,13.898,57398.3
57399.0,,
57400.0,,
57401.0,13.785,57401.3
57402.0,,
57403.0,13.872,57403.4
57404.0,,
57405.0,,
57406.0,,
57407.0,,
57408.0,,
57409.0,14.05,57409.3
57410.0,,
57411.0,13.868,57411.3
57412.0,,
57413.0,13.925,57413.4
57414.0,,
57415.0,13.847999999999999,57415.4
57416.0,14.057,57416.3
57417.0,,
57418.0,13.975999999999999,57418.3
57419.0,,
57420.0,13.83,57420.4
57421.0,,
57422.0,13.829,57422.4
57423.0,13.799000000000001,57423.3
57424.0,13.907,57424.3
57425.0,,
57426.0,,
57427.0,14.167,57427.3
57428.0,14.134,57428.3
57429.0,,
57430.0,,
57431.0,,
57432.0,,
57433.0,,
57434.0,,
57435.0,,
57436.0,,
57437.0,,
57438.0,,
57439.0,,
57440.0,,
57441.0,13.985,57441.3
57442.0,,
57443.0,13.924000000000001,57443.3
57444.0,,
57445.0,14.107000000000001,57445.3
57446.0,,
57447.0,13.798,57447.3
57448.0,13.841,57448.3
57449.0,13.859000000000002,57449.3
57450.0,13.929,57450.3
57451.0,14.095,57451.3
57452.0,14.077,57452.3
57453.0,14.040999999999999,57453.3
57454.0,,
57455.0,,
57456.0,,
57457.0,,
57458.0,14.113,57458.3
57459.0,,
