Wavelength,Flux
4363.5,0.78285
4390.5,0.7805
4417.5,0.7942
4444.5,0.8028
4471.5,0.7978
4498.5,0.802
4525.5,0.8158
4552.5,0.8143
4579.5,0.8242
4606.5,0.8255
4633.5,0.8306
4660.5,0.8397
4687.5,0.84975
4714.5,0.855
4741.5,0.8654
4768.5,0.864
4795.5,0.8663
4822.5,0.8704
4849.5,0.8799
4876.5,0.8954
4903.5,0.8964
4930.5,0.8915
4957.5,0.8987
4984.5,0.9023
5011.5,0.9119
5038.5,0.9221
5065.5,0.9225
5092.5,0.9221
5119.5,0.9335
5146.5,0.9394
5173.5,0.9463
5200.5,0.953
5227.5,0.9586
5254.5,0.9581
5281.5,0.9647
5308.5,0.9725
5335.5,0.971
5362.5,0.9773000000000001
5389.5,0.982
5416.5,0.9909
5443.5,0.9954
5470.5,0.9991
5497.5,1.0046
5524.5,1.0052
5551.5,1.0106
5578.5,1.0151
5605.5,1.0172
5632.5,1.0233
5659.5,1.0305
5686.5,1.03475
5713.5,1.0418
5740.5,1.0445
5767.5,1.0444
5794.5,1.0488
5821.5,1.0526
5848.5,1.0568
5875.5,1.057
5902.5,1.0624
5929.5,1.0667
5956.5,1.073
5983.5,1.0713
6010.5,1.076
6037.5,1.08235
6064.5,1.087
6091.5,1.0896
6118.5,1.0932
6145.5,1.0978
6172.5,1.1054
6199.5,1.1068
6226.5,1.1093
6253.5,1.112
6280.5,1.1159
6307.5,1.1205
6334.5,1.1232
6361.5,1.1265
6388.5,1.1336
6415.5,1.1397
6442.5,1.144
6469.5,1.1441
6496.5,1.15
6523.5,1.1541
6550.5,1.1554
6577.5,1.1649
6604.5,1.1612
6631.5,1.1629
6658.5,1.1696
6685.5,1.1747
6712.5,1.17695
6739.5,1.1847
6766.5,1.1897
6793.5,1.1914
6820.5,1.1915
6847.5,1.1968
6874.5,1.2057
6901.5,1.2154
6928.5,1.2111
6955.5,1.2133
6982.5,1.213
7009.5,1.2146
7036.5,1.2198
7063.5,1.2222
7090.5,1.2271
7117.5,1.2257
7144.5,1.23
7171.5,1.2359
7198.5,1.2379
7225.5,1.2335
7252.5,1.2422
7279.5,1.2388
7306.5,1.2402
7333.5,1.2443
7360.5,1.2463
7387.5,1.24735
7414.5,1.2489
7441.5,1.2488
7468.5,1.2454
7495.5,1.245
7522.5,1.2455
7549.5,1.2466
7576.5,1.2469
7603.5,1.2373
7630.5,1.2295
7657.5,1.231
7684.5,1.2253
7711.5,1.2201
7738.5,1.2321499999999999
7765.5,1.2246
7792.5,1.2276
7819.5,1.2266
7846.5,1.2235
7873.5,1.2193
7900.5,1.2155
7927.5,1.2201
7954.5,1.2157
7981.5,1.2067
8008.5,1.203
8035.5,1.2038
8062.5,1.19895
8089.5,1.1958
8116.5,1.1934
8143.5,1.1883
8170.5,1.1812
8197.5,1.18335
8224.5,1.1739
8251.5,1.17365
8278.5,1.1741
8305.5,1.16375
8332.5,1.1651
8359.5,1.16275
8386.5,1.1659
8413.5,1.1529666666666667
8440.5,1.1469
8467.5,1.1425
8494.5,1.1401
8521.5,1.1377
8548.5,1.1365500000000002
8575.5,1.1283
8602.5,1.1273
8629.5,1.1231
8656.5,1.12135
8683.5,1.1196
8710.5,1.11355
8737.5,1.1081
8764.5,1.1076
8791.5,1.1008499999999999
8818.5,1.1002
8845.5,1.1003
8872.5,1.0991
8899.5,1.09625
8926.5,1.097
8953.5,1.0932
8980.5,1.0897
