Modified Julian Day,Magnitude,mjd
50850.0,8.200091666666664,50853.21193250001
50857.0,8.188849999999999,50861.35846499982
50864.0,8.20127142857143,50867.65420428577
50871.0,8.202941176470588,50874.814367058854
50878.0,8.200241666666667,50881.57708833332
50885.0,8.1995,50889.055873749894
50892.0,8.207235294117647,50895.16811999999
50899.0,8.209388888888888,50902.61691222226
50906.0,8.20775238095238,50909.258283809584
50913.0,8.207014285714285,50916.24555285716
50920.0,8.20974,50923.38670899994
50927.0,8.1998125,50931.348218749976
50934.0,8.208707692307692,50936.01175076919
50941.0,8.201733333333333,50944.53827777774
50948.0,8.1964,50951.66633200003
50955.0,8.188533333333332,50958.762043333365
50962.0,8.197457142857143,50965.92926857142
50969.0,8.196171428571429,50971.06173285715
50976.0,,
50983.0,8.18055,50988.19666999974
50990.0,8.17705,50992.673244999954
50997.0,,
51004.0,,
51011.0,,
51018.0,,
51025.0,,
51032.0,,
51039.0,,
51046.0,,
51053.0,,
51060.0,,
51067.0,,
51074.0,,
51081.0,,
51088.0,,
51095.0,,
51102.0,,
51109.0,,
51116.0,,
51123.0,,
51130.0,,
51137.0,,
51144.0,,
51151.0,8.192833333333335,51154.87257666668
51158.0,8.190925,51161.152215000126
51165.0,8.1928,51169.39035875001
51172.0,8.198484615384615,51174.512741538514
51179.0,8.19522222222222,51182.16133888886
51186.0,8.190166666666668,51188.932935333374
51193.0,8.178923529411765,51195.984689411845
51200.0,8.169055555555556,51202.77080555555
51207.0,8.160718181818181,51210.32435636371
51214.0,8.163576923076922,51217.40773076926
51221.0,8.1653,51224.54975500008
51228.0,8.194166666666666,51231.442949999975
51235.0,8.179033333333333,51237.86136944444
51242.0,8.144820000000001,51247.508002000024
51249.0,8.170818181818182,51251.74911090918
51256.0,8.174373684210527,51259.207833157925
51263.0,8.162391666666666,51266.19156083333
51270.0,8.1562,51275.299019999955
51277.0,8.15471818181818,51280.348565454595
51284.0,8.16034,51287.137691500015
51291.0,8.164723529411763,51294.529252941196
51298.0,8.169621428571427,51301.65851571424
51305.0,8.172827777777778,51307.94899111104
51312.0,8.16682857142857,51315.226326190466
51319.0,8.171866666666666,51322.058537777826
51326.0,8.17445,51327.874321666626
51333.0,8.17486111111111,51336.11630833332
51340.0,8.19074,51341.013783999995
51347.0,8.174009999999999,51350.40642799996
51354.0,8.16856,51355.79379799999
51361.0,,
51368.0,,
51375.0,,
51382.0,,
51389.0,,
51396.0,,
51403.0,,
51410.0,,
51417.0,,
51424.0,,
51431.0,,
51438.0,,
51445.0,,
51452.0,,
51459.0,,
51466.0,,
51473.0,,
51480.0,,
51487.0,,
51494.0,,
51501.0,,
51508.0,,
51515.0,,
51522.0,,
51529.0,8.24475,51534.530399999814
51536.0,8.24225,51537.026784999995
51543.0,8.2397,51547.52605333319
51550.0,8.3147,51550.533330000006
51557.0,8.3216,51562.4829599997
51564.0,,
51571.0,,
51578.0,8.2285,51580.53763000015
51585.0,8.210149999999999,51587.99673000001
51592.0,,
51599.0,,
51606.0,8.2126,51607.54105999973
51613.0,8.24282,51618.31370000001
51620.0,8.263575,51622.66451749997
51627.0,8.239600000000001,51630.74184666667
51634.0,8.27994,51636.99932199996
51641.0,8.253833333333333,51646.38060666667
51648.0,8.278175,51651.84092250001
51655.0,8.286075,51658.354837500025
51662.0,8.23425,51664.83666250005
51669.0,8.304866666666667,51671.651363333374
51676.0,8.269566666666666,51679.27791333338
51683.0,8.2286,51683.79359499994
51690.0,8.3228,51694.30336999986
51697.0,,
51704.0,8.3526,51706.23629999999
51711.0,,
51718.0,,
51725.0,,
51732.0,,
51739.0,,
51746.0,,
51753.0,,
51760.0,,
51767.0,,
51774.0,,
51781.0,,
51788.0,,
51795.0,,
51802.0,,
51809.0,,
51816.0,,
51823.0,,
51830.0,,
51837.0,,
51844.0,,
51851.0,,
51858.0,,
51865.0,,
51872.0,,
51879.0,8.2332,51882.54416000005
51886.0,8.3939,51890.52854999993
