delta T(ms),flux(Jy)
-99.5,
-98.5,0.2936
-97.5,-0.0093
-96.5,0.6596
-95.5,0.7545
-94.5,-0.1019
-93.5,
-92.5,0.9356
-91.5,-1.3752
-90.5,0.3829
-89.5,0.2137
-88.5,0.4816
-87.5,0.2553
-86.5,
-85.5,0.3258
-84.5,0.3505
-83.5,1.353
-82.5,0.9968
-81.5,0.0925
-80.5,
-79.5,-0.1659
-78.5,-1.2807
-77.5,0.8467
-76.5,1.0534
-75.5,0.238
-74.5,0.1759
-73.5,
-72.5,1.1237
-71.5,-0.2994
-70.5,1.6424
-69.5,0.2
-68.5,-0.4802
-67.5,
-66.5,1.1206
-65.5,0.5997
-64.5,-1.078
-63.5,1.259
-62.5,0.2139
-61.5,
-60.5,0.2877
-59.5,-0.5209
-58.5,0.7913
-57.5,0.0031
-56.5,0.8098
-55.5,-0.7084
-54.5,
-53.5,1.8291
-52.5,1.7799
-51.5,0.8707
-50.5,0.776
-49.5,-0.0474
-48.5,
-47.5,-0.0702
-46.5,0.3247
-45.5,0.6602
-44.5,0.1944
-43.5,0.435
-42.5,0.1574
-41.5,
-40.5,1.0518
-39.5,0.2935
-38.5,-0.2454
-37.5,0.4779
-36.5,0.0034
-35.5,
-34.5,0.4497
-33.5,0.5885
-32.5,-0.7861
-31.5,0.1912
-30.5,-0.5965
-29.5,0.602
-28.5,
-27.5,-0.6451
-26.5,1.4371
-25.5,0.3298
-24.5,-1.1826
-23.5,1.0528
-22.5,
-21.5,0.9454
-20.5,-0.1285
-19.5,-0.0445
-18.5,0.6675
-17.5,0.1622
-16.5,
-15.5,0.2251
-14.5,-0.3101
-13.5,2.402
-12.5,0.1924
-11.5,2.2468
-10.5,2.524
-9.5,
-8.5,4.4562
-7.5,6.1257
-6.5,9.7084
-5.5,13.0877
-4.5,17.7475
-3.5,
-2.5,19.7417
-1.5,20.5941
-0.5,22.9096
0.5,23.5333
1.5,22.7346
2.5,19.7606
3.5,
4.5,15.7643
5.5,13.5313
6.5,10.7548
7.5,7.8945
8.5,5.9187
9.5,
10.5,3.2983
11.5,3.7137
12.5,3.102
13.5,2.5171
14.5,1.9566
15.5,1.8907
16.5,
17.5,0.5706
18.5,0.6016
19.5,0.6032
20.5,1.4483
21.5,0.9513
22.5,
23.5,0.8327
24.5,1.1443
25.5,-0.63
26.5,-0.0202
27.5,0.0329
28.5,
29.5,-0.0607
30.5,-0.8984
31.5,0.8467
32.5,-0.2655
33.5,-0.3557
34.5,-0.4892
35.5,
36.5,0.4586
37.5,-0.1805
38.5,0.1654
39.5,-0.9486
40.5,-0.9012
41.5,
42.5,-0.4734
43.5,-0.2022
44.5,-0.3581
45.5,-1.2535
46.5,-1.3495
47.5,0.6976
48.5,
49.5,-0.1005
50.5,-0.2246
51.5,-0.5531
52.5,0.581
53.5,0.3537
54.5,
55.5,-0.2143
56.5,-0.4093
57.5,-1.1266
58.5,-0.0166
59.5,-0.3325
60.5,0.0081
61.5,
62.5,-0.334
63.5,-0.1602
64.5,0.3379
65.5,-0.5114
66.5,-0.9256
67.5,
68.5,-0.2619
69.5,-0.5032
70.5,-0.5112
71.5,1.5401
72.5,-0.0473
73.5,
74.5,-0.5642
75.5,-1.3044
76.5,-0.9974
77.5,-1.084
78.5,0.2797
79.5,0.7887
80.5,
81.5,-0.0712
82.5,-0.7324
83.5,-0.331
84.5,0.0225
85.5,-0.1327
86.5,
87.5,-0.7208
88.5,-0.261
89.5,-0.8511
90.5,0.527
91.5,-0.2727
92.5,0.4125
93.5,
94.5,-1.553
95.5,-0.8206
96.5,0.5751
97.5,0.2497
98.5,-0.7807
