logDaysPostTrigger,Magnitude,DaysPostTrigger
-3.24,,0.00057544
-3.22,14.534,0.00060256
-3.2,,0.000630957
-3.18,,0.000660693
-3.16,16.039,0.000691831
-3.14,,0.000724436
-3.12,15.646,0.000758578
-3.1,,0.000794328
-3.08,,0.000831764
-3.06,15.942,0.000870964
-3.04,,0.000912011
-3.02,15.618,0.000954993
-3,,0.001
-2.98,15.191,0.001047129
-2.96,14.916,0.001096478
-2.94,,0.001148154
-2.92,14.859,0.001202264
-2.9,14.295,0.001258925
-2.88,,0.001318257
-2.86,13.944,0.001380384
-2.84,13.472,0.00144544
-2.82,13.309,0.001513561
-2.8,13.237,0.001584893
-2.78,13.179,0.001659587
-2.76,12.962,0.001737801
-2.74,,0.001819701
-2.72,12.79,0.001905461
-2.7,12.676,0.001995262
-2.68,12.741,0.002089296
-2.66,12.602,0.002187762
-2.64,12.663,0.002290868
-2.62,,0.002398833
-2.6,12.631,0.002511886
-2.58,12.482,0.002630268
-2.56,12.575,0.002754229
-2.54,12.568,0.002884032
-2.52,12.5945,0.003019952
-2.5,12.5795,0.003162278
-2.48,12.581,0.003311311
-2.46,12.6575,0.003467369
-2.44,12.606,0.003630781
-2.42,12.6365,0.003801894
-2.4,12.608,0.003981072
-2.38,12.704,0.004168694
-2.36,12.755,0.004365158
-2.34,12.811,0.004570882
-2.32,12.76866667,0.004786301
-2.3,12.883,0.005011872
-2.28,12.90466667,0.005248075
-2.26,13.01333333,0.005495409
-2.24,13.072,0.005754399
-2.22,13.165,0.006025596
-2.2,13.16125,0.006309573
-2.18,13.25975,0.006606934
-2.16,13.32466667,0.00691831
-2.14,13.391,0.00724436
-2.12,13.524,0.007585776
-2.1,,0.007943282
-2.08,13.622,0.008317638
-2.06,,0.008709636
-2.04,13.791,0.009120108
-2.02,,0.009549926
-2,13.998,0.01
-1.98,14.062,0.010471285
-1.96,,0.010964782
-1.94,,0.011481536
-1.92,,0.012022644
-1.9,,0.012589254
-1.88,,0.013182567
-1.86,,0.013803843
-1.84,,0.014454398
-1.82,,0.015135612
-1.8,,0.015848932
-1.78,,0.016595869
-1.76,,0.017378008
-1.74,,0.018197009
-1.72,,0.019054607
-1.7,,0.019952623
-1.68,,0.020892961
-1.66,,0.021877616
-1.64,,0.022908677
-1.62,,0.023988329
-1.6,,0.025118864
-1.58,,0.02630268
-1.56,,0.027542287
-1.54,,0.028840315
-1.52,,0.030199517
-1.5,,0.031622777
-1.48,,0.033113112
-1.46,,0.034673685
-1.44,,0.036307805
-1.42,,0.03801894
-1.4,,0.039810717
-1.38,,0.041686938
-1.36,,0.043651583
-1.34,,0.045708819
-1.32,15.298,0.047863009
-1.3,,0.050118723
-1.28,,0.052480746
-1.26,,0.054954087
-1.24,,0.057543994
-1.22,,0.060255959
-1.2,,0.063095734
-1.18,15.758,0.066069345
-1.16,,0.069183097
-1.14,,0.072443596
-1.12,,0.075857758
-1.1,,0.079432823
-1.08,,0.083176377
-1.06,16.478,0.087096359
-1.04,,0.091201084
-1.02,,0.095499259
-1,,0.1
-0.98,,0.104712855
-0.96,16.539,0.10964782
-0.94,,0.114815362
-0.92,16.739,0.120226443
-0.9,,0.125892541
-0.88,,0.131825674
-0.86,,0.138038426
-0.84,,0.144543977
-0.82,17.149,0.151356125
-0.8,,0.158489319
-0.78,,0.165958691
-0.76,,0.173780083
-0.74,,0.181970086
-0.72,,0.190546072
-0.7,,0.199526231
-0.68,,0.208929613
-0.66,,0.218776162
-0.64,,0.229086765
-0.62,,0.239883292
-0.6,,0.251188643
-0.58,,0.263026799
-0.56,,0.27542287
-0.54,,0.28840315
-0.52,,0.301995172
-0.5,,0.316227766
-0.48,,0.331131121
-0.46,,0.34673685
-0.44,,0.363078055
-0.42,,0.380189396
-0.4,,0.398107171
-0.38,,0.416869383
-0.36,18.279,0.436515832
-0.34,18.258,0.45708819
-0.32,18.298,0.478630092
-0.3,,0.501187234
-0.28,,0.52480746
-0.26,18.403,0.549540874
-0.24,18.4115,0.575439937
-0.22,,0.602559586
-0.2,,0.630957344
-0.18,,0.660693448
-0.16,,0.691830971
-0.14,,0.72443596
-0.12,,0.758577575
-0.1,18.693,0.794328235
