Phase,Magnitude
0.005,
0.015,7.526499999999999
0.025,
0.035,7.843500000000001
0.045,7.626499999999999
0.055,7.67
0.065,
0.07500000000000001,8.153
0.08499999999999999,
0.095,7.993666666666667
0.10500000000000001,8.384
0.11499999999999999,8.212
0.125,
0.135,8.838000000000001
0.14500000000000002,8.6345
0.155,8.6845
0.165,9.559
0.175,8.957
0.185,9.187
0.195,9.266
0.20500000000000002,9.316500000000001
0.215,10.289333333333333
0.225,9.551
0.235,10.227
0.245,
0.255,10.713666666666667
0.265,11.520499999999998
0.275,
0.28500000000000003,11.952
0.295,10.633000000000001
0.305,11.880749999999999
0.315,11.4374
0.325,11.898666666666665
0.335,
0.34500000000000003,12.105333333333334
0.355,12.711999999999998
0.365,11.497
0.375,
0.385,
0.395,12.452250000000001
0.405,12.600999999999999
0.41500000000000004,12.662666666666667
0.425,
0.435,12.325999999999999
0.445,12.691333333333333
0.455,12.259
0.465,12.652750000000001
0.475,12.729
0.485,12.681000000000001
0.495,12.7135
0.505,
0.515,12.685333333333334
0.525,12.664
0.535,
0.545,12.6286
0.555,12.6842
0.5650000000000001,12.61
0.575,12.600600000000002
0.585,12.305250000000001
0.595,12.729
0.605,12.74
0.615,12.689
0.625,12.746666666666668
0.635,12.77
0.645,12.696333333333333
0.655,11.9185
0.665,12.428
0.675,12.5245
0.685,12.78
0.6950000000000001,11.6395
0.7050000000000001,12.691
0.715,10.1265
0.725,9.997
0.735,11.098999999999998
0.745,10.1625
0.755,10.196
0.765,10.824
0.775,9.923
0.785,10.22425
0.795,10.77
0.805,9.8
0.8150000000000001,8.604
0.8250000000000001,8.709
0.835,8.936
0.845,8.6475
0.855,9.988
0.865,8.366666666666667
0.875,
0.885,8.19
0.895,7.841
0.905,8.0535
0.915,8.052666666666665
0.925,7.745333333333332
0.935,7.564
0.9450000000000001,7.62
0.9550000000000001,7.628749999999999
0.965,7.601666666666667
0.975,7.501666666666666
0.985,7.858
0.995,7.573666666666667
1.005,
1.015,7.526499999999999
1.025,
1.035,7.843500000000001
1.045,7.626499999999999
1.055,7.67
1.065,
1.075,8.153
1.085,
1.095,7.993666666666667
1.105,8.384
1.115,8.212
1.125,
1.135,8.838000000000001
1.145,8.6345
1.155,8.6845
1.165,9.559
1.175,8.957
1.185,9.187
1.195,9.266
1.205,9.316500000000001
1.215,10.289333333333333
1.225,9.551
1.2349999999999999,10.227
1.245,
1.255,10.713666666666667
1.2650000000000001,11.520499999999998
1.275,
1.2850000000000001,11.952
1.295,10.633000000000001
1.305,11.880749999999999
1.315,11.4374
1.325,11.898666666666665
1.335,
1.345,12.105333333333334
1.355,12.711999999999998
1.365,11.497
1.375,
1.385,
1.395,12.452250000000001
1.405,12.600999999999999
1.415,12.662666666666667
1.425,
1.435,12.325999999999999
1.445,12.691333333333333
1.455,12.259
1.465,12.652750000000001
1.475,12.729
1.4849999999999999,12.681000000000001
1.495,12.7135
1.505,
1.5150000000000001,12.685333333333334
1.525,12.664
1.5350000000000001,
1.545,12.6286
1.5550000000000002,12.6842
1.565,12.61
1.575,12.600600000000002
1.585,12.305250000000001
1.595,12.729
1.605,12.74
1.615,12.689
1.625,12.746666666666668
1.635,12.77
1.645,12.696333333333333
1.655,11.9185
1.665,12.428
1.675,12.5245
1.685,12.78
1.695,11.6395
1.705,12.691
1.7149999999999999,10.1265
1.725,9.997
1.7349999999999999,11.098999999999998
1.745,10.1625
1.755,10.196
1.7650000000000001,10.824
1.775,9.923
1.7850000000000001,10.22425
1.795,10.77
1.8050000000000002,9.8
1.815,8.604
1.8250000000000002,8.709
1.835,8.936
1.845,8.6475
1.855,9.988
1.865,8.366666666666667
1.875,
1.885,8.19
1.895,7.841
1.905,8.0535
1.915,8.052666666666665
1.925,7.745333333333332
1.935,7.564
1.945,7.62
1.955,7.628749999999999
1.9649999999999999,7.601666666666667
1.975,7.501666666666666
1.9849999999999999,7.858
1.995,7.573666666666667
