Modified Julian Day,Magnitude,mjd
56348.0,8.872,56348.60154000018
56353.0,8.315,56357.5354299997
56358.0,8.187999999999999,56358.54004000034
56363.0,,
56368.0,,
56373.0,,
56378.0,,
56383.0,,
56388.0,,
56393.0,,
56398.0,,
56403.0,8.099,56405.42602999973
56408.0,8.383,56411.544040000066
56413.0,,
56418.0,,
56423.0,,
56428.0,,
56433.0,,
56438.0,,
56443.0,,
56448.0,,
56453.0,,
56458.0,,
56463.0,10.912,56464.32131000003
56468.0,,
56473.0,11.709,56476.29930000008
56478.0,,
56483.0,11.684,56486.28694000003
56488.0,11.832,56490.29094999983
56493.0,,
56498.0,,
56503.0,,
56508.0,12.704,56511.25934000034
56513.0,,
56518.0,12.144,56519.238750000026
56523.0,,
56528.0,,
56533.0,,
56538.0,,
56543.0,,
56548.0,,
56553.0,,
56558.0,,
56563.0,,
56568.0,,
56573.0,,
56578.0,,
56583.0,,
56588.0,,
56593.0,,
56598.0,,
56603.0,,
56608.0,,
56613.0,,
56618.0,,
56623.0,,
56628.0,,
56633.0,,
56638.0,,
56643.0,,
56648.0,,
56653.0,,
56658.0,,
56663.0,,
56668.0,,
56673.0,10.9685,56676.016910000006
56678.0,11.357,56682.023959999904
56683.0,,
56688.0,,
56693.0,,
56698.0,12.72,56700.46359000028
56703.0,,
56708.0,,
56713.0,,
56718.0,,
56723.0,,
56728.0,,
56733.0,12.5705,56735.88279499998
56738.0,12.165,56740.88477500016
56743.0,,
56748.0,12.744000000000002,56751.32175999973
56753.0,11.907,56756.82856499986
56758.0,12.765,56758.299320000224
56763.0,,
56768.0,,
56773.0,10.055,56777.568509999655
56778.0,9.809,56778.43955999985
56783.0,9.334,56787.413929999806
56788.0,,
56793.0,8.936,56797.48622999992
56798.0,8.757,56800.47887000023
56803.0,8.597000000000001,56803.475039999925
56808.0,7.927,56812.36248000013
56813.0,7.7524999999999995,56816.9460750001
56818.0,7.709,56818.43451000005
56823.0,7.576333333333333,56826.0758599999
56828.0,7.560333333333333,56830.06221666668
56833.0,,
56838.0,,
56843.0,,
56848.0,,
56853.0,8.053,56855.79211999988
56858.0,,
56863.0,8.581,56865.78221500013
56868.0,8.651,56868.27361000003
56873.0,,
56878.0,,
56883.0,,
56888.0,,
56893.0,,
56898.0,,
56903.0,,
56908.0,,
56913.0,,
56918.0,,
56923.0,,
56928.0,,
56933.0,,
56938.0,,
56943.0,,
56948.0,,
56953.0,,
56958.0,,
56963.0,,
56968.0,,
56973.0,,
56978.0,,
56983.0,,
56988.0,,
56993.0,10.055,56993.65824000025
56998.0,,
57003.0,,
57008.0,9.233,57008.641849999774
57013.0,,
57018.0,,
57023.0,8.538,57023.617579999845
57028.0,8.19,57031.60146000003
57033.0,7.923999999999999,57036.57267999974
57038.0,7.785666666666667,57040.60939999996
57043.0,7.612,57045.57937000017
57048.0,7.664,57049.577579999815
57053.0,7.687499999999999,57054.57175000012
57058.0,7.6,57061.54163999995
57063.0,,
57068.0,7.65,57069.01945500006
57073.0,7.875,57077.52703
57078.0,8.087,57080.48141000001
57083.0,8.165,57083.4715499999
57088.0,,
57093.0,8.805,57096.40491000004
57098.0,8.969,57100.50363249984
57103.0,9.573,57105.42947999992
57108.0,9.629999999999999,57109.40557499998
57113.0,9.963,57114.39610999963
57118.0,10.24,57122.43744000001
57123.0,10.55,57126.5355
57128.0,10.892,57130.43569000019
57133.0,12.746,57137.289290000226
57138.0,11.497,57138.35112999985
57143.0,,
57148.0,12.78,57149.32814999996
57153.0,12.6875,57154.894019999774
57158.0,12.761,57160.43828999996
57163.0,12.742,57165.8533249998
57168.0,12.765,57171.41277000029
57173.0,,
57178.0,12.7405,57179.874360000016
57183.0,12.748999999999999,57184.338989999844
57188.0,12.746500000000001,57189.860120000085
57193.0,12.751000000000001,57195.36748500005
57198.0,,
57203.0,12.749,57206.36110999994
57208.0,12.572,57209.32403000002
57213.0,,
57218.0,10.981,57222.306650000166
57223.0,,
57228.0,10.405,57228.26294000028
57233.0,9.8,57237.2655199999
57238.0,,
57243.0,,
57248.0,,
57253.0,,
57258.0,,
57263.0,,
57268.0,,
57273.0,,
57278.0,,
57283.0,,
57288.0,,
57293.0,,
57298.0,,
57303.0,,
57308.0,,
57313.0,,
57318.0,,
57323.0,,
57328.0,,
57333.0,,
57338.0,,
57343.0,,
57348.0,,
57353.0,,
57358.0,,
57363.0,,
57368.0,12.686,57369.64592000004
57373.0,,
57378.0,12.671,57379.625719999894
57383.0,12.701,57387.62555
57388.0,12.672,57391.59352999973
57393.0,12.694,57395.61822000006
57398.0,12.6685,57400.073115000036
57403.0,12.704,57403.603300000075
57408.0,12.683333333333335,57409.890720000025
57413.0,12.722999999999999,57415.07096499996
57418.0,12.757000000000001,57421.11162999995
57423.0,12.748,57424.56385000004
57428.0,12.168,57428.54657000023
57433.0,10.622,57436.47383000003
57438.0,10.0975,57440.966159999836
57443.0,9.539,57445.53939999989
57448.0,9.2345,57450.457720000064
57453.0,,
57458.0,8.604,57462.52685999963
57463.0,8.546,57465.400580000125
57468.0,,
57473.0,,
57478.0,7.7355,57480.97699000011
57483.0,,
57488.0,7.344999999999999,57490.46805000003
57493.0,,
57498.0,7.423500000000001,57500.484299999895
57503.0,7.4529999999999985,57506.436790000174
