Phase,Magnitude
0.005,14.503952026367188
0.015,
0.025,
0.035,14.512227058410645
0.045,
0.055,14.536535739898682
0.065,14.548526763916016
0.07500000000000001,
0.08499999999999999,
0.095,
0.10500000000000001,
0.11499999999999999,14.627740859985352
0.125,14.664766947428385
0.135,
0.14500000000000002,
0.155,
0.165,14.803525447845459
0.175,14.87584400177002
0.185,14.87933349609375
0.195,14.962790489196776
0.20500000000000002,14.975763320922852
0.215,15.006776332855225
0.225,15.073765754699707
0.235,15.10619306564331
0.245,15.148858070373535
0.255,15.193171501159668
0.265,15.259160041809082
0.275,15.310226440429688
0.28500000000000003,15.34082825978597
0.295,15.368971347808838
0.305,15.427605946858725
0.315,15.480476379394531
0.325,15.549755096435547
0.335,15.570561408996582
0.34500000000000003,
0.355,15.635023593902588
0.365,15.685996532440186
0.375,15.712658246358236
0.385,
0.395,15.782255172729492
0.405,
0.41500000000000004,
0.425,
0.435,15.839995861053467
0.445,15.826571941375732
0.455,
0.465,15.84615421295166
0.475,
0.485,
0.495,
0.505,
0.515,15.858733177185059
0.525,
0.535,
0.545,15.83188533782959
0.555,15.863265037536621
0.5650000000000001,15.825766563415527
0.575,15.79307746887207
0.585,15.796623706817627
0.595,15.757766723632812
0.605,
0.615,15.734390576680502
0.625,15.68708324432373
0.635,15.665410041809082
0.645,
0.655,15.583280245463053
0.665,15.549015998840332
0.675,15.52154016494751
0.685,15.491390228271484
0.6950000000000001,15.424413204193115
0.7050000000000001,15.387275934219359
0.715,15.344159126281738
0.725,15.28482437133789
0.735,15.2444429397583
0.745,
0.755,15.128568649291992
0.765,15.08525562286377
0.775,15.044633388519287
0.785,
0.795,
0.805,14.92155933380127
0.8150000000000001,
0.8250000000000001,14.855720520019533
0.835,14.81635570526123
0.845,14.774009227752686
0.855,
0.865,14.655401706695557
0.875,14.679937362670898
0.885,
0.895,14.601730664571127
0.905,14.598381996154785
0.915,14.589141527811686
0.925,14.547566890716553
0.935,14.534454345703125
0.9450000000000001,
0.9550000000000001,14.514000256856283
0.965,14.505628108978271
0.975,
0.985,14.481513023376465
0.995,14.483772277832031
1.005,14.503952026367188
1.015,
1.025,
1.035,14.512227058410645
1.045,
1.055,14.536535739898682
1.065,14.548526763916016
1.075,
1.085,
1.095,
1.105,
1.115,14.627740859985352
1.125,14.664766947428385
1.135,
1.145,
1.155,
1.165,14.803525447845459
1.175,14.87584400177002
1.185,14.87933349609375
1.195,14.962790489196776
1.205,14.975763320922852
1.215,15.006776332855225
1.225,15.073765754699707
1.2349999999999999,15.10619306564331
1.245,15.148858070373535
1.255,15.193171501159668
1.2650000000000001,15.259160041809082
1.275,15.310226440429688
1.2850000000000001,15.34082825978597
1.295,15.368971347808838
1.305,15.427605946858725
1.315,15.480476379394531
1.325,15.549755096435547
1.335,15.570561408996582
1.345,
1.355,15.635023593902588
1.365,15.685996532440186
1.375,15.712658246358236
1.385,
1.395,15.782255172729492
1.405,
1.415,
1.425,
1.435,15.839995861053467
1.445,15.826571941375732
1.455,
1.465,15.84615421295166
1.475,
1.4849999999999999,
1.495,
1.505,
1.5150000000000001,15.858733177185059
1.525,
1.5350000000000001,
1.545,15.83188533782959
1.5550000000000002,15.863265037536621
1.565,15.825766563415527
1.575,15.79307746887207
1.585,15.796623706817627
1.595,15.757766723632812
1.605,
1.615,15.734390576680502
1.625,15.68708324432373
1.635,15.665410041809082
1.645,
1.655,15.583280245463053
1.665,15.549015998840332
1.675,15.52154016494751
1.685,15.491390228271484
1.695,15.424413204193115
1.705,15.387275934219359
1.7149999999999999,15.344159126281738
1.725,15.28482437133789
1.7349999999999999,15.2444429397583
1.745,
1.755,15.128568649291992
1.7650000000000001,15.08525562286377
1.775,15.044633388519287
1.7850000000000001,
1.795,
1.8050000000000002,14.92155933380127
1.815,
1.8250000000000002,14.855720520019533
1.835,14.81635570526123
1.845,14.774009227752686
1.855,
1.865,14.655401706695557
1.875,14.679937362670898
1.885,
1.895,14.601730664571127
1.905,14.598381996154785
1.915,14.589141527811686
1.925,14.547566890716553
1.935,14.534454345703125
1.945,
1.955,14.514000256856283
1.9649999999999999,14.505628108978271
1.975,
1.9849999999999999,14.481513023376465
1.995,14.483772277832031
