Modified Julian Day,Magnitude,mjd
58215.0,15.682716369628904,58215.2349421
58216.0,14.92155933380127,58216.2337153
58217.0,15.158194541931152,58217.2513889
58218.0,15.435082626342773,58218.27185648
58219.0,14.639887491861979,58219.23753856667
58220.0,,
58221.0,14.482102394104004,58221.25148725
58222.0,,
58223.0,,
58224.0,15.393723169962565,58224.23952929999
58225.0,,
58226.0,14.84535026550293,58226.2626273
58227.0,15.72847032546997,58227.257870350004
58228.0,,
58229.0,,
58230.0,,
58231.0,15.633661270141602,58231.2305208
58232.0,,
58233.0,14.978759765625,58233.19568865001
58234.0,,
58235.0,,
58236.0,,
58237.0,,
58238.0,,
58239.0,,
58240.0,,
58241.0,,
58242.0,14.806801795959473,58242.263431750005
58243.0,15.834280014038086,58243.182210599996
58244.0,14.511630058288574,58244.180358800004
58245.0,15.839995861053467,58245.1795428
58246.0,14.625360488891602,58246.2212847
58247.0,15.55989933013916,58247.23767359999
58248.0,15.046699523925781,58248.2427662
58249.0,14.975600242614744,58249.23817130001
58250.0,15.651527404785154,58250.222893499995
58251.0,,
58252.0,,
58253.0,,
58254.0,15.710203647613525,58254.19904515
58255.0,14.81635570526123,58255.2434954
58256.0,15.29889965057373,58256.26421875
58257.0,15.394641876220701,58257.23961225
58258.0,14.66867733001709,58258.2029861
58259.0,,
58260.0,14.49380874633789,58260.20135419999
58261.0,,
58262.0,,
58263.0,,
58264.0,,
58265.0,,
58266.0,15.679363250732422,58266.255706050004
58267.0,,
58268.0,,
58269.0,14.586663246154785,58269.177094900006
58270.0,,
58271.0,,
58272.0,,
58273.0,,
58274.0,,
58275.0,,
58276.0,,
58277.0,15.82367706298828,58277.2619907
58278.0,14.679937362670898,58278.2470023
58279.0,15.30048656463623,58279.1821065
58280.0,15.335240364074707,58280.1763657
58281.0,14.79403591156006,58281.2038194
58282.0,15.757288932800293,58282.20314815
58283.0,14.512227058410645,58283.2033449
58284.0,15.84615421295166,58284.1969329
58285.0,,
58286.0,,
58287.0,,
58288.0,15.082772254943848,58288.247141199994
58289.0,,
58290.0,,
58291.0,15.83188533782959,58291.2494676
58292.0,,
58293.0,,
58294.0,14.771093368530273,58294.2349074
58295.0,,
58296.0,,
58297.0,14.806462287902832,58297.2550347
58298.0,,
58299.0,,
58300.0,15.829466819763185,58300.1832523
58301.0,,
58302.0,,
58303.0,,
58304.0,,
58305.0,,
58306.0,14.52843189239502,58306.174791699996
58307.0,,
58308.0,,
58309.0,,
58310.0,,
58311.0,,
58312.0,,
58313.0,,
58314.0,15.848043441772461,58314.174386599996
58315.0,,
58316.0,,
58317.0,,
58318.0,,
58319.0,,
58320.0,,
58321.0,,
58322.0,,
