Modified Julian Day,Magnitude,mjd
57103.0,12.6295,57104.6314650001
57108.0,12.642,57111.12411000021
57113.0,12.632,57114.60417000018
57118.0,12.671,57118.58660999965
57123.0,,
57128.0,12.664000000000001,57132.597130000126
57133.0,12.666,57136.567425000016
57138.0,,
57143.0,,
57148.0,12.628,57149.57789999992
57153.0,12.618,57155.52645999985
57158.0,12.61,57162.54483000003
57163.0,,
57168.0,12.620000000000001,57171.941885000095
57173.0,,
57178.0,12.633,57179.52786000003
57183.0,12.683,57183.578089999966
57188.0,12.718,57191.01591500011
57193.0,12.731,57196.38387000002
57198.0,12.729000000000001,57201.36104999995
57203.0,12.737,57203.34739000024
57208.0,12.7015,57209.95883499971
57213.0,12.689,57215.44458999997
57218.0,12.561,57222.42064000014
57223.0,12.527999999999999,57227.41128000012
57228.0,,
57233.0,12.4815,57236.40927499998
57238.0,12.462,57241.80610499997
57243.0,12.496500000000001,57244.9697850002
57248.0,12.502,57251.4060800001
57253.0,,
57258.0,,
57263.0,12.529,57264.38785000006
57268.0,12.505333333333333,57271.325123333525
57273.0,12.47,57275.42210000008
57278.0,,
57283.0,,
57288.0,12.527000000000001,57290.37580999965
57293.0,12.5605,57296.80172999995
57298.0,,
57303.0,12.615,57304.33610000019
57308.0,12.657,57309.28918999992
57313.0,,
57318.0,,
57323.0,12.752,57327.26454999996
57328.0,12.751,57332.26101000002
57333.0,,
57338.0,,
57343.0,12.74,57344.21474999981
57348.0,,
57353.0,,
57358.0,,
57363.0,,
57368.0,,
57373.0,,
57378.0,,
57383.0,,
57388.0,,
57393.0,,
57398.0,,
57403.0,,
57408.0,,
57413.0,,
57418.0,,
57423.0,,
57428.0,,
57433.0,,
57438.0,,
57443.0,,
57448.0,,
57453.0,12.618333333333332,57455.64684000006
57458.0,12.552,57458.637540000025
57463.0,12.421,57465.13459499972
57468.0,12.388,57469.62039000029
57473.0,12.405,57474.62555
57478.0,12.425,57480.59324999992
57483.0,12.437999999999999,57483.59791000001
57488.0,12.500499999999999,57489.58904500003
57493.0,,
57498.0,12.597000000000001,57499.54275000002
57503.0,12.62,57503.581970000174
57508.0,12.6765,57510.056354999775
57513.0,,
57518.0,12.693,57521.58951999992
57523.0,12.669,57527.467170000076
57528.0,12.667,57530.58291999996
57533.0,,
57538.0,12.661,57538.56259999983
57543.0,12.675,57546.486120000016
57548.0,12.712,57550.423140000086
57553.0,,
57558.0,12.741,57560.02771000005
57563.0,,
57568.0,,
57573.0,12.745,57574.47990999976
57578.0,,
57583.0,12.776,57585.371619999874
57588.0,,
57593.0,12.802999999999999,57595.54510000022
57598.0,12.819500000000001,57601.844160000095
57603.0,12.809,57604.4306566664
57608.0,12.815666666666667,57610.13339666665
57613.0,12.817499999999999,57615.37132499996
57618.0,12.825,57619.92270500003
57623.0,12.841999999999999,57625.89252999984
57628.0,,
57633.0,12.869,57635.40889500012
57638.0,,
57643.0,12.927999999999999,57643.32581999991
57648.0,12.965,57650.33277000021
57653.0,12.965,57656.37859999994
57658.0,12.949000000000002,57659.38609999977
57663.0,12.915999999999999,57667.34361999994
57668.0,,
57673.0,12.804,57675.30452000024
57678.0,12.741,57680.30713000009
57683.0,12.675,57686.28274000017
57688.0,12.6665,57689.78136000014
57693.0,12.6115,57695.75591499987
57698.0,12.588,57702.1925499998
57703.0,12.562000000000001,57705.21869000001
57708.0,12.534,57710.21365999989
57713.0,,
57718.0,,
57723.0,,
57728.0,,
57733.0,,
57738.0,,
57743.0,,
57748.0,,
57753.0,,
57758.0,,
57763.0,,
57768.0,,
57773.0,,
57778.0,,
57783.0,,
57788.0,,
57793.0,,
57798.0,,
57803.0,,
57808.0,,
57813.0,12.76,57817.15924499999
57818.0,12.764000000000001,57819.652100000065
57823.0,12.8275,57825.634274999844
57828.0,12.857000000000001,57829.63534000004
57833.0,,
57838.0,12.889000000000001,57838.613959999755
57843.0,12.9305,57846.09365000017
57848.0,12.944,57851.57606999995
57853.0,,
57858.0,12.935,57859.59425000008
57863.0,,
57868.0,12.975999999999999,57869.57547000004
57873.0,,
57878.0,13.011,57879.50318
57883.0,12.982999999999999,57884.49723999994
57888.0,12.969000000000001,57890.57661999995
57893.0,12.958,57893.50511999987
57898.0,12.89,57899.57255999977
57903.0,12.84,57903.43757000007
57908.0,12.748,57910.42599000037
57913.0,12.722000000000001,57913.47910000011
57918.0,12.694,57920.522869999986
57923.0,12.662500000000001,57925.944119999884
57928.0,12.669,57929.54021999985
57933.0,12.677,57937.36465999996
57938.0,12.722,57940.11899333323
57943.0,12.749,57945.46890999982
57948.0,,
57953.0,,
57958.0,12.863,57959.5040099998
57963.0,12.886,57964.33181999996
57968.0,12.907,57970.38162499992
57973.0,12.925999999999998,57975.474140000064
57978.0,12.9375,57979.440235000104
57983.0,12.923,57983.43985999981
57988.0,12.902999999999999,57989.84906000015
57993.0,12.873,57996.406870000064
57998.0,12.877,58000.27504999982
58003.0,12.866,58003.393579999916
58008.0,12.8635,58009.34429499996
58013.0,12.865,58016.391264999984
58018.0,12.863,58020.38165000011
58023.0,12.880999999999998,58024.376350000035
58028.0,12.886,58029.308929999825
58033.0,12.9455,58036.81156000006
58038.0,,
58043.0,,
58048.0,,
58053.0,,
58058.0,,
58063.0,,
58068.0,,
58073.0,13.050999999999998,58075.21394000016
58078.0,13.082,58079.201820000075
58083.0,,
58088.0,,
58093.0,,
58098.0,,
58103.0,,
58108.0,,
58113.0,,
58118.0,,
58123.0,,
58128.0,,
58133.0,,
58138.0,,
58143.0,,
58148.0,,
58153.0,,
58158.0,,
58163.0,,
58168.0,,
58173.0,,
58178.0,,
58183.0,12.834000000000001,58184.65198000008
58188.0,,
58193.0,,
58198.0,,
58203.0,12.915,58207.607729999814
58208.0,,
58213.0,,
58218.0,,
58223.0,,
58228.0,,
58233.0,,
58238.0,,
58243.0,,
58248.0,,
58253.0,12.972999999999999,58257.50847000023
58258.0,,
58263.0,,
58268.0,,
58273.0,13.1035,58276.535390000325
58278.0,13.110999999999999,58279.478640000336
58283.0,13.133,58284.49946000008
58288.0,13.12,58291.474489999935
58293.0,13.147,58294.359629999846
58298.0,13.132,58298.47667999985
58303.0,13.132,58306.560329999775
58308.0,,
58313.0,13.118,58316.502400000114
58318.0,,
58323.0,,
58328.0,13.11,58332.37704999978
58333.0,13.106,58335.48620999977
58338.0,,
58343.0,13.086,58345.969225000124
58348.0,,
58353.0,,
58358.0,13.015,58361.454140000045
58363.0,,
58368.0,12.875,58371.3840900003
58373.0,12.824000000000002,58376.39963999996
58378.0,12.782,58378.278029999696
58383.0,12.737,58383.36807999993
