Wavelength,Flux
3795.0,
3805.0,
3815.0,9.8775e-13
3825.0,7.78703e-13
3835.0,9.75011e-13
3845.0,1.10959e-12
3855.0,8.61342e-13
3865.0,5.4973e-13
3875.0,9.63579e-13
3885.0,8.55136e-13
3895.0,1.1817700000000001e-12
3905.0,9.60966e-13
3915.0,1.1278799999999998e-12
3925.0,9.88077e-13
3935.0,1.8768599999999997e-12
3945.0,1.36534e-12
3955.0,1.26082e-12
3965.0,9.04784e-13
3975.0,2.88747e-12
3985.0,1.9706e-12
3995.0,1.89482e-12
4005.0,1.92716e-12
4015.0,2.11726e-12
4025.0,2.01306e-12
4035.0,1.51527e-12
4045.0,1.84517e-12
4055.0,1.94447e-12
4065.0,1.83178e-12
4075.0,1.561e-12
4085.0,1.5116799999999999e-12
4095.0,1.47019e-12
4105.0,1.84615e-12
4115.0,1.44145e-12
4125.0,1.3584799999999999e-12
4135.0,1.43884e-12
4145.0,1.5100399999999999e-12
4155.0,1.54238e-12
4165.0,1.61653e-12
4175.0,1.59595e-12
4185.0,1.51984e-12
4195.0,1.5123299999999999e-12
4205.0,1.40617e-12
4215.0,1.26768e-12
4225.0,7.58124e-13
4235.0,5.04328e-13
4245.0,1.0325e-12
4255.0,1.02564e-12
4265.0,1.03348e-12
4275.0,1.22358e-12
4285.0,1.42022e-12
4295.0,1.36371e-12
4305.0,1.47183e-12
4315.0,1.46301e-12
4325.0,1.63188e-12
4335.0,1.89253e-12
4345.0,2.8920400000000003e-12
4355.0,2.06892e-12
4365.0,1.72105e-12
4375.0,2e-12
4385.0,2.05553e-12
4395.0,2.19173e-12
4405.0,2.26621e-12
4415.0,2.6356299999999997e-12
4425.0,2.7822900000000003e-12
4435.0,2.86003e-12
4445.0,3.53095e-12
4455.0,3.6714e-12
4465.0,3.58974e-12
4475.0,4.01437e-12
4485.0,4.38347e-12
4495.0,4.70684e-12
4505.0,5.02694e-12
4515.0,4.68071e-12
4525.0,5.0661400000000005e-12
4535.0,5.42217e-12
4545.0,6.09505e-12
4555.0,5.50383e-12
4565.0,6.66013e-12
4575.0,7.623710000000001e-12
4585.0,6.9933e-12
4595.0,5.29805e-12
4605.0,6.1113800000000006e-12
4615.0,7.00963e-12
4625.0,8.21492e-12
4635.0,5.63122e-12
4645.0,6.07871e-12
4655.0,6.52947e-12
4665.0,7.7119e-12
4675.0,5.7422800000000004e-12
4685.0,5.441769999999999e-12
4695.0,6.56214e-12
4705.0,7.50285e-12
4715.0,7.17948e-12
4725.0,6.676460000000001e-12
4735.0,7.63024e-12
4745.0,7.99934e-12
4755.0,9.00212e-12
4765.0,6.12118e-12
4775.0,4.16789e-12
4785.0,5.15433e-12
4795.0,6.33023e-12
4805.0,6.88551e-12
4815.0,4.57292e-12
4825.0,5.69655e-12
4835.0,6.46741e-12
4845.0,6.8822399999999996e-12
4855.0,5.78801e-12
4865.0,7.00963e-12
4875.0,6.36289e-12
4885.0,7.14682e-12
4895.0,7.84255e-12
4905.0,8.4207e-12
4915.0,1.00931e-11
4925.0,1.11416e-11
4935.0,1.24057e-11
4945.0,1.3366000000000001e-11
4955.0,1.41075e-11
4965.0,4.8701599999999995e-12
4975.0,6.51314e-12
4985.0,7.43099e-12
4995.0,8.972719999999999e-12
5005.0,6.98677e-12
5015.0,6.49028e-12
5025.0,7.12069e-12
