Phase,Magnitude
0.005,16.761314392089847
0.015,16.784929275512695
0.025,16.804119110107422
0.035,16.78477668762207
0.045,16.79838466644287
0.055,16.786470413208008
0.065,
0.07500000000000001,16.78340721130371
0.08499999999999999,16.817070960998535
0.095,16.807003021240234
0.10500000000000001,16.808307647705078
0.11499999999999999,16.811250686645508
0.125,
0.135,16.79452896118164
0.14500000000000002,16.788076400756836
0.155,16.775604248046875
0.165,16.768150329589847
0.175,16.771672248840332
0.185,
0.195,16.752566655476887
0.20500000000000002,16.74571132659912
0.215,16.77825927734375
0.225,16.771376927693684
0.235,
0.245,16.787556648254395
0.255,16.72347640991211
0.265,16.745159149169922
0.275,16.737918853759766
0.28500000000000003,16.72476577758789
0.295,
0.305,16.745783805847168
0.315,16.78030840555827
0.325,16.804434776306152
0.335,
0.34500000000000003,
0.355,16.833730697631836
0.365,16.84155464172363
0.375,16.802072525024414
0.385,16.776079177856445
0.395,
0.405,16.645339965820312
0.41500000000000004,16.325364112854004
0.425,16.174924850463867
0.435,16.003589630126953
0.445,15.707293510437012
0.455,15.721662839253744
0.465,15.413342475891113
0.475,
0.485,15.389223098754883
0.495,
0.505,15.386390686035154
0.515,15.467552185058594
0.525,15.504562139511108
0.535,15.533509254455566
0.545,15.584587415059408
0.555,15.638550519943237
0.5650000000000001,15.66955828666687
0.575,15.720569928487143
0.585,15.761985301971436
0.595,15.781472524007162
0.605,
0.615,15.845733642578125
0.625,15.912330309549967
0.635,15.991694450378418
0.645,15.960918108622232
0.655,16.015431880950928
0.665,16.057228088378906
0.675,16.077587400163925
0.685,16.115942001342773
0.6950000000000001,
0.7050000000000001,
0.715,
0.725,16.239224751790363
0.735,16.241584142049152
0.745,16.272738933563232
0.755,16.296171188354492
0.765,16.322364807128906
0.775,16.368156051635744
0.785,16.389347076416016
0.795,
0.805,16.460289001464847
0.8150000000000001,16.431209564208984
0.8250000000000001,16.467206954956055
0.835,16.48034922281901
0.845,16.484138488769528
0.855,16.50697353907994
0.865,16.512229919433594
0.875,16.558357238769528
0.885,
0.895,16.58891232808431
0.905,16.606388568878174
0.915,16.629596710205078
0.925,
0.935,
0.9450000000000001,16.694679260253903
0.9550000000000001,16.659162521362305
0.965,16.710742950439453
0.975,
0.985,16.733343124389652
0.995,16.736562728881836
1.005,16.761314392089847
1.015,16.784929275512695
1.025,16.804119110107422
1.035,16.78477668762207
1.045,16.79838466644287
1.055,16.786470413208008
1.065,
1.075,16.78340721130371
1.085,16.817070960998535
1.095,16.807003021240234
1.105,16.808307647705078
1.115,16.811250686645508
1.125,
1.135,16.79452896118164
1.145,16.788076400756836
1.155,16.775604248046875
1.165,16.768150329589847
1.175,16.771672248840332
1.185,
1.195,16.752566655476887
1.205,16.74571132659912
1.215,16.77825927734375
1.225,16.771376927693684
1.2349999999999999,
1.245,16.787556648254395
1.255,16.72347640991211
1.2650000000000001,16.745159149169922
1.275,16.737918853759766
1.2850000000000001,16.72476577758789
1.295,
1.305,16.745783805847168
1.315,16.78030840555827
1.325,16.804434776306152
1.335,
1.345,
1.355,16.833730697631836
1.365,16.84155464172363
1.375,16.802072525024414
1.385,16.776079177856445
1.395,
1.405,16.645339965820312
1.415,16.325364112854004
1.425,16.174924850463867
1.435,16.003589630126953
1.445,15.707293510437012
1.455,15.721662839253744
1.465,15.413342475891113
1.475,
1.4849999999999999,15.389223098754883
1.495,
1.505,15.386390686035154
1.5150000000000001,15.467552185058594
1.525,15.504562139511108
1.5350000000000001,15.533509254455566
1.545,15.584587415059408
1.5550000000000002,15.638550519943237
1.565,15.66955828666687
1.575,15.720569928487143
1.585,15.761985301971436
1.595,15.781472524007162
1.605,
1.615,15.845733642578125
1.625,15.912330309549967
1.635,15.991694450378418
1.645,15.960918108622232
1.655,16.015431880950928
1.665,16.057228088378906
1.675,16.077587400163925
1.685,16.115942001342773
1.695,
1.705,
1.7149999999999999,
1.725,16.239224751790363
1.7349999999999999,16.241584142049152
1.745,16.272738933563232
1.755,16.296171188354492
1.7650000000000001,16.322364807128906
1.775,16.368156051635744
1.7850000000000001,16.389347076416016
1.795,
1.8050000000000002,16.460289001464847
1.815,16.431209564208984
1.8250000000000002,16.467206954956055
1.835,16.48034922281901
1.845,16.484138488769528
1.855,16.50697353907994
1.865,16.512229919433594
1.875,16.558357238769528
1.885,
1.895,16.58891232808431
1.905,16.606388568878174
1.915,16.629596710205078
1.925,
1.935,
1.945,16.694679260253903
1.955,16.659162521362305
1.9649999999999999,16.710742950439453
1.975,
1.9849999999999999,16.733343124389652
1.995,16.736562728881836
