Modified Julian Day,Magnitude,mjd
58420.0,,
58421.0,,
58422.0,16.521487712860107,58422.46812210001
58423.0,16.796211242675785,58423.475248849994
58424.0,16.794761657714847,58424.511794000005
58425.0,16.10197162628174,58425.45997105
58426.0,15.709345817565918,58426.46289929999
58427.0,16.31947612762451,58427.46967595001
58428.0,16.47014284133911,58428.43608795
58429.0,16.815742492675778,58429.44581595001
58430.0,16.793581008911133,58430.40797453333
58431.0,15.512521743774414,58431.477618649995
58432.0,16.02715539932251,58432.45653935
58433.0,,
58434.0,16.735039710998535,58434.46734665
58435.0,,
58436.0,,
58437.0,15.758730411529541,58437.464864
58438.0,16.323195457458496,58438.460578700004
58439.0,,
58440.0,,
58441.0,16.804434776306152,58441.472372699995
58442.0,15.670862197875975,58442.496799750006
58443.0,16.40850591659546,58443.519979749995
58444.0,,
58445.0,,
58446.0,,
58447.0,,
58448.0,,
58449.0,,
58450.0,16.603841304779053,58450.443715274996
58451.0,,
58452.0,,
58453.0,,
58454.0,,
58455.0,,
58456.0,,
58457.0,16.482906341552734,58457.28765045
58458.0,,
58459.0,,
58460.0,,
58461.0,,
58462.0,,
58463.0,,
58464.0,15.94021193186442,58464.425003866665
58465.0,16.462886810302734,58465.53280090001
58466.0,,
58467.0,,
58468.0,16.788076400756836,58468.431365699995
58469.0,15.413342475891113,58469.4920139
58470.0,,
58471.0,,
58472.0,16.784929275512695,58472.4934722
58473.0,,
58474.0,,
58475.0,16.0006103515625,58475.52931715
58476.0,,
58477.0,,
58478.0,,
58479.0,,
58480.0,16.214943885803223,58480.469843750005
58481.0,,
58482.0,16.710742950439453,58482.5526505
58483.0,,
58484.0,,
58485.0,,
58486.0,,
58487.0,,
58488.0,,
58489.0,,
58490.0,,
58491.0,,
58492.0,,
58493.0,16.72476577758789,58493.24135415
58494.0,,
58495.0,,
58496.0,,
58497.0,,
58498.0,,
58499.0,,
58500.0,,
58501.0,,
58502.0,,
58503.0,16.403886795043945,58503.5501273
58504.0,,
58505.0,15.397099494934082,58505.248738400005
58506.0,16.79464340209961,58506.45015624999
58507.0,,
58508.0,,
58509.0,16.749428749084473,58509.241631950004
58510.0,,
58511.0,,
58512.0,,
58513.0,,
58514.0,,
58515.0,,
58516.0,,
58517.0,,
58518.0,,
58519.0,,
58520.0,,
58521.0,,
58522.0,16.4881534576416,58522.28789355
58523.0,,
58524.0,,
58525.0,,
58526.0,16.001903533935547,58526.4094444
58527.0,,
58528.0,,
58529.0,,
58530.0,,
58531.0,,
58532.0,,
58533.0,,
58534.0,16.425661087036133,58534.27136575
58535.0,,
58536.0,,
58537.0,,
58538.0,,
58539.0,,
58540.0,,
58541.0,16.80282974243164,58541.2473495
58542.0,,
