Modified Julian Day,Magnitude,mjd
58300.0,17.345654010772705,58300.233697925
58301.0,17.36506525675456,58301.28265046667
58302.0,17.07236480712891,58302.21003475
58303.0,,
58304.0,17.07996877034505,58304.2483758
58305.0,17.229005177815758,58305.240617300005
58306.0,17.40043592453003,58306.321307900005
58307.0,16.969171524047848,58307.22368635
58308.0,17.284552256266277,58308.271130400004
58309.0,,
58310.0,16.97698974609375,58310.32831015
58311.0,17.39486789703369,58311.2533912
58312.0,17.25101089477539,58312.3384954
58313.0,,
58314.0,,
58315.0,,
58316.0,17.066741943359375,58316.35914349999
58317.0,17.342823028564453,58317.33964119999
58318.0,17.057910919189453,58318.3951042
58319.0,17.17847728729248,58319.224082750006
58320.0,17.140717188517254,58320.2650926
58321.0,17.194934844970703,58321.2919676
58322.0,17.00410270690918,58322.1960725
58323.0,17.055965423583984,58323.348838733335
58324.0,17.458932876586918,58324.28543596666
58325.0,17.005112330118816,58325.17801696667
58326.0,17.436930656433105,58326.1881597
58327.0,17.04764461517334,58327.18842010001
58328.0,,
58329.0,17.318950653076172,58329.1650347
58330.0,16.965109825134277,58330.190717574995
58331.0,17.07594617207845,58331.26484566667
58332.0,17.226338386535645,58332.2016609
58333.0,17.104053497314453,58333.17370369999
58334.0,,
58335.0,,
58336.0,17.065773010253903,58336.24248840001
58337.0,,
58338.0,,
58339.0,,
58340.0,,
58341.0,,
58342.0,,
58343.0,16.96352195739746,58343.18217590001
58344.0,,
58345.0,,
58346.0,17.119804382324222,58346.159768499994
58347.0,,
58348.0,,
58349.0,17.330920219421387,58349.171652200006
58350.0,17.42034975687663,58350.258171299996
58351.0,17.029441833496094,58351.258383500004
58352.0,17.39453411102295,58352.1703154
58353.0,,
58354.0,,
58355.0,,
58356.0,,
58357.0,,
58358.0,,
58359.0,,
58360.0,17.35042381286621,58360.1513137
58361.0,16.956501007080078,58361.1719869
58362.0,17.114194869995117,58362.217272400005
58363.0,17.24133809407552,58363.1802122
58364.0,16.946423053741455,58364.213674775
58365.0,17.315365473429363,58365.2342515
58366.0,17.18646176656087,58366.21879243333
58367.0,17.02190637588501,58367.234511025
58368.0,17.394224802652996,58368.2178395
58369.0,17.046436309814453,58369.23868826666
58370.0,17.374295711517334,58370.191869225004
58371.0,17.288150787353516,58371.221682100004
58372.0,16.94516372680664,58372.22545140001
58373.0,17.416139602661133,58373.217531824994
58374.0,17.100976943969727,58374.2256983
58375.0,17.044793446858723,58375.24708716667
58376.0,,
58377.0,16.95661163330078,58377.218307275
58378.0,17.410987854003906,58378.1768133
58379.0,17.06290117899577,58379.18174383333
58380.0,17.327804565429688,58380.1374151
58381.0,17.3701655069987,58381.201234566666
58382.0,16.983257293701172,58382.19890819999
58383.0,17.354697704315186,58383.1941088
58384.0,17.3293883005778,58384.23922066667
58385.0,17.229831059773762,58385.1369599
58386.0,17.283737659454346,58386.13280672499
58387.0,17.060468037923176,58387.20478783333
58388.0,17.40188980102539,58388.135524699996
58389.0,17.138359546661377,58389.15328705
58390.0,17.134502410888672,58390.119313266674
58391.0,,
58392.0,,
