Phase,Magnitude
0.005,18.947643280029297
0.015,19.0628662109375
0.025,19.005364418029785
0.035,18.96696758270264
0.045,
0.055,
0.065,18.972835540771484
0.07500000000000001,18.916938145955402
0.08499999999999999,
0.095,19.08293914794922
0.10500000000000001,
0.11499999999999999,19.006092071533203
0.125,19.013251304626465
0.135,19.016830444335934
0.14500000000000002,19.024372100830078
0.155,
0.165,19.00417900085449
0.175,19.08495330810547
0.185,
0.195,
0.20500000000000002,19.062092304229736
0.215,19.10933494567871
0.225,19.11969757080078
0.235,19.06627655029297
0.245,19.11212158203125
0.255,19.10113906860352
0.265,19.191993713378906
0.275,19.16373443603516
0.28500000000000003,19.286206245422363
0.295,19.182920455932617
0.305,
0.315,19.25104141235352
0.325,19.29322338104248
0.335,
0.34500000000000003,
0.355,19.33021640777588
0.365,19.3154296875
0.375,19.38284683227539
0.385,19.352486610412598
0.395,19.32813262939453
0.405,19.43464533487956
0.41500000000000004,
0.425,19.324939727783203
0.435,
0.445,19.31862068176269
0.455,
0.465,19.33006000518799
0.475,19.40348052978516
0.485,19.391140619913738
0.495,
0.505,
0.515,19.156681060791016
0.525,19.31997299194336
0.535,19.395172119140625
0.545,
0.555,
0.5650000000000001,19.20665232340495
0.575,19.24740219116211
0.585,19.244698842366535
0.595,
0.605,19.221574783325195
0.615,19.163372039794922
0.625,
0.635,
0.645,
0.655,19.079891204833984
0.665,19.05342102050781
0.675,19.154200236002605
0.685,19.11416244506836
0.6950000000000001,19.0728759765625
0.7050000000000001,19.131896018981934
0.715,19.010547637939453
0.725,19.02298927307129
0.735,19.093573570251465
0.745,18.98262310028076
0.755,19.026994705200195
0.765,19.012643814086914
0.775,
0.785,18.97130012512207
0.795,
0.805,18.94882583618164
0.8150000000000001,18.948091506958008
0.8250000000000001,19.00547409057617
0.835,18.959794998168945
0.845,18.980123138427736
0.855,19.05483055114746
0.865,18.907917022705078
0.875,
0.885,18.94929313659668
0.895,
0.905,18.95242691040039
0.915,
0.925,18.992534001668293
0.935,18.94029998779297
0.9450000000000001,18.922334671020508
0.9550000000000001,18.897045135498047
0.965,18.9888916015625
0.975,18.892559051513672
0.985,18.987529754638672
0.995,18.964852333068848
1.005,18.947643280029297
1.015,19.0628662109375
1.025,19.005364418029785
1.035,18.96696758270264
1.045,
1.055,
1.065,18.972835540771484
1.075,18.916938145955402
1.085,
1.095,19.08293914794922
1.105,
1.115,19.006092071533203
1.125,19.013251304626465
1.135,19.016830444335934
1.145,19.024372100830078
1.155,
1.165,19.00417900085449
1.175,19.08495330810547
1.185,
1.195,
1.205,19.062092304229736
1.215,19.10933494567871
1.225,19.11969757080078
1.2349999999999999,19.06627655029297
1.245,19.11212158203125
1.255,19.10113906860352
1.2650000000000001,19.191993713378906
1.275,19.16373443603516
1.2850000000000001,19.286206245422363
1.295,19.182920455932617
1.305,
1.315,19.25104141235352
1.325,19.29322338104248
1.335,
1.345,
1.355,19.33021640777588
1.365,19.3154296875
1.375,19.38284683227539
1.385,19.352486610412598
1.395,19.32813262939453
1.405,19.43464533487956
1.415,
1.425,19.324939727783203
1.435,
1.445,19.31862068176269
1.455,
1.465,19.33006000518799
1.475,19.40348052978516
1.4849999999999999,19.391140619913738
1.495,
1.505,
1.5150000000000001,19.156681060791016
1.525,19.31997299194336
1.5350000000000001,19.395172119140625
1.545,
1.5550000000000002,
1.565,19.20665232340495
1.575,19.24740219116211
1.585,19.244698842366535
1.595,
1.605,19.221574783325195
1.615,19.163372039794922
1.625,
1.635,
1.645,
1.655,19.079891204833984
1.665,19.05342102050781
1.675,19.154200236002605
1.685,19.11416244506836
1.695,19.0728759765625
1.705,19.131896018981934
1.7149999999999999,19.010547637939453
1.725,19.02298927307129
1.7349999999999999,19.093573570251465
1.745,18.98262310028076
1.755,19.026994705200195
1.7650000000000001,19.012643814086914
1.775,
1.7850000000000001,18.97130012512207
1.795,
1.8050000000000002,18.94882583618164
1.815,18.948091506958008
1.8250000000000002,19.00547409057617
1.835,18.959794998168945
1.845,18.980123138427736
1.855,19.05483055114746
1.865,18.907917022705078
1.875,
1.885,18.94929313659668
1.895,
1.905,18.95242691040039
1.915,
1.925,18.992534001668293
1.935,18.94029998779297
1.945,18.922334671020508
1.955,18.897045135498047
1.9649999999999999,18.9888916015625
1.975,18.892559051513672
1.9849999999999999,18.987529754638672
1.995,18.964852333068848
