Modified Julian Day,Magnitude,mjd
58300.0,,
58301.0,,
58302.0,,
58303.0,,
58304.0,,
58305.0,,
58306.0,,
58307.0,,
58308.0,,
58309.0,,
58310.0,18.94590377807617,58310.4024306
58311.0,,
58312.0,,
58313.0,19.304567337036133,58313.4044444
58314.0,,
58315.0,,
58316.0,,
58317.0,,
58318.0,,
58319.0,19.36048126220703,58319.4428125
58320.0,,
58321.0,,
58322.0,18.947643280029297,58322.41560190001
58323.0,,
58324.0,,
58325.0,19.38495445251465,58325.4680556
58326.0,,
58327.0,,
58328.0,19.08293914794922,58328.4120949
58329.0,,
58330.0,,
58331.0,,
58332.0,,
58333.0,,
58334.0,19.08495330810547,58334.3661921
58335.0,,
58336.0,,
58337.0,19.010547637939453,58337.35114580001
58338.0,,
58339.0,,
58340.0,,
58341.0,,
58342.0,,
58343.0,18.94882583618164,58343.3509028
58344.0,,
58345.0,,
58346.0,19.389423370361328,58346.3833912
58347.0,,
58348.0,,
58349.0,18.94929313659668,58349.3324421
58350.0,,
58351.0,,
58352.0,19.324939727783203,58352.3014931
58353.0,,
58354.0,,
58355.0,18.960159301757812,58355.3767882
58356.0,,
58357.0,,
58358.0,19.156681060791016,58358.27375
58359.0,,
58360.0,,
58361.0,18.972835540771484,58361.310625
58362.0,,
58363.0,,
58364.0,,
58365.0,,
58366.0,,
58367.0,19.024372100830078,58367.3168981
58368.0,,
58369.0,,
58370.0,19.11416244506836,58370.2916898
58371.0,,
58372.0,,
58373.0,,
58374.0,,
58375.0,,
58376.0,18.97130012512207,58376.3420949
58377.0,,
58378.0,,
58379.0,19.34600257873535,58379.308588
58380.0,,
58381.0,,
58382.0,18.907917022705078,58382.298460599995
58383.0,,
58384.0,,
58385.0,19.438980102539066,58385.2530671
58386.0,,
58387.0,,
58388.0,18.88545227050781,58388.2486574
58389.0,,
58390.0,,
58391.0,,
58392.0,,
58393.0,,
58394.0,,
58395.0,,
58396.0,,
58397.0,,
58398.0,,
58399.0,,
58400.0,19.006092071533203,58400.2272222
58401.0,,
58402.0,,
58403.0,,
58404.0,,
58405.0,,
58406.0,,
58407.0,,
58408.0,,
58409.0,,
58410.0,,
58411.0,,
58412.0,,
58413.0,,
58414.0,,
58415.0,,
58416.0,,
58417.0,,
58418.0,,
58419.0,,
58420.0,,
58421.0,,
58422.0,,
58423.0,19.16373443603516,58423.1397685
58424.0,,
58425.0,,
58426.0,,
58427.0,,
58428.0,,
58429.0,19.3154296875,58429.1448727
58430.0,,
58431.0,,
58432.0,18.95242691040039,58432.130821800005
58433.0,,
58434.0,,
58435.0,19.31862068176269,58435.1066782
58436.0,,
58437.0,,
58438.0,,
58439.0,,
58440.0,,
58441.0,,
58442.0,,
58443.0,,
58444.0,,
58445.0,,
58446.0,,
58447.0,,
58448.0,,
58449.0,,
58450.0,,
58451.0,,
58452.0,,
58453.0,,
58454.0,,
58455.0,,
58456.0,19.10113906860352,58456.13201390001
58457.0,,
58458.0,,
58459.0,,
58460.0,,
58461.0,,
58462.0,,
58463.0,,
58464.0,,
58465.0,,
58466.0,,
58467.0,,
58468.0,,
58469.0,19.238262176513672,58469.0943403
58470.0,,
58471.0,,
58472.0,,
58473.0,,
58474.0,,
58475.0,19.226490020751953,58475.1401273
58476.0,,
58477.0,,
58478.0,,
58479.0,,
58480.0,,
58481.0,,
58482.0,,
58483.0,,
58484.0,,
58485.0,,
58486.0,,
58487.0,,
58488.0,,
58489.0,,
58490.0,,
58491.0,,
58492.0,,
58493.0,,
58494.0,19.016830444335934,58494.0938773
58495.0,,
58496.0,,
58497.0,,
58498.0,,
58499.0,,
58500.0,,
58501.0,,
58502.0,,
58503.0,,
58504.0,,
58505.0,,
58506.0,,
58507.0,,
58508.0,,
58509.0,,
58510.0,,
58511.0,,
58512.0,,
58513.0,,
58514.0,,
58515.0,,
58516.0,,
58517.0,,
58518.0,,
58519.0,,
58520.0,,
58521.0,,
58522.0,,
58523.0,,
58524.0,,
58525.0,,
58526.0,,
58527.0,,
58528.0,,
58529.0,,
58530.0,,
58531.0,,
58532.0,,
58533.0,,
58534.0,,
58535.0,,
58536.0,,
58537.0,,
58538.0,,
58539.0,,
58540.0,,
58541.0,,
58542.0,,
58543.0,,
58544.0,,
58545.0,,
58546.0,,
58547.0,,
58548.0,,
58549.0,,
58550.0,,
58551.0,,
58552.0,,
58553.0,,
58554.0,,
58555.0,,
58556.0,,
58557.0,,
58558.0,,
58559.0,,
58560.0,,
58561.0,,
58562.0,,
58563.0,,
58564.0,,
58565.0,,
58566.0,,
58567.0,,
58568.0,,
58569.0,,
58570.0,,
58571.0,,
58572.0,,
58573.0,,
58574.0,,
58575.0,,
58576.0,,
58577.0,,
58578.0,,
58579.0,,
58580.0,,
58581.0,,
58582.0,,
58583.0,,
58584.0,,
58585.0,,
58586.0,,
58587.0,,
58588.0,,
58589.0,,
58590.0,,
58591.0,,
58592.0,,
58593.0,,
58594.0,,
58595.0,,
58596.0,,
58597.0,,
58598.0,,
58599.0,,
58600.0,,
58601.0,,
