Modified Julian Day,Magnitude,mjd
55144.0,15.753,55144.56035
55145.0,,
55146.0,15.638,55146.8077
55147.0,,
55148.0,15.649000000000001,55148.2874
55149.0,15.57,55149.37
55150.0,15.6625,55150.535050000006
55151.0,15.61,55151.41
55152.0,15.663666666666666,55152.571200000006
55153.0,,
55154.0,15.737666666666668,55154.60803333333
55155.0,15.713999999999999,55155.6544
55156.0,15.805,55156.0872
55157.0,15.71,55157.4
55158.0,15.7275,55158.39555
55159.0,,
55160.0,15.868500000000001,55160.3618
55161.0,,
55162.0,15.9155,55162.239149999994
55163.0,15.9897,55163.8395
55164.0,15.967500000000001,55164.630399999995
55165.0,,
55166.0,16.142033333333334,55166.71823333334
55167.0,,
55168.0,16.1561,55168.9105
55169.0,,
55170.0,16.331,55170.7634
55171.0,16.18925,55171.666549999994
55172.0,16.3039,55172.7645
55173.0,16.18,55173.43
55174.0,,
55175.0,,
55176.0,16.517,55176.3951
55177.0,,
55178.0,,
55179.0,16.542,55179.8081
55180.0,,
55181.0,16.44,55181.37
55182.0,16.48613333333333,55182.51853333334
55183.0,,
55184.0,16.45085,55184.526
55185.0,16.639,55185.8352
55186.0,,
55187.0,,
55188.0,16.5732,55188.65753333334
55189.0,,
55190.0,16.62,55190.27
55191.0,16.868,55191.1865
55192.0,,
55193.0,16.6181,55193.8598
55194.0,16.56,55194.41
55195.0,,
55196.0,,
55197.0,16.932000000000002,55197.268
55198.0,16.79,55198.38
55199.0,,
55200.0,16.87325,55200.61975
55201.0,,
55202.0,16.88,55202.27
55203.0,16.7659,55203.799000000006
55204.0,,
55205.0,16.92,55205.28
55206.0,,
55207.0,,
55208.0,16.89,55208.24
55209.0,,
55210.0,,
55211.0,16.9322,55211.7097
55212.0,,
55213.0,,
55214.0,,
55215.0,17.2464,55215.7665
55216.0,,
55217.0,,
55218.0,,
55219.0,,
55220.0,17.3758,55220.6347
55221.0,18.258,55221.8253
55222.0,,
55223.0,,
55224.0,17.76875,55224.57715
55225.0,,
55226.0,,
55227.0,17.89,55227.28
55228.0,,
55229.0,,
55230.0,18.43,55230.23
55231.0,,
55232.0,,
55233.0,,
55234.0,,
55235.0,,
55236.0,,
55237.0,,
55238.0,18.66,55238.23
55239.0,,
55240.0,,
55241.0,,
55242.0,,
55243.0,,
55244.0,18.61,55244.15
