Modified Julian Day,Magnitude,mjd
56504.0,12.66,56504.39
56505.0,12.53,56505.42
56506.0,,
56507.0,12.53,56507.5
56508.0,,
56509.0,12.52,56509.52
56510.0,,
56511.0,,
56512.0,,
56513.0,,
56514.0,,
56515.0,12.62,56515.51
56516.0,,
56517.0,,
56518.0,,
56519.0,12.79,56519.48
56520.0,12.72,56520.51
56521.0,,
56522.0,12.75,56522.51
56523.0,12.735,56523.42
56524.0,12.77,56524.5
56525.0,12.87,56525.35
56526.0,,
56527.0,12.91,56527.36
56528.0,,
56529.0,,
56530.0,13.07,56530.49
56531.0,13.05,56531.31
56532.0,,
56533.0,13.12,56533.43
56534.0,13.07,56534.49
56535.0,13.16,56535.3
56536.0,13.17,56536.4
56537.0,13.13,56537.45
56538.0,,
56539.0,13.225000000000001,56539.365000000005
56540.0,13.23,56540.42
56541.0,13.24,56541.3
56542.0,13.29,56542.43
56543.0,13.32,56543.38
56544.0,,
56545.0,13.35,56545.39
56546.0,13.39,56546.41
56547.0,,
56548.0,13.425,56548.33
56549.0,13.44,56549.41
56550.0,13.44,56550.44
56551.0,13.45,56551.45
56552.0,13.48,56552.35
56553.0,,
56554.0,,
56555.0,13.56,56555.32
56556.0,,
56557.0,,
56558.0,,
56559.0,13.620000000000001,56559.34
56560.0,,
56561.0,,
56562.0,13.66,56562.33
56563.0,,
56564.0,13.66,56564.37
56565.0,,
56566.0,13.68,56566.49
56567.0,,
56568.0,,
56569.0,13.79,56569.29
56570.0,13.78,56570.39
56571.0,,
56572.0,13.81,56572.35
56573.0,13.86,56573.3
56574.0,13.85,56574.35
56575.0,13.86,56575.26
56576.0,,
56577.0,13.9,56577.38
56578.0,13.94,56578.31
56579.0,,
56580.0,13.99,56580.32
56581.0,14.05,56581.28
56582.0,,
56583.0,,
56584.0,,
56585.0,14.19,56585.39
56586.0,,
56587.0,14.21,56587.33
56588.0,,
56589.0,14.4,56589.27
56590.0,14.35,56590.32
56591.0,,
56592.0,,
56593.0,,
56594.0,,
56595.0,,
56596.0,15.05,56596.29
56597.0,,
56598.0,,
56599.0,15.695,56599.26
56600.0,,
56601.0,16.1,56601.27
56602.0,,
56603.0,16.08,56603.31
56604.0,,
56605.0,16.44,56605.27
56606.0,16.47,56606.27
56607.0,,
56608.0,,
56609.0,16.56,56609.26
56610.0,,
56611.0,,
56612.0,,
56613.0,,
56614.0,,
56615.0,16.61,56615.28
56616.0,,
56617.0,,
56618.0,16.68,56618.23
56619.0,,
56620.0,,
56621.0,16.71,56621.28
56622.0,,
56623.0,,
56624.0,16.79,56624.23
56625.0,,
56626.0,16.83,56626.21
56627.0,16.84,56627.23
56628.0,,
56629.0,,
56630.0,16.83,56630.2
56631.0,16.91,56631.21
56632.0,,
56633.0,,
56634.0,17.08,56634.24
56635.0,16.97,56635.22
56636.0,,
56637.0,,
56638.0,,
56639.0,,
56640.0,,
56641.0,17.01,56641.2
56642.0,16.89,56642.34
56643.0,,
56644.0,,
56645.0,17.09,56645.26
56646.0,,
56647.0,,
56648.0,17.23,56648.21
56649.0,,
56650.0,,
56651.0,17.2,56651.19
56652.0,,
56653.0,,
56654.0,,
56655.0,17.21,56655.15
56656.0,,
56657.0,,
56658.0,17.23,56658.16
56659.0,,
56660.0,,
56661.0,,
56662.0,,
56663.0,,
56664.0,,
56665.0,17.4,56665.18
56666.0,,
56667.0,17.48,56667.21
56668.0,,
56669.0,17.23,56669.12
56670.0,17.48,56670.2
56671.0,,
56672.0,,
56673.0,,
56674.0,17.55,56674.11
56675.0,17.58,56675.19
56676.0,,
56677.0,,
56678.0,17.62,56678.17
56679.0,17.58,56679.12
56680.0,,
56681.0,,
56682.0,,
56683.0,,
56684.0,17.73,56684.13
56685.0,,
56686.0,,
56687.0,,
56688.0,,
56689.0,17.74,56689.13
56690.0,,
56691.0,,
56692.0,,
56693.0,,
56694.0,,
56695.0,,
56696.0,,
56697.0,,
56698.0,,
56699.0,,
56700.0,,
56701.0,,
56702.0,,
56703.0,,
56704.0,,
56705.0,17.96,56705.12
56706.0,,
56707.0,,
56708.0,17.99,56708.12
56709.0,17.97,56709.12
56710.0,17.99,56710.13
56711.0,,
56712.0,,
56713.0,,
56714.0,,
56715.0,,
56716.0,,
56717.0,,
56718.0,,
56719.0,,
56720.0,,
56721.0,,
56722.0,,
56723.0,,
56724.0,18.01,56724.14
56725.0,,
56726.0,,
56727.0,,
56728.0,18.1,56728.14
56729.0,,
56730.0,,
56731.0,,
56732.0,17.96,56732.13
56733.0,,
56734.0,,
56735.0,,
56736.0,,
56737.0,,
56738.0,,
56739.0,,
56740.0,,
56741.0,,
56742.0,,
56743.0,,
56744.0,,
56745.0,,
56746.0,,
56747.0,,
56748.0,,
56749.0,,
56750.0,,
56751.0,,
56752.0,,
56753.0,,
56754.0,,
56755.0,,
56756.0,,
56757.0,,
56758.0,,
56759.0,,
56760.0,,
56761.0,,
56762.0,,
56763.0,,
56764.0,,
56765.0,,
56766.0,,
56767.0,,
56768.0,,
56769.0,,
56770.0,,
56771.0,,
56772.0,,
56773.0,,
56774.0,,
56775.0,,
56776.0,,
56777.0,,
56778.0,,
56779.0,,
56780.0,,
56781.0,,
56782.0,,
56783.0,,
56784.0,,
56785.0,,
56786.0,,
56787.0,,
56788.0,,
56789.0,,
56790.0,,
56791.0,,
56792.0,,
56793.0,,
56794.0,,
56795.0,,
56796.0,,
56797.0,,
56798.0,,
56799.0,,
56800.0,,
56801.0,,
56802.0,,
56803.0,,
56804.0,,
56805.0,,
56806.0,,
56807.0,,
56808.0,,
56809.0,,
56810.0,,
56811.0,,
56812.0,,
56813.0,,
56814.0,,
56815.0,,
56816.0,,
56817.0,,
56818.0,,
56819.0,,
56820.0,,
56821.0,,
56822.0,,
56823.0,,
56824.0,,
56825.0,,
56826.0,,
56827.0,,
56828.0,,
56829.0,,
56830.0,,
56831.0,,
56832.0,,
56833.0,,
56834.0,,
56835.0,,
56836.0,,
56837.0,,
56838.0,,
56839.0,,
56840.0,,
56841.0,,
56842.0,,
56843.0,,
56844.0,,
56845.0,,
56846.0,,
56847.0,,
56848.0,,
56849.0,19.34,56849.44
56850.0,,
56851.0,,
56852.0,19.32,56852.41
56853.0,,
56854.0,,
56855.0,,
56856.0,19.35,56856.41
56857.0,,
56858.0,,
56859.0,,
56860.0,,
56861.0,,
56862.0,,
56863.0,,
56864.0,,
56865.0,,
56866.0,,
56867.0,,
56868.0,,
56869.0,,
56870.0,,
56871.0,,
56872.0,,
56873.0,,
56874.0,,
56875.0,,
56876.0,,
56877.0,,
56878.0,,
56879.0,,
56880.0,,
56881.0,,
56882.0,,
56883.0,,
56884.0,,
56885.0,,
56886.0,,
56887.0,,
56888.0,20.05,56888.47
56889.0,,
56890.0,,
56891.0,19.85,56891.42
56892.0,,
56893.0,,
56894.0,19.92,56894.34
56895.0,,
56896.0,,
56897.0,,
56898.0,20.1,56898.46
56899.0,,
56900.0,,
56901.0,,
56902.0,,
56903.0,,
56904.0,,
56905.0,,
56906.0,20.27,56906.5
56907.0,,
56908.0,,
56909.0,,
56910.0,,
56911.0,,
56912.0,,
56913.0,,
56914.0,,
56915.0,,
56916.0,20.34,56916.4
56917.0,,
56918.0,,
56919.0,,
56920.0,,
56921.0,,
56922.0,,
56923.0,20.13,56923.44
56924.0,,
56925.0,,
56926.0,,
56927.0,,
56928.0,,
56929.0,,
56930.0,,
56931.0,20.48,56931.32
56932.0,,
56933.0,,
56934.0,20.24,56934.36
56935.0,,
56936.0,,
56937.0,20.57,56937.26
56938.0,,
56939.0,,
56940.0,,
56941.0,,
56942.0,,
56943.0,,
56944.0,,
56945.0,,
56946.0,,
56947.0,,
56948.0,20.58,56948.23
56949.0,,
56950.0,,
56951.0,,
56952.0,,
56953.0,,
56954.0,,
56955.0,,
56956.0,,
56957.0,,
56958.0,20.75,56958.27
56959.0,,
56960.0,,
56961.0,,
56962.0,,
56963.0,,
56964.0,,
56965.0,,
56966.0,,
56967.0,,
56968.0,,
56969.0,,
56970.0,,
56971.0,,
56972.0,,
56973.0,,
56974.0,,
56975.0,,
56976.0,,
56977.0,,
56978.0,,
56979.0,,
56980.0,,
56981.0,,
56982.0,,
56983.0,,
56984.0,,
56985.0,,
56986.0,20.9,56986.27
