Wavelength,Flux,,Flux
3795,6.05E-14,1.00E+14,6.05E+00
3805,6.06E-14,1.00E+14,6.06E+00
3815,5.82E-14,1.00E+14,5.82E+00
3825,5.62E-14,1.00E+14,5.62E+00
3835,5.62E-14,1.00E+14,5.62E+00
3845,5.83E-14,1.00E+14,5.83E+00
3855,5.77E-14,1.00E+14,5.77E+00
3865,6.03E-14,1.00E+14,6.03E+00
3875,6.11E-14,1.00E+14,6.11E+00
3885,6.49E-14,1.00E+14,6.49E+00
3895,6.62E-14,1.00E+14,6.62E+00
3905,6.81E-14,1.00E+14,6.81E+00
3915,6.61E-14,1.00E+14,6.61E+00
3925,6.61E-14,1.00E+14,6.61E+00
3935,6.39E-14,1.00E+14,6.39E+00
3945,6.50E-14,1.00E+14,6.50E+00
3955,6.36E-14,1.00E+14,6.36E+00
3965,6.52E-14,1.00E+14,6.52E+00
3975,6.60E-14,1.00E+14,6.60E+00
3985,6.54E-14,1.00E+14,6.54E+00
3995,6.41E-14,1.00E+14,6.41E+00
4005,6.29E-14,1.00E+14,6.29E+00
4015,6.03E-14,1.00E+14,6.03E+00
4025,6.01E-14,1.00E+14,6.01E+00
4035,6.11E-14,1.00E+14,6.11E+00
4045,6.06E-14,1.00E+14,6.06E+00
4055,6.31E-14,1.00E+14,6.31E+00
4065,6.27E-14,1.00E+14,6.27E+00
4075,6.37E-14,1.00E+14,6.37E+00
4085,6.45E-14,1.00E+14,6.45E+00
4095,6.43E-14,1.00E+14,6.43E+00
4105,6.36E-14,1.00E+14,6.36E+00
4115,6.27E-14,1.00E+14,6.27E+00
4125,6.27E-14,1.00E+14,6.27E+00
4135,5.89E-14,1.00E+14,5.89E+00
4145,5.91E-14,1.00E+14,5.91E+00
4155,5.66E-14,1.00E+14,5.66E+00
4165,5.58E-14,1.00E+14,5.58E+00
4175,5.29E-14,1.00E+14,5.29E+00
4185,5.20E-14,1.00E+14,5.20E+00
4195,5.21E-14,1.00E+14,5.21E+00
