Modified Julian Day,Magnitude,mjd
55798.0,14.033,55798.8915
55799.0,,
55800.0,12.704,55800.8359
55801.0,12.265,55801.8232
55802.0,11.7365,55802.8214
55803.0,11.338,55803.81615
55804.0,11.061000000000002,55804.82973333334
55805.0,10.796,55805.7818
55806.0,10.602,55806.8062
55807.0,10.411,55807.7834
55808.0,10.289000000000001,55808.7892
55809.0,,
55810.0,10.153500000000001,55810.8053
55811.0,,
55812.0,10.051,55812.7927
55813.0,9.985,55813.786349999995
55814.0,10.013333333333334,55814.80703333334
55815.0,10.102,55815.7831
55816.0,9.99,55816.79565
55817.0,10.0195,55817.787150000004
55818.0,10.0105,55818.79315
55819.0,10.049499999999998,55819.782250000004
55820.0,10.0855,55820.82625
55821.0,10.083,55821.794
55822.0,,
55823.0,10.302999999999999,55823.8077
55824.0,10.314,55824.8297
55825.0,10.332666666666666,55825.78456666667
55826.0,10.42,55826.7701
55827.0,10.405,55827.7742
55828.0,10.552999999999999,55828.7608
55829.0,10.6465,55829.7886
55830.0,10.6975,55830.75795
55831.0,10.733,55831.7582
55832.0,10.765500000000001,55832.772849999994
55833.0,10.843,55833.7956
55834.0,10.896,55834.7698
55835.0,10.912999999999998,55835.53773333333
55836.0,10.985,55836.7436
55837.0,11.026,55837.7706
55838.0,11.0875,55838.76565
55839.0,11.1275,55839.7647
55840.0,11.173,55840.732
55841.0,,
55842.0,,
55843.0,11.362,55843.7325
55844.0,11.475999999999999,55844.0647
55845.0,11.522,55845.5282
55846.0,,
55847.0,11.644,55847.7254
55848.0,,
55849.0,11.758,55849.7832
55850.0,,
55851.0,11.873,55851.746966666666
55852.0,11.917000000000002,55852.7434
55853.0,,
55854.0,,
55855.0,,
55856.0,,
55857.0,12.161,55857.7834
55858.0,,
55859.0,,
55860.0,,
55861.0,,
55862.0,,
55863.0,12.309000000000001,55863.7418
55864.0,,
55865.0,12.395999999999999,55865.1555
55866.0,,
55867.0,,
55868.0,,
55869.0,12.519,55869.5275
55870.0,,
55871.0,,
55872.0,,
55873.0,,
55874.0,,
55875.0,12.6415,55875.33045
55876.0,,
55877.0,,
55878.0,12.737,55878.1888
55879.0,,
55880.0,12.782,55880.1992
55881.0,12.81,55881.3481
55882.0,12.86,55882.1753
55883.0,12.870999999999999,55883.4905
55884.0,12.818,55884.1717
55885.0,,
55886.0,12.972999999999999,55886.1931
55887.0,,
55888.0,12.9955,55888.341400000005
55889.0,13.0175,55889.325
55890.0,13.074000000000002,55890.1527
55891.0,13.084000000000001,55891.1468
55892.0,13.126999999999999,55892.34065
55893.0,13.103,55893.4656
55894.0,13.1465,55894.32385
55895.0,13.185,55895.4568
55896.0,13.215,55896.3324
55897.0,,
55898.0,,
55899.0,,
55900.0,,
55901.0,,
55902.0,13.352,55902.175
55903.0,,
55904.0,,
55905.0,,
55906.0,,
55907.0,,
55908.0,,
55909.0,,
55910.0,,
55911.0,,
55912.0,,
55913.0,13.67,55913.1803
55914.0,13.661,55914.1406
55915.0,,
55916.0,13.696,55916.1899
55917.0,13.77,55917.1695
55918.0,,
55919.0,13.753,55919.1233
55920.0,,
55921.0,,
55922.0,13.815,55922.2151
55923.0,13.8735,55923.1694
55924.0,13.905,55924.0798
55925.0,,
55926.0,,
55927.0,,
55928.0,,
55929.0,,
55930.0,14.019,55930.4355
55931.0,14.055,55931.4388
55932.0,14.08,55932.383
55933.0,14.086500000000001,55933.24935
55934.0,14.099499999999999,55934.227
55935.0,14.186,55935.1818
55936.0,14.103,55936.0678
55937.0,,
55938.0,14.32,55938.0773
55939.0,14.151,55939.1186
55940.0,,
55941.0,14.282,55941.1685
55942.0,14.317,55942.0752
