Modified Julian Day,Magnitude,mjd
56460.75,17.328,56460.76
56461.0,17.215,56461.01
56461.25,17.25,56461.28
56461.5,,
56461.75,,
56462.0,16.882,56462.12300000001
56462.25,,
56462.5,,
56462.75,,
56463.0,16.62,56463.004
56463.25,,
56463.5,,
56463.75,,
56464.0,,
56464.25,,
56464.5,,
56464.75,16.121000000000002,56464.8565
56465.0,16.049999999999997,56465.1465
56465.25,,
56465.5,,
56465.75,,
56466.0,15.82,56466.21
56466.25,,
56466.5,,
56466.75,,
56467.0,15.748,56467.073
56467.25,,
56467.5,,
56467.75,,
56468.0,15.591,56468.098
56468.25,,
56468.5,,
56468.75,,
56469.0,15.571,56469.073
56469.25,15.54,56469.3
56469.5,,
56469.75,,
56470.0,15.427999999999999,56470.1327
56470.25,15.39,56470.27
56470.5,,
56470.75,15.357999999999999,56470.916
56471.0,15.382,56471.077000000005
56471.25,15.38,56471.25
56471.5,,
56471.75,,
56472.0,15.322000000000001,56472.172999999995
56472.25,15.31,56472.25
56472.5,,
56472.75,,
56473.0,15.26,56473.21
56473.25,,
56473.5,15.286999999999999,56473.5072
56473.75,,
56474.0,15.27,56474.2
56474.25,,
56474.5,,
56474.75,15.238,56474.955
56475.0,15.258,56475.053
56475.25,,
56475.5,,
56475.75,,
56476.0,15.259,56476.1265
56476.25,,
56476.5,,
56476.75,,
56477.0,15.285499999999999,56477.2185
56477.25,,
56477.5,15.277000000000001,56477.6811
56477.75,,
56478.0,,
56478.25,,
56478.5,,
56478.75,,
56479.0,15.318,56479.21799999999
56479.25,,
56479.5,,
56479.75,15.315999999999999,56479.861
56480.0,15.355333333333334,56480.16266666667
56480.25,,
56480.5,,
56480.75,,
56481.0,15.437999999999999,56481.198
56481.25,,
56481.5,,
56481.75,15.587,56481.7502
56482.0,,
56482.25,,
56482.5,15.607999999999999,56482.7
56482.75,,
56483.0,,
56483.25,,
56483.5,,
56483.75,,
56484.0,,
56484.25,15.76,56484.25
56484.5,,
56484.75,,
56485.0,15.869000000000002,56485.198
56485.25,,
56485.5,,
56485.75,,
56486.0,16.060666666666666,56486.12386666667
56486.25,,
56486.5,,
56486.75,,
56487.0,16.115499999999997,56487.1425
56487.25,,
56487.5,,
56487.75,,
56488.0,16.25,56488.23
56488.25,,
56488.5,,
56488.75,,
56489.0,,
56489.25,,
56489.5,,
56489.75,,
56490.0,,
56490.25,,
56490.5,,
56490.75,,
56491.0,,
56491.25,,
56491.5,,
56491.75,,
56492.0,16.62,56492.22
56492.25,,
56492.5,,
56492.75,,
56493.0,,
56493.25,,
56493.5,,
56493.75,,
56494.0,16.63,56494.2
56494.25,,
56494.5,,
56494.75,,
56495.0,,
56495.25,,
56495.5,,
56495.75,,
56496.0,,
56496.25,,
56496.5,,
56496.75,,
56497.0,,
56497.25,,
56497.5,,
56497.75,,
56498.0,16.94,56498.2
56498.25,,
56498.5,,
56498.75,,
56499.0,16.949,56499.210999999996
56499.25,,
56499.5,,
56499.75,,
56500.0,17.03,56500.23
56500.25,,
56500.5,,
56500.75,,
56501.0,,
56501.25,,
56501.5,,
56501.75,,
56502.0,,
56502.25,,
56502.5,,
56502.75,,
56503.0,,
56503.25,,
56503.5,17.064,56503.74
56503.75,,
56504.0,17.13,56504.2
56504.25,,
56504.5,,
56504.75,,
56505.0,,
56505.25,,
56505.5,,
56505.75,,
56506.0,17.11,56506.19
56506.25,,
56506.5,,
56506.75,,
56507.0,,
56507.25,,
56507.5,,
56507.75,,
56508.0,17.1725,56508.1085
56508.25,,
56508.5,,
56508.75,,
56509.0,,
56509.25,,
56509.5,,
56509.75,17.253,56509.972
56510.0,17.2485,56510.1725
56510.25,,
56510.5,,
56510.75,,
56511.0,,
56511.25,17.218,56511.46
56511.5,,
56511.75,,
56512.0,17.265,56512.182
56512.25,17.246,56512.456
56512.5,,
56512.75,,
56513.0,,
56513.25,,
56513.5,,
56513.75,,
56514.0,17.32,56514.18
56514.25,17.250999999999998,56514.457
56514.5,,
56514.75,,
56515.0,,
56515.25,,
56515.5,,
56515.75,,
56516.0,17.45,56516.18
56516.25,17.302,56516.41099999999
56516.5,,
56516.75,,
56517.0,,
56517.25,,
56517.5,,
56517.75,17.375999999999998,56517.982
56518.0,17.39,56518.18
56518.25,17.35,56518.420999999995
56518.5,,
56518.75,,
56519.0,17.480999999999998,56519.014
56519.25,,
56519.5,,
56519.75,,
56520.0,17.48,56520.18
56520.25,,
56520.5,,
56520.75,,
56521.0,,
56521.25,,
56521.5,,
56521.75,,
56522.0,,
56522.25,,
56522.5,,
56522.75,,
56523.0,17.49,56523.21
56523.25,,
56523.5,,
56523.75,,
56524.0,17.507,56524.039000000004
56524.25,,
56524.5,,
56524.75,,
56525.0,,
56525.25,,
56525.5,,
56525.75,,
56526.0,,
56526.25,17.516,56526.4
56526.5,,
56526.75,,
56527.0,,
56527.25,,
56527.5,,
56527.75,,
56528.0,17.75,56528.18
56528.25,17.590999999999998,56528.388
56528.5,,
56528.75,17.627,56528.975999999995
56529.0,17.604,56529.025
56529.25,,
56529.5,,
56529.75,,
56530.0,17.5895,56530.0885
56530.25,,
56530.5,,
56530.75,,
56531.0,17.65,56531.19
56531.25,,
56531.5,,
56531.75,,
56532.0,17.75,56532.16
56532.25,,
56532.5,,
56532.75,,
56533.0,,
56533.25,,
56533.5,,
56533.75,,
56534.0,17.69,56534.16
56534.25,,
56534.5,,
56534.75,,
56535.0,,
56535.25,,
56535.5,,
56535.75,,
56536.0,,
56536.25,,
56536.5,,
56536.75,,
56537.0,,
56537.25,,
56537.5,,
56537.75,,
56538.0,,
56538.25,,
56538.5,,
56538.75,,
56539.0,,
56539.25,,
56539.5,,
56539.75,,
56540.0,17.79,56540.16
56540.25,,
56540.5,,
56540.75,,
56541.0,,
56541.25,,
56541.5,,
56541.75,,
56542.0,,
56542.25,,
56542.5,,
56542.75,,
56543.0,,
56543.25,,
56543.5,,
56543.75,,
56544.0,17.78,56544.16
