Modified Julian Day,Magnitude,mjd
54330.0,13.6415,54330.134999999995
54330.5,,
54331.0,,
54331.5,,
54332.0,13.1995,54332.19
54332.5,,
54333.0,13.085999999999999,54333.23
54333.5,,
54334.0,13.023,54334.16499999999
54334.5,,
54335.0,12.981,54335.24
54335.5,,
54336.0,12.953500000000002,54336.055
54336.5,,
54337.0,,
54337.5,,
54338.0,12.893,54338.065
54338.5,12.915999999999999,54338.93
54339.0,12.908,54339.1
54339.5,,
54340.0,,
54340.5,,
54341.0,,
54341.5,13.049000000000001,54341.87
54342.0,13.07,54342.02
54342.5,,
54343.0,,
54343.5,13.163,54343.78
54344.0,,
54344.5,,
54345.0,,
54345.5,,
54346.0,,
54346.5,13.265,54346.77
54347.0,,
54347.5,,
54348.0,,
54348.5,,
54349.0,,
54349.5,13.579,54349.99
54350.0,13.515999999999998,54350.17
54350.5,,
54351.0,,
54351.5,,
54352.0,,
54352.5,,
54353.0,13.880999999999998,54353.17
54353.5,,
54354.0,,
54354.5,13.974,54354.84
54355.0,,
54355.5,,
54356.0,14.088,54356.1
54356.5,,
54357.0,14.110666666666665,54357.05666666667
54357.5,,
54358.0,14.193000000000001,54358.05
54358.5,,
54359.0,,
54359.5,14.309000000000001,54359.95
54360.0,14.325,54360.14
54360.5,,
54361.0,,
54361.5,14.38,54361.94
54362.0,,
54362.5,,
54363.0,14.53,54363.1
54363.5,14.545,54363.95
54364.0,14.567,54364.0
54364.5,,
54365.0,14.567,54365.14
54365.5,,
54366.0,,
54366.5,,
54367.0,,
54367.5,,
54368.0,14.71,54368.06
54368.5,,
54369.0,,
54369.5,14.788,54369.93
54370.0,,
54370.5,,
54371.0,14.859000000000002,54371.07
54371.5,,
54372.0,,
54372.5,,
54373.0,14.875,54373.1
54373.5,,
54374.0,,
54374.5,,
54375.0,14.905999999999999,54375.03
54375.5,,
54376.0,,
54376.5,,
54377.0,,
54377.5,,
54378.0,,
54378.5,,
54379.0,,
54379.5,,
54380.0,,
54380.5,,
54381.0,15.001,54381.01
54381.5,,
54382.0,15.032499999999999,54382.08
54382.5,,
54383.0,15.020999999999999,54383.07
54383.5,,
54384.0,15.054,54384.07
54384.5,,
54385.0,15.052999999999999,54385.13
54385.5,,
