Phase,Magnitude
0.005,15.164
0.015,15.167
0.025,14.841
0.035,
0.045,15.3095
0.055,
0.065,15.239
0.07500000000000001,
0.08499999999999999,
0.095,
0.10500000000000001,
0.11499999999999999,15.208
0.125,
0.135,
0.14500000000000002,15.1685
0.155,15.139
0.165,
0.175,15.143666666666666
0.185,15.110666666666667
0.195,15.092999999999998
0.20500000000000002,15.083333333333334
0.215,15.0445
0.225,
0.235,14.969
0.245,15.14
0.255,14.897333333333334
0.265,15.122499999999999
0.275,14.872
0.28500000000000003,14.9606
0.295,14.756499999999999
0.305,14.757333333333335
0.315,
0.325,
0.335,14.457
0.34500000000000003,14.439
0.355,14.305
0.365,14.155666666666667
0.375,14.044
0.385,13.918
0.395,
0.405,14.549
0.41500000000000004,
0.425,14.44175
0.435,13.54
0.445,13.529000000000002
0.455,13.572
0.465,13.590000000000002
0.475,13.654
0.485,13.636
0.495,13.7195
0.505,13.466666666666667
0.515,13.592666666666668
0.525,
0.535,
0.545,13.516333333333334
0.555,13.826666666666666
0.5650000000000001,
0.575,13.8065
0.585,13.897666666666666
0.595,14.045
0.605,14.059999999999999
0.615,14.056
0.625,
0.635,
0.645,14.3065
0.655,14.512
0.665,14.59
0.675,14.508666666666665
0.685,14.678
0.6950000000000001,14.530333333333333
0.7050000000000001,14.555
0.715,14.642
0.725,14.725
0.735,14.799
0.745,
0.755,14.934666666666667
0.765,14.886000000000001
0.775,14.781
0.785,15.02675
0.795,14.9695
0.805,14.956
0.8150000000000001,
0.8250000000000001,15.023000000000001
0.835,15.062333333333333
0.845,15.091999999999999
0.855,15.064
0.865,15.1755
0.875,15.026666666666666
0.885,15.124
0.895,15.075
0.905,15.0988
0.915,15.107
0.925,15.220666666666666
0.935,15.217500000000001
0.9450000000000001,15.1745
0.9550000000000001,15.311
0.965,15.256666666666666
0.975,15.228
0.985,15.107999999999999
0.995,15.222666666666667
1.005,15.164
1.015,15.167
1.025,14.841
1.035,
1.045,15.3095
1.055,
1.065,15.239
1.075,
1.085,
1.095,
1.105,
1.115,15.208
1.125,
1.135,
1.145,15.1685
1.155,15.139
1.165,
1.175,15.143666666666666
1.185,15.110666666666667
1.195,15.092999999999998
1.205,15.083333333333334
1.215,15.0445
1.225,
1.2349999999999999,14.969
1.245,15.14
1.255,14.897333333333334
1.2650000000000001,15.122499999999999
1.275,14.872
1.2850000000000001,14.9606
1.295,14.756499999999999
1.305,14.757333333333335
1.315,
1.325,
1.335,14.457
1.345,14.439
1.355,14.305
1.365,14.155666666666667
1.375,14.044
1.385,13.918
1.395,
1.405,14.549
1.415,
1.425,14.44175
1.435,13.54
1.445,13.529000000000002
1.455,13.572
1.465,13.590000000000002
1.475,13.654
1.4849999999999999,13.636
1.495,13.7195
1.505,13.466666666666667
1.5150000000000001,13.592666666666668
1.525,
1.5350000000000001,
1.545,13.516333333333334
1.5550000000000002,13.826666666666666
1.565,
1.575,13.8065
1.585,13.897666666666666
1.595,14.045
1.605,14.059999999999999
1.615,14.056
1.625,
1.635,
1.645,14.3065
1.655,14.512
1.665,14.59
1.675,14.508666666666665
1.685,14.678
1.695,14.530333333333333
1.705,14.555
1.7149999999999999,14.642
1.725,14.725
1.7349999999999999,14.799
1.745,
1.755,14.934666666666667
1.7650000000000001,14.886000000000001
1.775,14.781
1.7850000000000001,15.02675
1.795,14.9695
1.8050000000000002,14.956
1.815,
1.8250000000000002,15.023000000000001
1.835,15.062333333333333
1.845,15.091999999999999
1.855,15.064
1.865,15.1755
1.875,15.026666666666666
1.885,15.124
1.895,15.075
1.905,15.0988
1.915,15.107
1.925,15.220666666666666
1.935,15.217500000000001
1.945,15.1745
1.955,15.311
1.9649999999999999,15.256666666666666
1.975,15.228
1.9849999999999999,15.107999999999999
1.995,15.222666666666667
