Modified Julian Day,Magnitude,mjd
57456.0,15.1555,57457.36479500006
57459.0,15.216,57461.35969999991
57462.0,,
57465.0,15.121,57465.36106000002
57468.0,,
57471.0,15.14,57473.37117000017
57474.0,,
57477.0,,
57480.0,15.315999999999999,57480.827345000114
57483.0,,
57486.0,15.491,57486.36317999988
57489.0,,
57492.0,,
57495.0,,
57498.0,,
57501.0,,
57504.0,,
57507.0,,
57510.0,,
57513.0,,
57516.0,,
57519.0,,
57522.0,14.987,57523.151399999864
57525.0,,
57528.0,,
57531.0,,
57534.0,,
57537.0,,
57540.0,,
57543.0,,
57546.0,13.389,57546.6899199998
57549.0,13.345,57550.29603999992
57552.0,,
57555.0,13.412,57557.18647000008
57558.0,13.387,57558.08999000023
57561.0,,
57564.0,,
57567.0,13.7195,57567.71515000006
57570.0,,
57573.0,,
57576.0,,
57579.0,,
57582.0,,
57585.0,14.193,57585.11746999994
57588.0,,
57591.0,14.442,57593.228990000214
57594.0,,
57597.0,,
57600.0,14.515999999999998,57600.01053000009
57603.0,14.633000000000001,57604.10164999993
57606.0,14.7015,57606.57791500003
57609.0,14.717,57610.20438000001
57612.0,,
57615.0,14.802,57617.05434999988
57618.0,,
57621.0,,
57624.0,14.949,57625.21099000005
57627.0,,
57630.0,14.956,57630.09302000003
57633.0,,
57636.0,15.029000000000002,57636.086300000075
57639.0,,
57642.0,,
57645.0,,
57648.0,,
57651.0,,
57654.0,,
57657.0,15.177,57659.05055999988
57660.0,15.092,57661.01585500012
57663.0,15.2815,57663.54431000003
57666.0,,
57669.0,15.47,57671.05031999992
57672.0,,
57675.0,15.503,57675.01770000019
57678.0,,
57681.0,15.214,57683.03639000003
57684.0,15.164,57686.03300000028
57687.0,15.094,57688.03535000003
57690.0,14.841,57691.00579000032
57693.0,,
57696.0,,
57699.0,,
57702.0,,
57705.0,,
57708.0,,
57711.0,,
57714.0,,
57717.0,,
57720.0,,
57723.0,,
57726.0,,
57729.0,,
57732.0,,
57735.0,,
57738.0,,
57741.0,,
57744.0,,
57747.0,,
57750.0,,
57753.0,,
57756.0,,
57759.0,,
57762.0,,
57765.0,,
57768.0,,
57771.0,,
57774.0,,
57777.0,,
57780.0,,
57783.0,,
57786.0,,
57789.0,,
57792.0,,
57795.0,14.549,57797.388670000255
57798.0,,
57801.0,14.26,57802.38158333317
57804.0,,
