Modified Julian Day,Magnitude,mjd
52863.0,-9.63216,52867.856
52877.0,-9.60116,52881.313500000004
52891.0,-9.59416,52895.835
52905.0,-9.51566,52911.8255
52919.0,-9.54016,52923.304000000004
52933.0,-9.52466,52939.6805
52947.0,-9.536993333333333,52953.717000000004
52961.0,-9.48086,52966.049600000006
52975.0,-9.496410000000001,52981.15425
52989.0,-9.518160000000002,52997.174
53003.0,-9.53566,53013.317
53017.0,-9.548802499999999,53025.602485
53031.0,-9.580017999999999,53035.99778400001
53045.0,-9.625060000000001,53051.99080000001
53059.0,-9.576752000000003,53066.66022400001
53073.0,-9.542326666666668,53077.19700000001
53087.0,-9.544993333333336,53093.50166666667
53101.0,-9.50216,53103.982
53115.0,,
53129.0,,
53143.0,,
53157.0,,
53171.0,,
53185.0,,
53199.0,,
53213.0,,
53227.0,-9.51766,53239.371499999994
53241.0,-9.58716,53248.835
53255.0,-9.56666,53263.48733333333
53269.0,-9.55989875,53276.144855000006
53283.0,-9.566137777777778,53290.95124222222
53297.0,-9.560397272727274,53305.50344
53311.0,-9.575925999999999,53317.65732
53325.0,-9.600364285714287,53331.127257142856
53339.0,-9.516954285714286,53346.69005142857
53353.0,-9.450103571428572,53359.10301714286
53367.0,-9.413940625,53374.589953125
53381.0,-9.440494444444447,53386.40618888889
53395.0,-9.554830588235296,53402.47387588236
53409.0,-9.560880000000001,53413.51808090909
53423.0,-9.56469,53431.66752555555
53437.0,-9.57605,53445.58481333334
53451.0,-9.602937500000001,53459.119765
53465.0,-9.64171,53472.734525
53479.0,,
53493.0,,
53507.0,,
53521.0,,
53535.0,,
53549.0,-9.722760000000001,53558.42136
53563.0,,
53577.0,-9.74976,53586.36046
53591.0,-9.7284325,53599.89387500001
53605.0,-9.764268000000001,53613.082164
53619.0,-9.80803,53624.6785675
53633.0,-9.84153,53640.380919999996
53647.0,-9.841212222222222,53653.58599111111
53661.0,-9.834488333333335,53666.26460083333
53675.0,-9.837609166666667,53681.2097175
53689.0,-9.817545,53695.22051
