mjd,mag,err_mag
5610.1672916799998,11.1241,0.00553253
5610.1680255000001,11.1313,0.00551105
5610.1687594300001,11.1291,0.00549928
5610.1694932500004,11.1299,0.00552309
5610.1702270799997,11.1277,0.00552683
5610.1709608900001,11.1311,0.00553619
5610.1716947100003,11.1316,0.00554726
5610.1724285399996,11.134,0.00555399
5610.1731623500000,11.1291,0.00553734
5610.1738961700003,11.1285,0.00553804
5610.1753638000000,11.1317,0.00553393
5610.1768315400004,11.124,0.00550592
5610.1775653599998,11.1282,0.00552174
5610.1782991700002,11.1299,0.00554148
5610.1790329799996,11.1335,0.00556199
5610.1797667900000,11.1313,0.00554986
5610.1805006000004,11.1338,0.00555023
5610.1812344099999,11.1309,0.00556219
5610.1819682100004,11.1321,0.00555626
5610.1827021400004,11.1325,0.00555923
5610.1834359400000,11.1352,0.00557528
5610.1841697500004,11.1334,0.00554508
5610.1849035400001,11.1342,0.00555314
5610.1856373500004,11.1347,0.00557309
5610.1871049399997,11.1336,0.00555769
5610.1878387500001,11.1312,0.00553796
5610.1885725499997,11.1252,0.00552363
5610.1893064599999,11.1277,0.00553002
5610.1900402399997,11.1208,0.00547953
5610.1907740400002,11.1241,0.00549661
5610.1915078399998,11.1224,0.00542661
5610.1922416199995,11.127,0.00548132
5610.1929754200000,11.1292,0.00549068
5610.1937092099997,11.1271,0.00545599
5610.1944430000003,11.1336,0.00548791
5610.1951767900000,11.1288,0.00542431
5610.1959106900003,11.1129,0.00539455
5610.1966444800000,11.1296,0.00543635
5610.1973782699997,11.1351,0.00544726
5610.1981120600003,11.1324,0.00544665
5610.1988458500000,11.1307,0.00547782
5610.1995796299998,11.1277,0.00560858
5610.2364882800002,11.137,0.00602101
5610.2372221100004,11.1291,0.00567262
5610.2379559299998,11.1386,0.00557169
5610.2394236900000,11.1298,0.00552495
5610.2401575100002,11.1307,0.00553536
5610.2408913299996,11.13,0.0055502
5610.2416251400000,11.1345,0.00557366
5610.2423589600003,11.1318,0.00556032
5610.2430927900004,11.13,0.00555749
5610.2438265999999,11.1266,0.00552279
5610.2445604200002,11.1256,0.00553174
5610.2452942399996,11.127,0.00553421
5610.2460281699996,11.1221,0.00552199
5610.2467619800000,11.1236,0.00553123
5610.2474957900004,11.1239,0.00551695
5610.2482296099997,11.1296,0.0055256
5610.2489634200001,11.1328,0.0055387
5610.2496972299996,11.1397,0.00557084
5610.2504310400000,11.1361,0.00556738
5610.2511648500004,11.1375,0.00556422
5610.2518986599998,11.1383,0.00556341
5610.2526325800000,11.1404,0.00558175
5610.2533663900003,11.1314,0.00553864
5610.2541001899999,11.1318,0.00554533
5610.2548339900004,11.1333,0.00555746
5610.2555677999999,11.131,0.00555067
5610.2563015899996,11.1284,0.00554813
5610.2570353999999,11.1303,0.00555214
5610.2577691899996,11.1323,0.00555576
5610.2585029900001,11.1299,0.00553592
5610.2592369000004,11.1231,0.00550622
5610.2599706999999,11.1303,0.0055353
5610.2607045000004,11.1275,0.00551669
5610.2614382800002,11.1312,0.00552641
5610.2621720799998,11.13,0.00548907
5610.2629058700004,11.1312,0.0054867
5610.2636396600001,11.1293,0.00547529
5610.2643734499998,11.1317,0.0054657
5610.2651072400004,11.1298,0.00547175
5610.2658411499997,11.1427,0.00549026
5610.2673087200001,11.1363,0.00547398
5610.2680425099998,11.1371,0.00546866
5610.2687763000004,11.1305,0.00543696
5610.2695100900000,11.1288,0.00549464
5610.3075413200004,11.1362,0.00573587
5610.3082751499996,11.1254,0.00551557
5610.3090089600000,11.1287,0.00551298
5610.3097428999999,11.1325,0.00553433
5610.3104767200002,11.1238,0.00550632
5610.3112105399996,11.1316,0.00555343
5610.3119443599999,11.1345,0.00556097
5610.3126781800001,11.1195,0.00551092
5610.3134120000004,11.128,0.0055438
5610.3141458099999,11.1255,0.00552404
5610.3156134399997,11.1287,0.0055276
5610.3163473799996,11.1233,0.00551305
5610.3170811900000,11.133,0.00554609
5610.3178150100002,11.1286,0.00553542
5610.3185488299996,11.1417,0.00557135
