#  puvul.273  455147.56699  120.0
#     wave       flux
   3467.74365   3.98647E-14
   3469.21777   4.69827E-14
   3470.69214   5.15994E-14
   3472.16626   3.78323E-14
   3473.64038   4.86839E-14
   3475.11475   4.35663E-14
   3476.58887   4.47853E-14
   3478.06299   4.56914E-14
   3479.53711   4.33652E-14
   3481.01147   4.21260E-14
   3482.48560   3.33096E-14
   3483.95972   4.25395E-14
   3485.43408   4.82621E-14
   3486.90820   4.23845E-14
   3488.38232   3.56597E-14
   3489.85669   5.66903E-14
   3491.33081   5.49185E-14
   3492.80493   5.00384E-14
   3494.27905   4.65673E-14
   3495.75342   5.11640E-14
   3497.22754   5.45622E-14
   3498.70166   4.58208E-14
   3500.17603   4.74257E-14
   3501.65015   4.24765E-14
   3503.12427   5.04162E-14
   3504.59863   4.50603E-14
   3506.07275   4.01743E-14
   3507.54688   5.12491E-14
   3509.02124   4.65663E-14
   3510.49536   4.09639E-14
   3511.96948   4.48459E-14
   3513.44360   3.87701E-14
   3514.91797   3.68654E-14
   3516.39209   4.47364E-14
   3517.86621   4.63337E-14
   3519.34058   4.08454E-14
   3520.81470   4.25369E-14
   3522.28882   4.38296E-14
   3523.76318   3.84535E-14
   3525.23730   4.30828E-14
   3526.71143   4.75278E-14
   3528.18579   4.44680E-14
   3529.65991   4.22117E-14
   3531.13403   4.35208E-14
   3532.60815   5.03586E-14
   3534.08252   4.45488E-14
   3535.55664   3.81119E-14
   3537.03076   3.48604E-14
   3538.50513   3.83434E-14
   3539.97925   4.27036E-14
   3541.45337   4.00813E-14
   3542.92773   4.23295E-14
   3544.40186   4.64521E-14
   3545.87598   4.03961E-14
   3547.35010   4.10647E-14
   3548.82446   3.76028E-14
   3550.29858   4.26635E-14
   3551.77271   4.14543E-14
   3553.24707   5.22343E-14
   3554.72119   4.54289E-14
   3556.19531   4.45071E-14
   3557.66968   4.71553E-14
   3559.14380   3.93577E-14
   3560.61792   3.74233E-14
   3562.09229   4.27993E-14
   3563.56641   4.61612E-14
   3565.04053   4.61396E-14
   3566.51465   4.44742E-14
   3567.98901   4.59987E-14
   3569.46313   3.65284E-14
   3570.93726   4.05391E-14
   3572.41162   4.09938E-14
   3573.88574   3.57801E-14
   3575.35986   4.83400E-14
   3576.83423   3.52796E-14
   3578.30835   3.93385E-14
   3579.78247   4.17697E-14
   3581.25659   5.20877E-14
   3582.73096   9.68412E-14
   3584.20508   1.91345E-13
   3585.67920   2.62879E-13
   3587.15356   2.30535E-13
   3588.62769   1.50154E-13
   3590.10181   8.69712E-14
   3591.57617   5.10913E-14
   3593.05029   4.18834E-14
   3594.52441   4.01238E-14
   3595.99878   3.78686E-14
   3597.47290   4.18430E-14
   3598.94702   4.05153E-14
   3600.42114   3.76073E-14
   3601.89551   4.28688E-14
   3603.36963   4.24252E-14
   3604.84375   4.18146E-14
   3606.31812   4.51028E-14
   3607.79224   3.90867E-14
   3609.26636   3.87603E-14
   3610.74072   3.76559E-14
   3612.21484   4.06416E-14
   3613.68896   3.92065E-14
   3615.16333   3.86149E-14
   3616.63745   4.41957E-14
   3618.11157   4.14718E-14
   3619.58569   3.25007E-14
   3621.06006   4.00170E-14
   3622.53418   4.17001E-14
   3624.00830   3.97104E-14
   3625.48267   3.52257E-14
   3626.95679   3.56123E-14
   3628.43091   4.02683E-14
   3629.90527   3.56159E-14
   3631.37939   4.31681E-14
   3632.85352   4.11823E-14
   3634.32764   4.41694E-14
   3635.80200   4.69131E-14
   3637.27612   3.82627E-14
   3638.75024   2.11232E-14
   3640.22461   3.44962E-14
   3641.69873   4.22438E-14
   3643.17285   4.11380E-14
   3644.64722   3.69550E-14
   3646.12134   3.99863E-14
   3647.59546   3.73802E-14
   3649.06982   4.01640E-14
   3650.54395   4.39296E-14
   3652.01807   3.44928E-14
   3653.49219   3.92534E-14
   3654.96655   3.86831E-14
   3656.44067   3.41441E-14
   3657.91479   4.52344E-14
   3659.38916   4.73756E-14
   3660.86328   5.04686E-14
   3662.33740   5.53853E-14
   3663.81177   4.63869E-14
   3665.28589   4.49698E-14
   3666.76001   3.72869E-14
   3668.23438   3.80166E-14
   3669.70850   3.86910E-14
   3671.18262   3.84624E-14
   3672.65674   3.68056E-14
   3674.13110   3.47224E-14
   3675.60522   3.30296E-14
   3677.07935   3.75757E-14
   3678.55371   3.93133E-14
   3680.02783   2.98515E-14
   3681.50195   3.06401E-14
   3682.97632   2.83472E-14
   3684.45044   3.33993E-14
   3685.92456   3.72432E-14
   3687.39868   3.44452E-14
   3688.87305   3.20474E-14
   3690.34717   3.31923E-14
   3691.82129   2.93271E-14
   3693.29565   2.66970E-14
   3694.76978   3.43689E-14
   3696.24390   3.47603E-14
   3697.71826   3.29440E-14
   3699.19238   2.53764E-14
   3700.66650   3.15111E-14
   3702.14087   3.59613E-14
   3703.61499   4.21662E-14
   3705.08911   3.83020E-14
   3706.56323   3.04685E-14
   3708.03760   2.84303E-14
   3709.51172   3.34287E-14
   3710.98584   3.92108E-14
   3712.46021   4.08692E-14
   3713.93433   2.87400E-14
   3715.40845   2.59672E-14
   3716.88281   2.11905E-14
   3718.35693   3.44315E-14
   3719.83105   4.66493E-14
   3721.30518   6.26111E-14
   3722.77954   6.55471E-14
   3724.25366   7.75811E-14
   3725.72778   6.58842E-14
   3727.20215   5.78875E-14
   3728.67627   4.50356E-14
   3730.15039   3.37587E-14
   3731.62476   4.49056E-14
   3733.09888   4.42929E-14
   3734.57300   4.85737E-14
   3736.04736   4.00254E-14
   3737.52148   3.41630E-14
   3738.99561   2.47120E-14
   3740.46973   2.23241E-14
   3741.94409   1.93669E-14
   3743.41821   2.03054E-14
   3744.89233   2.16939E-14
   3746.36670   3.27149E-14
   3747.84082   4.79961E-14
   3749.31494   5.15423E-14
   3750.78931   4.66782E-14
   3752.26343   4.19998E-14
   3753.73755   5.41703E-14
   3755.21191   1.03284E-13
   3756.68604   2.40982E-13
   3758.16016   3.61496E-13
   3759.63428   3.40470E-13
   3761.10864   2.33304E-13
   3762.58276   1.03220E-13
   3764.05688   4.42332E-14
   3765.53125   2.50909E-14
   3767.00537   3.55921E-14
   3768.47949   5.42430E-14
   3769.95386   5.84201E-14
   3771.42798   4.38692E-14
   3772.90210   3.21512E-14
   3774.37622   2.79048E-14
   3775.85059   2.01304E-14
   3777.32471   1.88650E-14
   3778.79883   2.23365E-14
   3780.27319   2.59846E-14
   3781.74731   3.10993E-14
   3783.22144   2.94398E-14
   3784.69580   2.70520E-14
   3786.16992   2.21477E-14
   3787.64404   1.94154E-14
   3789.11841   2.26905E-14
   3790.59253   2.62076E-14
   3792.06665   2.63073E-14
   3793.54077   3.39378E-14
   3795.01514   5.74797E-14
   3796.48926   6.95495E-14
   3797.96338   6.03253E-14
   3799.43774   4.76899E-14
   3800.91187   3.34277E-14
   3802.38599   2.10080E-14
   3803.86035   2.21721E-14
   3805.33447   2.53839E-14
   3806.80859   2.23708E-14
   3808.28271   2.11127E-14
   3809.75708   2.23707E-14
   3811.23120   2.65145E-14
   3812.70532   2.85753E-14
   3814.17969   3.09489E-14
   3815.65381   3.10851E-14
   3817.12793   3.13911E-14
   3818.60229   4.03014E-14
   3820.07642   3.82125E-14
   3821.55054   2.80943E-14
   3823.02490   2.56722E-14
   3824.49902   2.22811E-14
   3825.97314   2.32599E-14
   3827.44727   1.93846E-14
   3828.92163   1.92670E-14
   3830.39575   2.94477E-14
   3831.86987   5.14612E-14
   3833.34424   7.60142E-14
   3834.81836   8.00866E-14
   3836.29248   7.26494E-14
   3837.76685   5.34077E-14
   3839.24097   3.88733E-14
   3840.71509   2.99182E-14
   3842.18945   2.16123E-14
   3843.66357   2.30696E-14
   3845.13770   2.29463E-14
   3846.61182   2.23629E-14
   3848.08618   2.28474E-14
   3849.56030   2.26963E-14
   3851.03442   2.14843E-14
   3852.50879   2.21772E-14
   3853.98291   2.29193E-14
   3855.45703   2.54431E-14
   3856.93140   2.84222E-14
   3858.40552   2.68534E-14
   3859.87964   2.32310E-14
   3861.35376   2.93217E-14
   3862.82812   3.85657E-14
   3864.30225   1.03382E-13
   3865.77637   2.78085E-13
   3867.25073   4.30298E-13
   3868.72485   4.13210E-13
   3870.19897   2.61499E-13
   3871.67334   1.20733E-13
   3873.14746   4.26240E-14
   3874.62158   2.29838E-14
   3876.09595   1.87125E-14
   3877.57007   1.64330E-14
   3879.04419   1.71137E-14
   3880.51831   1.88033E-14
   3881.99268   2.25035E-14
   3883.46680   2.77561E-14
   3884.94092   4.45666E-14
   3886.41528   8.73486E-14
   3887.88940   1.31464E-13
   3889.36353   1.29047E-13
   3890.83789   1.04252E-13
   3892.31201   7.24188E-14
   3893.78613   5.08087E-14
   3895.26050   4.06187E-14
   3896.73462   3.01999E-14
   3898.20874   2.40822E-14
   3899.68286   2.22030E-14
   3901.15723   1.93193E-14
   3902.63135   1.83675E-14
   3904.10547   2.28909E-14
   3905.57983   2.36601E-14
   3907.05396   1.68693E-14
   3908.52808   1.86813E-14
   3910.00244   1.93504E-14
   3911.47656   2.04396E-14
   3912.95068   2.17041E-14
   3914.42480   1.97541E-14
   3915.89917   2.02694E-14
   3917.37329   1.75590E-14
   3918.84741   2.16113E-14
   3920.32178   1.96092E-14
   3921.79590   2.60783E-14
   3923.27002   2.98046E-14
   3924.74438   2.56721E-14
   3926.21851   2.08121E-14
   3927.69263   2.34027E-14
   3929.16699   2.26487E-14
   3930.64111   1.84388E-14
   3932.11523   1.86586E-14
   3933.58936   1.89921E-14
   3935.06372   1.92239E-14
   3936.53784   2.12953E-14
   3938.01196   2.35843E-14
   3939.48633   1.95206E-14
   3940.96045   1.76555E-14
   3942.43457   1.70804E-14
   3943.90894   1.85075E-14
   3945.38306   1.81245E-14
   3946.85718   1.69741E-14
   3948.33130   1.71225E-14
   3949.80566   1.84834E-14
   3951.27979   1.73290E-14
   3952.75391   1.66396E-14
   3954.22827   1.73575E-14
   3955.70239   2.13104E-14
   3957.17651   2.01156E-14
   3958.65088   1.84388E-14
   3960.12500   2.10220E-14
   3961.59912   2.68041E-14
   3963.07349   4.93342E-14
   3964.54761   1.03892E-13
   3966.02173   1.73467E-13
   3967.49585   2.07722E-13
   3968.97021   1.92883E-13
   3970.44434   1.37336E-13
   3971.91846   7.85162E-14
   3973.39282   4.22206E-14
   3974.86694   2.75055E-14
   3976.34106   2.09969E-14
   3977.81543   1.84643E-14
   3979.28955   1.82445E-14
   3980.76367   1.82989E-14
   3982.23804   2.11534E-14
   3983.71216   1.89766E-14
   3985.18628   1.72932E-14
   3986.66040   1.82991E-14
   3988.13477   2.00097E-14
   3989.60889   1.89801E-14
   3991.08301   1.88423E-14
   3992.55737   1.80069E-14
   3994.03149   1.80064E-14
   3995.50562   1.86208E-14
   3996.97998   1.74574E-14
   3998.45410   1.83367E-14
   3999.92822   2.08082E-14
   4001.40234   2.04898E-14
   4002.87671   1.95905E-14
   4004.35083   1.83225E-14
   4005.82495   1.64655E-14
   4007.29932   1.86252E-14
   4008.77344   2.14526E-14
   4010.24756   2.15455E-14
   4011.72192   1.85657E-14
   4013.19604   1.90547E-14
   4014.67017   1.92332E-14
   4016.14453   1.98067E-14
   4017.61865   1.77159E-14
   4019.09277   1.79965E-14
   4020.56689   1.93775E-14
   4022.04126   2.60375E-14
   4023.51538   3.59338E-14
   4024.98950   4.69762E-14
   4026.46387   4.45679E-14
   4027.93799   3.42448E-14
   4029.41211   2.44784E-14
   4030.88647   1.85802E-14
   4032.36060   1.77663E-14
   4033.83472   1.80066E-14
   4035.30884   1.78355E-14
   4036.78320   1.90523E-14
   4038.25732   1.78167E-14
   4039.73145   1.82943E-14
   4041.20581   1.78859E-14
   4042.67993   1.72231E-14
   4044.15405   1.82508E-14
   4045.62842   1.64309E-14
   4047.10254   1.74603E-14
   4048.57666   1.74486E-14
   4050.05103   1.51918E-14
   4051.52515   1.64163E-14
   4052.99927   1.78096E-14
   4054.47339   1.83659E-14
   4055.94775   1.75545E-14
   4057.42188   1.74079E-14
   4058.89600   1.70341E-14
   4060.37036   1.68569E-14
   4061.84448   1.78811E-14
   4063.31860   1.64498E-14
   4064.79297   2.23244E-14
   4066.26709   3.28584E-14
   4067.74121   4.20078E-14
   4069.21558   4.63519E-14
   4070.68970   4.26325E-14
   4072.16382   3.49221E-14
   4073.63794   2.73750E-14
   4075.11230   2.42025E-14
   4076.58643   2.17118E-14
   4078.06055   2.03739E-14
   4079.53491   1.88650E-14
   4081.00903   1.77614E-14
   4082.48315   1.82759E-14
   4083.95752   1.79789E-14
   4085.43164   1.70893E-14
   4086.90576   1.93603E-14
   4088.37988   2.00806E-14
   4089.85425   2.17839E-14
   4091.32837   2.10143E-14
   4092.80249   2.01710E-14
   4094.27686   2.99892E-14
   4095.75098   4.57410E-14
   4097.22510   6.91943E-14
   4098.69922   1.32251E-13
   4100.17334   2.07309E-13
   4101.64795   2.07356E-13
   4103.12207   1.59041E-13
   4104.59619   8.25974E-14
   4106.07031   3.87831E-14
   4107.54443   2.30934E-14
   4109.01855   1.87771E-14
   4110.49316   1.98975E-14
   4111.96729   1.94728E-14
   4113.44141   1.85904E-14
   4114.91553   2.08180E-14
   4116.38965   2.29388E-14
   4117.86377   2.12631E-14
   4119.33789   2.24745E-14
   4120.81250   2.45242E-14
   4122.28662   2.04089E-14
   4123.76074   2.12864E-14
   4125.23486   2.02873E-14
   4126.70898   1.99662E-14
   4128.18311   1.91195E-14
   4129.65771   1.78104E-14
   4131.13184   1.78845E-14
   4132.60596   1.73812E-14
   4134.08008   1.71970E-14
   4135.55420   1.65375E-14
   4137.02832   1.77687E-14
   4138.50244   1.64738E-14
   4139.97705   1.78832E-14
   4141.45117   2.38930E-14
   4142.92529   2.59148E-14
   4144.39941   2.40177E-14
   4145.87354   2.21942E-14
   4147.34766   1.72806E-14
   4148.82178   1.76269E-14
   4150.29639   1.84514E-14
   4151.77051   1.86926E-14
   4153.24463   1.95790E-14
   4154.71875   1.57503E-14
   4156.19287   1.71160E-14
   4157.66699   2.01495E-14
   4159.14160   1.79029E-14
   4160.61572   2.04301E-14
   4162.08984   1.92922E-14
   4163.56396   1.86220E-14
   4165.03809   1.89649E-14
   4166.51221   1.90302E-14
   4167.98633   1.80295E-14
   4169.46094   2.09028E-14
   4170.93506   2.08288E-14
   4172.40918   2.09281E-14
   4173.88330   2.10289E-14
   4175.35742   2.11857E-14
   4176.83154   2.67963E-14
   4178.30615   2.96613E-14
   4179.78027   3.08624E-14
   4181.25439   2.80460E-14
   4182.72852   2.36168E-14
   4184.20264   1.95500E-14
   4185.67676   2.06140E-14
   4187.15088   2.17062E-14
   4188.62549   1.99512E-14
   4190.09961   1.89080E-14
   4191.57373   1.93053E-14
   4193.04785   1.87375E-14
   4194.52197   1.91838E-14
   4195.99609   2.18722E-14
   4197.47070   3.45890E-14
   4198.94482   3.84512E-14
   4200.41895   3.90746E-14
   4201.89307   2.90468E-14
   4203.36719   2.25408E-14
   4204.84131   2.08255E-14
   4206.31543   2.06735E-14
   4207.79004   2.09350E-14
   4209.26416   1.96559E-14
   4210.73828   1.89576E-14
   4212.21240   1.83398E-14
   4213.68652   1.60172E-14
   4215.16064   1.76894E-14
   4216.63525   1.76975E-14
   4218.10938   1.71903E-14
   4219.58350   1.58982E-14
   4221.05762   1.82255E-14
   4222.53174   1.65513E-14
   4224.00586   1.68581E-14
   4225.47998   1.69501E-14
   4226.95459   1.82445E-14
   4228.42871   1.64674E-14
   4229.90283   1.97066E-14
   4231.37695   2.32377E-14
   4232.85107   2.22465E-14
   4234.32520   2.17650E-14
   4235.79932   2.03765E-14
   4237.27393   1.86205E-14
   4238.74805   1.80001E-14
   4240.22217   1.95992E-14
   4241.69629   2.74534E-14
   4243.17041   3.84688E-14
   4244.64453   3.55226E-14
   4246.11914   2.92367E-14
   4247.59326   2.23651E-14
   4249.06738   1.90874E-14
   4250.54150   1.85237E-14
   4252.01562   1.70183E-14
   4253.48975   1.70951E-14
   4254.96387   1.73287E-14
   4256.43848   1.72526E-14
   4257.91260   1.80185E-14
   4259.38672   1.76276E-14
   4260.86084   1.86731E-14
   4262.33496   1.81617E-14
   4263.80908   1.81633E-14
   4265.28369   1.91521E-14
   4266.75781   1.82311E-14
   4268.23193   1.70286E-14
   4269.70605   1.62277E-14
   4271.18018   1.79685E-14
   4272.65430   1.89305E-14
   4274.12842   2.12784E-14
   4275.60303   2.72566E-14
   4277.07715   2.72474E-14
   4278.55127   2.37488E-14
   4280.02539   2.08337E-14
   4281.49951   1.75356E-14
   4282.97363   1.64024E-14
   4284.44824   2.15683E-14
   4285.92236   2.70201E-14
   4287.39648   2.97878E-14
   4288.87061   2.63124E-14
   4290.34473   2.11685E-14
   4291.81885   1.92976E-14
   4293.29297   1.77396E-14
   4294.76758   1.83740E-14
   4296.24170   2.01146E-14
   4297.71582   1.99305E-14
   4299.18994   1.91739E-14
   4300.66406   1.76239E-14
   4302.13818   1.92794E-14
   4303.61279   2.19367E-14
