#  puvul.274  455185.54396    1.0
#     wave       flux
   3465.39282  -5.81131E-12
   3466.86670   5.67840E-12
   3468.34058  -3.80469E-12
   3469.81445  -1.22832E-12
   3471.28833  -5.64561E-12
   3472.76221  -5.66529E-12
   3474.23608   7.75164E-12
   3475.70972  -1.31273E-11
   3477.18359   2.02833E-12
   3478.65747  -6.91069E-12
   3480.13135   1.49867E-11
   3481.60522  -9.38866E-12
   3483.07910  -4.15901E-12
   3484.55298  -4.75483E-12
   3486.02686  -4.24054E-12
   3487.50073   3.93385E-12
   3488.97461   3.02553E-12
   3490.44849   3.22275E-12
   3491.92236  -4.79469E-12
   3493.39624  -8.19775E-12
   3494.86987  -9.80387E-12
   3496.34375  -6.76465E-12
   3497.81763   6.10387E-13
   3499.29150   7.86624E-12
   3500.76538  -6.28559E-12
   3502.23926  -3.94280E-12
   3503.71313   4.06837E-12
   3505.18701   6.27853E-13
   3506.66089  -3.88058E-13
   3508.13477  -1.29194E-12
   3509.60864   2.09093E-12
   3511.08252  -2.11854E-12
   3512.55640   2.63172E-12
   3514.03003  -8.82896E-12
   3515.50391  -2.82945E-12
   3516.97778   6.39059E-12
   3518.45166   3.51930E-12
   3519.92554   5.63303E-12
   3521.39941   3.77133E-12
   3522.87329  -1.20071E-12
   3524.34717   6.79988E-12
   3525.82104   5.29468E-12
   3527.29492  -6.92645E-12
   3528.76880   2.29110E-13
   3530.24268  -5.59575E-12
   3531.71655  -2.29112E-12
   3533.19019   4.64703E-12
   3534.66406  -3.81831E-13
   3536.13794   4.43068E-12
   3537.61182  -5.82121E-12
   3539.08569  -2.92137E-13
   3540.55957   9.46852E-12
   3542.03345  -1.56750E-12
   3543.50732   2.29034E-12
   3544.98120  -1.56151E-12
   3546.45508  -3.19744E-12
   3547.92896  -1.68617E-12
   3549.40283   1.31256E-12
   3550.87671   6.16677E-12
   3552.35034  -3.43980E-13
   3553.82422   2.38609E-12
   3555.29810  -4.38800E-12
   3556.77197   8.38783E-12
   3558.24585   1.18385E-11
   3559.71973  -6.98604E-12
   3561.19360   6.77681E-12
   3562.66748  -6.00269E-12
   3564.14136  -5.19676E-12
   3565.61523  -6.57160E-13
   3567.08911   4.99860E-12
   3568.56299  -6.49322E-13
   3570.03687  -1.21854E-12
   3571.51050  -6.14241E-15
