#  puvul.279  455353.94092   60.0
#     wave       flux
   3473.38135   5.73823E-14
   3474.85254   4.56419E-14
   3476.32373   3.12301E-14
   3477.79517   5.43874E-14
   3479.26636   4.45795E-14
   3480.73755   3.74452E-14
   3482.20874   2.05687E-14
   3483.68018   4.43744E-14
   3485.15137   3.80231E-14
   3486.62256   2.43308E-14
   3488.09375   2.85612E-14
   3489.56519   1.74776E-14
   3491.03638   4.23980E-14
   3492.50757   7.15218E-14
   3493.97876   2.96688E-14
   3495.45020   3.04867E-14
   3496.92139   4.74215E-14
   3498.39258   2.86679E-14
   3499.86377   2.91537E-14
   3501.33496   4.60754E-14
   3502.80640   2.80139E-14
   3504.27759   4.61991E-14
   3505.74878   2.49337E-14
   3507.21997   2.00910E-14
   3508.69141   5.17193E-14
   3510.16260   4.69523E-14
   3511.63379   5.22099E-14
   3513.10498   3.03396E-14
   3514.57642   3.67175E-14
   3516.04761   3.35428E-14
   3517.51880   3.42000E-14
   3518.98999   3.45576E-14
   3520.46143   1.37749E-14
   3521.93262   2.47465E-14
   3523.40381   4.92039E-14
   3524.87500   3.87268E-14
   3526.34644   1.67743E-14
   3527.81763   3.91600E-14
   3529.28882   2.84256E-14
   3530.76001   3.66453E-14
   3532.23120   3.39604E-14
   3533.70264   1.98441E-14
   3535.17383   3.00290E-14
   3536.64502   2.71995E-14
   3538.11621   2.41429E-14
   3539.58765   3.35096E-14
   3541.05884   3.47709E-14
   3542.53003   3.84551E-14
   3544.00122   4.02987E-14
   3545.47266   3.48177E-14
   3546.94385   4.38493E-14
   3548.41504   3.87993E-14
   3549.88623   3.59762E-14
   3551.35767   3.92355E-14
   3552.82886   4.80246E-14
   3554.30005   2.49727E-14
   3555.77124   3.27361E-14
   3557.24243   4.62805E-14
   3558.71387   2.67848E-14
   3560.18506   4.05869E-14
   3561.65625   4.03973E-14
   3563.12744   4.30076E-14
   3564.59888   3.85206E-14
   3566.07007   2.10446E-14
   3567.54126   2.23587E-14
   3569.01245   4.41477E-14
   3570.48389   3.26048E-14
   3571.95508   2.92835E-14
   3573.42627   2.07721E-14
   3574.89746   3.92924E-14
   3576.36890   3.21950E-14
   3577.84009   2.66661E-14
   3579.31128   3.21104E-14
   3580.78247   3.48032E-14
   3582.25366   7.49627E-14
   3583.72510   1.47267E-13
   3585.19629   1.53611E-13
   3586.66748   1.47543E-13
   3588.13867   1.27912E-13
   3589.61011   7.92140E-14
   3591.08130   4.21103E-14
   3592.55249   3.56536E-14
   3594.02368   4.20564E-14
   3595.49512   3.23934E-14
   3596.96631   3.54368E-14
   3598.43750   4.15746E-14
   3599.90869   2.35719E-14
   3601.38013   4.47122E-14
   3602.85132   3.94934E-14
   3604.32251   3.64449E-14
   3605.79370   3.24544E-14
   3607.26514   2.92306E-14
   3608.73633   3.75376E-14
   3610.20752   3.42988E-14
   3611.67871   2.87909E-14
   3613.14990   2.41485E-14
   3614.62134   3.46188E-14
   3616.09253   3.56284E-14
   3617.56372   2.81675E-14
   3619.03491   2.74997E-14
   3620.50635   3.59485E-14
   3621.97754   3.19712E-14
