hjd,camera,filter,mag,mag err,flux (mJy),flux err
2458383.86808,bd,V,12.737,0.02,30.845,0.568
2458378.77803,bd,V,12.782,0.02,29.574,0.544
2458376.89964,bd,V,12.824,0.02,28.477,0.524
2458371.88409,bd,V,12.875,0.02,27.166,0.5
2458361.95414,bd,V,13.015,0.02349,23.867,0.516
2458347.93591,bd,V,13.075,0.02305,22.59,0.479
2458345.00254,bd,V,13.097,0.02291,22.134,0.467
2458335.98621,bd,V,13.106,0.02286,21.951,0.462
2458332.87705,bd,V,13.11,0.02284,21.866,0.459
2458317.0024,bd,V,13.118,0.02279,21.717,0.455
2458307.06033,bd,V,13.132,0.02271,21.435,0.448
2458298.97668,bd,V,13.132,0.02271,21.436,0.448
2458294.85963,bd,V,13.147,0.02263,21.146,0.44
2458291.97449,bd,V,13.12,0.02278,21.671,0.454
2458286.04355,bd,V,13.135,0.02269,21.383,0.446
2458283.95537,bd,V,13.131,0.02272,21.446,0.448
2458279.97864,bd,V,13.111,0.02283,21.858,0.459
2458278.00224,bd,V,13.098,0.02291,22.115,0.466
2458276.06854,bd,V,13.109,0.02284,21.898,0.46
2458258.00847,bd,V,12.973,0.02,24.813,0.457
2458208.10773,bd,V,12.915,0.02,26.183,0.482
2458185.15198,bd,V,12.834,0.02,28.195,0.519
2458079.70182,bd,V,13.082,0.02301,22.452,0.475
2458075.71394,bd,V,13.051,0.02322,23.091,0.493
2458037.83064,bd,V,12.952,0.02,25.295,0.465
2458036.79248,bd,V,12.939,0.02,25.605,0.471
2458029.80893,bd,V,12.886,0.02,26.874,0.494
2458024.87635,bd,V,12.881,0.02,27.007,0.497
2458021.87832,bd,V,12.862,0.02,27.495,0.506
2458019.88498,bd,V,12.864,0.02,27.447,0.505
2458017.88666,bd,V,12.867,0.02,27.367,0.504
2458015.89587,bd,V,12.863,0.02,27.47,0.505
2458010.78495,bd,V,12.863,0.02,27.454,0.505
2458008.90364,bd,V,12.864,0.02,27.439,0.505
2458003.89358,bd,V,12.866,0.02,27.378,0.504
2458000.77505,bd,V,12.877,0.02,27.112,0.499
2457996.90687,bd,V,12.873,0.02,27.213,0.501
2457991.89035,bd,V,12.901,0.02,26.504,0.488
2457988.80777,bd,V,12.905,0.02,26.426,0.486
2457983.93986,bd,V,12.923,0.02,25.993,0.478
2457980.9078,bd,V,12.939,0.02,25.602,0.471
2457978.97267,bd,V,12.936,0.02,25.672,0.472
2457975.97414,bd,V,12.926,0.02,25.915,0.477
2457971.93074,bd,V,12.907,0.02,26.382,0.485
2457969.83251,bd,V,12.907,0.02,26.372,0.485
2457964.83182,bd,V,12.886,0.02,26.887,0.495
2457960.00401,bd,V,12.863,0.02,27.469,0.505
2457945.96891,bd,V,12.749,0.02,30.496,0.561
2457942.93101,bd,V,12.746,0.02,30.591,0.563
2457939.83487,bd,V,12.709,0.02,31.635,0.582
2457939.0911,bd,V,12.711,0.02,31.593,0.581
2457937.86466,bd,V,12.677,0.02,32.6,0.6
2457930.04022,bd,V,12.669,0.02,32.84,0.604
2457926.87858,bd,V,12.663,0.02,33.03,0.608
2457926.00966,bd,V,12.662,0.02,33.032,0.608
2457921.02287,bd,V,12.694,0.02,32.084,0.59
2457913.9791,bd,V,12.722,0.02,31.27,0.575
2457910.92599,bd,V,12.748,0.02,30.527,0.562
2457903.93757,bd,V,12.84,0.02,28.047,0.516
2457900.07256,bd,V,12.89,0.02,26.787,0.493
2457894.00512,bd,V,12.958,0.02,25.16,0.463
2457891.07662,bd,V,12.969,0.02,24.901,0.458
2457884.99724,bd,V,12.983,0.02,24.585,0.452
2457880.00318,bd,V,13.011,0.02352,23.959,0.518
2457870.07547,bd,V,12.976,0.02,24.743,0.455
2457860.09425,bd,V,12.935,0.02,25.691,0.473
2457852.07607,bd,V,12.944,0.02,25.49,0.469
2457848.08643,bd,V,12.934,0.02,25.725,0.473
2457845.10087,bd,V,12.927,0.02,25.878,0.476
2457839.11396,bd,V,12.889,0.02,26.801,0.493
2457830.13534,bd,V,12.857,0.02,27.61,0.508
2457827.13456,bd,V,12.825,0.02,28.452,0.524
2457825.13399,bd,V,12.83,0.02,28.316,0.521
2457820.1521,bd,V,12.764,0.02,30.078,0.553
2457818.15939,bd,V,12.751,0.02,30.443,0.56
2457817.1591,bd,V,12.769,0.02,29.952,0.551
2457710.71366,bd,V,12.534,0.02,37.188,0.684
2457705.71869,bd,V,12.562,0.02,36.234,0.667
2457702.69255,bd,V,12.588,0.02,35.391,0.651
2457697.7515,bd,V,12.607,0.02,34.778,0.64
2457694.76033,bd,V,12.616,0.02,34.491,0.635
2457691.77494,bd,V,12.637,0.02,33.817,0.622
2457688.78778,bd,V,12.696,0.02,32.029,0.589
2457686.78274,bd,V,12.675,0.02,32.643,0.601
2457681.8039,bd,V,12.724,0.02,31.208,0.574
2457679.81036,bd,V,12.758,0.02,30.259,0.557
2457675.80452,bd,V,12.804,0.02,28.983,0.533
2457667.84362,bd,V,12.916,0.02,26.16,0.481
2457659.8861,bd,V,12.949,0.02,25.367,0.467
2457656.8786,bd,V,12.965,0.02,24.995,0.46
2457650.83277,bd,V,12.965,0.02,25.007,0.46
2457643.82582,bd,V,12.928,0.02,25.876,0.476
2457637.89187,bd,V,12.884,0.02,26.926,0.495
2457633.92592,bd,V,12.854,0.02,27.692,0.51
2457626.89171,bd,V,12.851,0.02,27.772,0.511
2457625.89335,bd,V,12.833,0.02,28.234,0.52
2457621.97547,bd,V,12.82,0.02,28.57,0.526
2457618.86994,bd,V,12.83,0.02,28.306,0.521
2457617.95933,bd,V,12.821,0.02,28.55,0.525
2457613.78332,bd,V,12.814,0.02,28.721,0.528
2457611.97735,bd,V,12.814,0.02,28.716,0.528
2457610.9439,bd,V,12.816,0.02,28.671,0.528
2457608.97894,bd,V,12.817,0.02,28.64,0.527
2457606.01831,bd,V,12.807,0.02,28.916,0.532
2457604.75081,bd,V,12.81,0.02,28.84,0.531
2457604.02285,bd,V,12.81,0.02,28.834,0.531
2457602.75555,bd,V,12.81,0.02,28.843,0.531
2457601.93277,bd,V,12.829,0.02,28.332,0.521
2457596.0451,bd,V,12.803,0.02,29.019,0.534
2457585.87162,bd,V,12.776,0.02,29.761,0.548
2457574.97991,bd,V,12.745,0.02,30.626,0.564
2457561.99398,bd,V,12.744,0.02,30.628,0.564
2457559.06144,bd,V,12.738,0.02,30.825,0.567
2457550.92314,bd,V,12.712,0.02,31.551,0.581
2457546.98612,bd,V,12.675,0.02,32.639,0.601
2457539.0626,bd,V,12.661,0.02,33.069,0.608
2457531.08292,bd,V,12.667,0.02,32.904,0.605
2457527.96717,bd,V,12.669,0.02,32.846,0.604
2457522.08952,bd,V,12.693,0.02,32.128,0.591
2457512.08136,bd,V,12.69,0.02,32.193,0.592
2457509.03135,bd,V,12.663,0.02,33.016,0.607
2457504.08197,bd,V,12.62,0.02,34.344,0.632
2457500.04275,bd,V,12.597,0.02,35.084,0.646
2457491.1052,bd,V,12.503,0.02,38.273,0.704
2457489.07289,bd,V,12.498,0.02,38.445,0.707
2457484.09791,bd,V,12.438,0.02,40.607,0.747
2457481.09325,bd,V,12.425,0.02,41.102,0.756
2457475.12555,bd,V,12.405,0.02,41.88,0.771
2457470.12039,bd,V,12.388,0.02,42.523,0.782
2457467.13023,bd,V,12.401,0.02,42.026,0.773
2457464.13896,bd,V,12.441,0.02,40.519,0.746
2457459.13754,bd,V,12.552,0.02,36.58,0.673
2457458.14485,bd,V,12.576,0.02,35.765,0.658
2457456.1444,bd,V,12.631,0.02,34.013,0.626
2457454.15127,bd,V,12.648,0.02,33.488,0.616
2457344.71475,bd,V,12.74,0.02,30.756,0.566
2457332.76101,bd,V,12.751,0.02,30.441,0.56
2457327.76455,bd,V,12.752,0.02,30.427,0.56
2457309.78919,bd,V,12.657,0.02,33.204,0.611
2457305.83398,bd,V,12.629,0.02,34.053,0.627
2457303.83822,bd,V,12.601,0.02,34.941,0.643
2457297.73948,bd,V,12.565,0.02,36.133,0.665
2457296.86398,bd,V,12.556,0.02,36.419,0.67
2457290.87581,bd,V,12.527,0.02,37.405,0.688
2457275.9221,bd,V,12.47,0.02,39.425,0.725
2457272.8697,bd,V,12.493,0.02,38.6,0.71
2457271.73542,bd,V,12.498,0.02,38.429,0.707
2457270.87025,bd,V,12.525,0.02,37.503,0.69
2457265.87831,bd,V,12.524,0.02,37.527,0.69
2457263.89739,bd,V,12.534,0.02,37.173,0.684
2457251.90608,bd,V,12.502,0.02,38.292,0.705
2457246.93367,bd,V,12.517,0.02,37.75,0.695
2457244.0059,bd,V,12.476,0.02,39.235,0.722
2457242.75138,bd,V,12.47,0.02,39.421,0.725
2457241.86083,bd,V,12.454,0.02,40.015,0.736
2457237.80014,bd,V,12.509,0.02,38.046,0.7
2457236.01841,bd,V,12.454,0.02,40.031,0.737
2457227.91128,bd,V,12.528,0.02,37.371,0.688
2457222.92064,bd,V,12.561,0.02,36.271,0.667
2457215.94459,bd,V,12.689,0.02,32.23,0.593
2457210.89081,bd,V,12.697,0.02,32.009,0.589
2457210.02686,bd,V,12.706,0.02,31.747,0.584
2457203.84739,bd,V,12.737,0.02,30.839,0.567
2457201.86105,bd,V,12.729,0.02,31.065,0.572
2457196.88387,bd,V,12.731,0.02,31.019,0.571
2457192.98449,bd,V,12.732,0.02,30.99,0.57
2457190.04734,bd,V,12.704,0.02,31.787,0.585
2457184.07809,bd,V,12.683,0.02,32.417,0.596
2457181.01028,bd,V,12.628,0.02,34.096,0.627
2457179.04544,bd,V,12.638,0.02,33.78,0.622
2457172.93979,bd,V,12.637,0.02,33.822,0.622
2457171.94398,bd,V,12.603,0.02,34.902,0.642
2457163.04483,bd,V,12.61,0.02,34.674,0.638
2457156.02646,bd,V,12.618,0.02,34.4,0.633
2457150.0779,bd,V,12.628,0.02,34.104,0.628
2457138.08293,bd,V,12.661,0.02,33.09,0.609
2457136.05192,bd,V,12.671,0.02,32.766,0.603
2457133.09713,bd,V,12.664,0.02,32.975,0.607
2457119.08661,bd,V,12.671,0.02,32.777,0.603
2457115.10417,bd,V,12.632,0.02,33.969,0.625
2457112.12259,bd,V,12.652,0.02,33.362,0.614
2457111.12563,bd,V,12.632,0.02,33.981,0.625
2457106.13258,bd,V,12.629,0.02,34.055,0.627
2457104.13035,bd,V,12.63,0.02,34.04,0.626
